Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,508.0,0.12598425196850394
128,1,blackhole,riscv_1,1024,516.0,0.24806201550387597
256,1,blackhole,riscv_1,2048,521.0,0.491362763915547
512,1,blackhole,riscv_1,3072,530.0,0.9660377358490566
1024,1,blackhole,riscv_1,4096,543.0,1.8858195211786373
2048,1,blackhole,riscv_1,5120,679.0,3.01620029455081
4096,1,blackhole,riscv_1,6144,598.0,6.849498327759197
8192,1,blackhole,riscv_1,7168,684.0,11.976608187134502
16384,1,blackhole,riscv_1,8192,867.0,18.897347174163784
64,4,blackhole,riscv_1,9216,573.0,0.4467713787085515
128,4,blackhole,riscv_1,10240,592.0,0.8648648648648649
256,4,blackhole,riscv_1,11264,593.0,1.72681281618887
512,4,blackhole,riscv_1,12288,618.0,3.313915857605178
1024,4,blackhole,riscv_1,13312,610.0,6.714754098360656
2048,4,blackhole,riscv_1,14336,690.0,11.872463768115942
4096,4,blackhole,riscv_1,15360,863.0,18.984936268829664
8192,4,blackhole,riscv_1,16384,1261.0,25.985725614591594
16384,4,blackhole,riscv_1,17408,1898.0,34.52897787144362
64,16,blackhole,riscv_1,18432,906.0,1.130242825607064
128,16,blackhole,riscv_1,19456,908.0,2.2555066079295156
256,16,blackhole,riscv_1,20480,919.0,4.457018498367791
512,16,blackhole,riscv_1,21504,925.0,8.856216216216216
1024,16,blackhole,riscv_1,22528,977.0,16.769703172978506
2048,16,blackhole,riscv_1,23552,1340.0,24.453731343283582
4096,16,blackhole,riscv_1,24576,2002.0,32.735264735264735
8192,16,blackhole,riscv_1,25600,3421.0,38.31394329143525
16384,16,blackhole,riscv_1,26624,6057.0,43.279511309228994
64,64,blackhole,riscv_1,27648,2244.0,1.8253119429590017
128,64,blackhole,riscv_1,28672,2290.0,3.577292576419214
256,64,blackhole,riscv_1,29696,2252.0,7.275310834813499
512,64,blackhole,riscv_1,30720,2284.0,14.34676007005254
1024,64,blackhole,riscv_1,31744,2321.0,28.236105127100387
2048,64,blackhole,riscv_1,32768,3485.0,37.6103299856528
4096,64,blackhole,riscv_1,33792,6810.0,38.49397944199706
8192,64,blackhole,riscv_1,34816,12566.0,41.72274391214388
16384,64,blackhole,riscv_1,35840,23151.0,45.29290311433631
64,256,blackhole,riscv_1,36864,7642.0,2.1439413766029833
128,256,blackhole,riscv_1,37888,7666.0,4.274458648578137
256,256,blackhole,riscv_1,38912,7662.0,8.553380318454712
512,256,blackhole,riscv_1,39936,7682.0,17.0622233793283
1024,256,blackhole,riscv_1,40960,7672.0,34.1689259645464
2048,256,blackhole,riscv_1,41984,12930.0,40.548182521268366
4096,256,blackhole,riscv_1,43008,25915.0,40.46212618174802
64,1,blackhole,riscv_0,0,422.0,0.15165876777251186
128,1,blackhole,riscv_0,1024,420.0,0.3047619047619048
256,1,blackhole,riscv_0,2048,429.0,0.5967365967365967
512,1,blackhole,riscv_0,3072,426.0,1.2018779342723005
1024,1,blackhole,riscv_0,4096,440.0,2.327272727272727
2048,1,blackhole,riscv_0,5120,452.0,4.530973451327434
4096,1,blackhole,riscv_0,6144,484.0,8.462809917355372
8192,1,blackhole,riscv_0,7168,563.0,14.550621669626999
16384,1,blackhole,riscv_0,8192,711.0,23.043600562587905
64,4,blackhole,riscv_0,9216,536.0,0.47761194029850745
128,4,blackhole,riscv_0,10240,534.0,0.9588014981273408
256,4,blackhole,riscv_0,11264,541.0,1.8927911275415896
512,4,blackhole,riscv_0,12288,525.0,3.900952380952381
1024,4,blackhole,riscv_0,13312,548.0,7.474452554744525
2048,4,blackhole,riscv_0,14336,574.0,14.27177700348432
4096,4,blackhole,riscv_0,15360,708.0,23.141242937853107
8192,4,blackhole,riscv_0,16384,1006.0,32.57256461232604
16384,4,blackhole,riscv_0,17408,1623.0,40.37954405422058
64,16,blackhole,riscv_0,18432,945.0,1.0835978835978837
128,16,blackhole,riscv_0,19456,918.0,2.2309368191721135
256,16,blackhole,riscv_0,20480,910.0,4.501098901098901
512,16,blackhole,riscv_0,21504,909.0,9.012101210121012
1024,16,blackhole,riscv_0,22528,933.0,17.560557341907824
2048,16,blackhole,riscv_0,23552,1013.0,32.34748272458045
4096,16,blackhole,riscv_0,24576,1806.0,36.287929125138426
8192,16,blackhole,riscv_0,25600,3345.0,39.18445440956652
16384,16,blackhole,riscv_0,26624,5729.0,45.75737475999302
64,64,blackhole,riscv_0,27648,2459.0,1.6657177714518097
128,64,blackhole,riscv_0,28672,2444.0,3.351882160392799
256,64,blackhole,riscv_0,29696,2462.0,6.654752233956133
512,64,blackhole,riscv_0,30720,2446.0,13.396565821749796
1024,64,blackhole,riscv_0,31744,2466.0,26.575831305758314
2048,64,blackhole,riscv_0,32768,3283.0,39.9244593359732
4096,64,blackhole,riscv_0,33792,6317.0,41.498179515592845
8192,64,blackhole,riscv_0,34816,12708.0,41.256531318854265
16384,64,blackhole,riscv_0,35840,22473.0,46.6593690206025
64,256,blackhole,riscv_0,36864,8598.0,1.9055594324261456
128,256,blackhole,riscv_0,37888,8593.0,3.81333643663447
256,256,blackhole,riscv_0,38912,8587.0,7.632001863281705
512,256,blackhole,riscv_0,39936,8593.0,15.25334574653788
1024,256,blackhole,riscv_0,40960,8609.0,30.44999419212452
2048,256,blackhole,riscv_0,41984,13288.0,39.45574954846478
4096,256,blackhole,riscv_0,43008,24630.0,42.57312220868859
