Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Multicast Scheme Type,Subordinate Grid Size X,Subordinate Grid Size Y,Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
16384,256,blackhole,riscv_0,129024,1,7,6,6,6 x 6,70884.0,59.171378590373
16384,256,blackhole,riscv_0,135168,1,3,7,7,7 x 7,78327.0,53.5486358471536
16384,256,blackhole,riscv_0,139264,1,7,7,7,7 x 7,70996.0,59.07803256521494
16384,256,blackhole,riscv_0,145408,1,3,8,8,8 x 8,82124.0,51.07281671618528
16384,256,blackhole,riscv_0,149504,1,7,8,8,8 x 8,71624.0,58.560035742209315
16384,256,blackhole,riscv_0,155648,1,3,9,9,9 x 9,86030.0,48.75396954550738
16384,256,blackhole,riscv_0,159744,1,7,9,9,9 x 9,71767.0,58.44335140106177
16384,256,blackhole,riscv_0,3072,0,4,2,2,2 x 2,68366.0,61.350729894977036
16384,256,blackhole,riscv_0,4096,0,5,2,2,2 x 2,68782.0,60.97967491494868
16384,256,blackhole,riscv_0,14336,0,5,3,3,3 x 3,70149.0,59.79135839427504
16384,256,blackhole,riscv_0,24576,0,5,4,4,4 x 4,70063.0,59.86475029616203
16384,256,blackhole,riscv_0,34816,0,5,5,5,5 x 5,70662.0,59.357278310831845
16384,256,blackhole,riscv_0,45056,0,5,6,6,6 x 6,70565.0,59.43887196202083
16384,256,blackhole,riscv_0,55296,0,5,7,7,7 x 7,71197.0,58.91124626037614
16384,256,blackhole,riscv_0,65536,0,5,8,8,8 x 8,70993.0,59.080529066245965
16384,256,blackhole,riscv_0,75776,0,5,9,9,9 x 9,71434.0,58.71579359968642
16384,256,blackhole,riscv_0,84992,1,4,2,2,2 x 2,68169.0,61.52802593554255
16384,256,blackhole,riscv_0,86016,1,5,2,2,2 x 2,68757.0,61.00184708466047
16384,256,blackhole,riscv_0,96256,1,5,3,3,3 x 3,70580.0,59.426239727968266
16384,256,blackhole,riscv_0,106496,1,5,4,4,4 x 4,71845.0,58.379901176143086
16384,256,blackhole,riscv_0,116736,1,5,5,5,5 x 5,74384.0,56.38718003871801
16384,256,blackhole,riscv_0,126976,1,5,6,6,6 x 6,76876.0,54.559342317498306
16384,256,blackhole,riscv_0,137216,1,5,7,7,7 x 7,80470.0,52.122579843419906
16384,256,blackhole,riscv_0,147456,1,5,8,8,8 x 8,83902.0,49.99051274105504
16384,256,blackhole,riscv_0,157696,1,5,9,9,9 x 9,87934.0,47.69831919394091
16384,256,blackhole,riscv_0,13312,0,4,3,3,3 x 3,69608.0,60.25606252154925
16384,256,blackhole,riscv_0,95232,1,4,3,3,3 x 3,68894.0,60.88054112114263
16384,256,blackhole,riscv_0,23552,0,4,4,4,4 x 4,71307.0,58.82036826679008
16384,256,blackhole,riscv_0,105472,1,4,4,4,4 x 4,70542.0,59.45825182160982
16384,256,blackhole,riscv_0,33792,0,4,5,5,5 x 5,73452.0,57.102652072101506
16384,256,blackhole,riscv_0,115712,1,4,5,5,5 x 5,72692.0,57.699664337203544
16384,256,blackhole,riscv_0,44032,0,4,6,6,6 x 6,75951.0,55.22381535463654
16384,256,blackhole,riscv_0,125952,1,4,6,6,6 x 6,75276.0,55.71900738615229
16384,256,blackhole,riscv_0,54272,0,4,7,7,7 x 7,78903.0,53.157725308289926
16384,256,blackhole,riscv_0,136192,1,4,7,7,7 x 7,78160.0,53.663050153531216
16384,256,blackhole,riscv_0,64512,0,4,8,8,8 x 8,82407.0,50.89742376254444
16384,256,blackhole,riscv_0,146432,1,4,8,8,8 x 8,81781.0,51.28702265807461
16384,256,blackhole,riscv_0,74752,0,4,9,9,9 x 9,86310.0,48.595805816243775
16384,256,blackhole,riscv_0,156672,1,4,9,9,9 x 9,85838.0,48.8630210396328
16384,256,blackhole,riscv_0,1024,0,2,2,2,2 x 2,68216.0,61.485633868887064
16384,256,blackhole,riscv_0,5120,0,6,2,2,2 x 2,68973.0,60.810810027112055
16384,256,blackhole,riscv_0,15360,0,6,3,3,3 x 3,70371.0,59.60273408080033
16384,256,blackhole,riscv_0,25600,0,6,4,4,4 x 4,72230.0,58.068724906548525
16384,256,blackhole,riscv_0,35840,0,6,5,5,5 x 5,74670.0,56.1712066425606
16384,256,blackhole,riscv_0,46080,0,6,6,6,6 x 6,77352.0,54.223601199710416
16384,256,blackhole,riscv_0,56320,0,6,7,7,7 x 7,80622.0,52.024310982114066
16384,256,blackhole,riscv_0,66560,0,6,8,8,8 x 8,84333.0,49.73502662065858
16384,256,blackhole,riscv_0,76800,0,6,9,9,9 x 9,88418.0,47.43721866588251
16384,256,blackhole,riscv_0,82944,1,2,2,2,2 x 2,68405.0,61.31575177253125
16384,256,blackhole,riscv_0,87040,1,6,2,2,2 x 2,68487.0,61.242337961948984
16384,256,blackhole,riscv_0,97280,1,6,3,3,3 x 3,69034.0,60.75707622331025
16384,256,blackhole,riscv_0,107520,1,6,4,4,4 x 4,69618.0,60.24740727972651
16384,256,blackhole,riscv_0,117760,1,6,5,5,5 x 5,69883.0,60.01894595252064
16384,256,blackhole,riscv_0,128000,1,6,6,6,6 x 6,70246.0,59.70879480682174
16384,256,blackhole,riscv_0,138240,1,6,7,7,7 x 7,70572.0,59.432976251204444
16384,256,blackhole,riscv_0,148480,1,6,8,8,8 x 8,70991.0,59.08219351748813
16384,256,blackhole,riscv_0,158720,1,6,9,9,9 x 9,71279.0,58.84347423504819
16384,256,blackhole,riscv_0,0,0,1,2,2,2 x 2,68077.0,61.611175580592565
16384,256,blackhole,riscv_0,81920,1,1,2,2,2 x 2,68573.0,61.16553162323363
16384,256,blackhole,riscv_0,8192,0,9,2,2,2 x 2,68728.0,61.027587009661275
16384,256,blackhole,riscv_0,90112,1,9,2,2,2 x 2,68869.0,60.90264124642437
16384,256,blackhole,riscv_0,11264,0,2,3,3,3 x 3,68969.0,60.81433687598776
16384,256,blackhole,riscv_0,93184,1,2,3,3,3 x 3,69245.0,60.5719402122897
16384,256,blackhole,riscv_0,7168,0,8,2,2,2 x 2,68649.0,61.0978164284986
16384,256,blackhole,riscv_0,89088,1,8,2,2,2 x 2,68991.0,60.79494426809294
16384,256,blackhole,riscv_0,9216,0,10,2,2,2 x 2,69104.0,60.69553137300301
16384,256,blackhole,riscv_0,10240,0,1,3,3,3 x 3,69088.0,60.70958777211672
16384,256,blackhole,riscv_0,91136,1,10,2,2,2 x 2,68805.0,60.95929074921881
16384,256,blackhole,riscv_0,92160,1,1,3,3,3 x 3,69693.0,60.18257213780437
16384,256,blackhole,riscv_0,18432,0,9,3,3,3 x 3,70238.0,59.715595546570235
16384,256,blackhole,riscv_0,100352,1,9,3,3,3 x 3,69676.0,60.19725587002698
16384,256,blackhole,riscv_0,21504,0,2,4,4,4 x 4,70743.0,59.28931484387148
16384,256,blackhole,riscv_0,103424,1,2,4,4,4 x 4,70653.0,59.36483942649286
16384,256,blackhole,riscv_0,17408,0,8,3,3,3 x 3,69624.0,60.2422153280478
16384,256,blackhole,riscv_0,99328,1,8,3,3,3 x 3,70133.0,59.804999073189514
16384,256,blackhole,riscv_0,19456,0,10,3,3,3 x 3,69751.0,60.132528565898696
16384,256,blackhole,riscv_0,20480,0,1,4,4,4 x 4,70710.0,59.31698486776976
16384,256,blackhole,riscv_0,101376,1,10,3,3,3 x 3,69444.0,60.39836414953056
16384,256,blackhole,riscv_0,102400,1,1,4,4,4 x 4,70797.0,59.24409226379649
16384,256,blackhole,riscv_0,28672,0,9,4,4,4 x 4,71912.0,58.32550895538992
16384,256,blackhole,riscv_0,110592,1,9,4,4,4 x 4,69930.0,59.97860717860718
16384,256,blackhole,riscv_0,31744,0,2,5,5,5 x 5,72774.0,57.634649737543626
16384,256,blackhole,riscv_0,113664,1,2,5,5,5 x 5,72628.0,57.750509445392964
16384,256,blackhole,riscv_0,27648,0,8,4,4,4 x 4,70125.0,59.81182174688057
16384,256,blackhole,riscv_0,109568,1,8,4,4,4 x 4,71783.0,58.430324728696206
16384,256,blackhole,riscv_0,29696,0,10,4,4,4 x 4,70406.0,59.57310456495185
16384,256,blackhole,riscv_0,30720,0,1,5,5,5 x 5,73241.0,57.26715910487295
16384,256,blackhole,riscv_0,111616,1,10,4,4,4 x 4,70030.0,59.892960159931455
16384,256,blackhole,riscv_0,112640,1,1,5,5,5 x 5,73157.0,57.33291414355428
16384,256,blackhole,riscv_0,38912,0,9,5,5,5 x 5,74669.0,56.17195891199829
16384,256,blackhole,riscv_0,120832,1,9,5,5,5 x 5,70941.0,59.12383529975614
16384,256,blackhole,riscv_0,41984,0,2,6,6,6 x 6,75301.0,55.70050862538346
16384,256,blackhole,riscv_0,123904,1,2,6,6,6 x 6,75160.0,55.805002660989885
16384,256,blackhole,riscv_0,37888,0,8,5,5,5 x 5,70588.0,59.41950473168244
16384,256,blackhole,riscv_0,119808,1,8,5,5,5 x 5,73995.0,56.68361375768633
16384,256,blackhole,riscv_0,39936,0,10,5,5,5 x 5,70630.0,59.38417103213932
16384,256,blackhole,riscv_0,40960,0,1,6,6,6 x 6,75396.0,55.63032521619184
16384,256,blackhole,riscv_0,121856,1,10,5,5,5 x 5,70344.0,59.62561128170135
16384,256,blackhole,riscv_0,122880,1,1,6,6,6 x 6,75079.0,55.86520864689194
16384,256,blackhole,riscv_0,49152,0,9,6,6,6 x 6,76934.0,54.51821041412119
16384,256,blackhole,riscv_0,131072,1,9,6,6,6 x 6,70767.0,59.26920739892888
16384,256,blackhole,riscv_0,52224,0,2,7,7,7 x 7,78341.0,53.53906638924701
16384,256,blackhole,riscv_0,134144,1,2,7,7,7 x 7,78277.0,53.58284042566782
16384,256,blackhole,riscv_0,48128,0,8,6,6,6 x 6,70806.0,59.23656187328758
16384,256,blackhole,riscv_0,130048,1,8,6,6,6 x 6,76653.0,54.71806713370644
16384,256,blackhole,riscv_0,50176,0,10,6,6,6 x 6,70902.0,59.15635666130716
16384,256,blackhole,riscv_0,51200,0,1,7,7,7 x 7,78635.0,53.338894894131116
16384,256,blackhole,riscv_0,132096,1,10,6,6,6 x 6,70797.0,59.24409226379649
16384,256,blackhole,riscv_0,133120,1,1,7,7,7 x 7,78384.0,53.509695856297206
16384,256,blackhole,riscv_0,59392,0,9,7,7,7 x 7,80414.0,52.15887780734698
16384,256,blackhole,riscv_0,141312,1,9,7,7,7 x 7,70760.0,59.275070661390615
16384,256,blackhole,riscv_0,62464,0,2,8,8,8 x 8,81992.0,51.155039516050344
16384,256,blackhole,riscv_0,144384,1,2,8,8,8 x 8,81885.0,51.22188435000305
16384,256,blackhole,riscv_0,58368,0,8,7,7,7 x 7,71007.0,59.068880532905204
16384,256,blackhole,riscv_0,140288,1,8,7,7,7 x 7,79943.0,52.46618215478529
16384,256,blackhole,riscv_0,60416,0,10,7,7,7 x 7,70998.0,59.07636834840418
16384,256,blackhole,riscv_0,61440,0,1,8,8,8 x 8,81963.0,51.173139099349704
16384,256,blackhole,riscv_0,142336,1,10,7,7,7 x 7,70540.0,59.45993762404309
16384,256,blackhole,riscv_0,143360,1,1,8,8,8 x 8,81776.0,51.29015848170612
16384,256,blackhole,riscv_0,69632,0,9,8,8,8 x 8,83927.0,49.97562167121427
16384,256,blackhole,riscv_0,151552,1,9,8,8,8 x 8,71195.0,58.9129011868811
16384,256,blackhole,riscv_0,72704,0,2,9,9,9 x 9,85870.0,48.84481192500291
16384,256,blackhole,riscv_0,154624,1,2,9,9,9 x 9,85861.0,48.84993186662163
16384,256,blackhole,riscv_0,68608,0,8,8,8,8 x 8,71063.0,59.02233229669448
16384,256,blackhole,riscv_0,150528,1,8,8,8,8 x 8,83636.0,50.149504997847814
16384,256,blackhole,riscv_0,70656,0,10,8,8,8 x 8,71125.0,58.97088224956063
16384,256,blackhole,riscv_0,71680,0,1,9,9,9 x 9,86282.0,48.61157599499316
16384,256,blackhole,riscv_0,152576,1,10,8,8,8 x 8,71262.0,58.857511717324805
16384,256,blackhole,riscv_0,153600,1,1,9,9,9 x 9,85951.0,48.79878070063175
16384,256,blackhole,riscv_0,79872,0,9,9,9,9 x 9,88510.0,47.387910970511804
16384,256,blackhole,riscv_0,161792,1,9,9,9,9 x 9,72112.0,58.16374528511205
16384,256,blackhole,riscv_0,78848,0,8,9,9,9 x 9,71343.0,58.79068724331749
16384,256,blackhole,riscv_0,160768,1,8,9,9,9 x 9,87900.0,47.71676905574517
16384,256,blackhole,riscv_0,80896,0,10,9,9,9 x 9,71310.0,58.81789370354789
16384,256,blackhole,riscv_0,162816,1,10,9,9,9 x 9,71662.0,58.52898328263236
