Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Multicast Scheme Type,Subordinate Grid Size X,Subordinate Grid Size Y,Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
16384,256,blackhole,riscv_0,2048,0,3,2,2,2 x 2,68639.0,61.10671775521205
16384,256,blackhole,riscv_0,6144,0,7,2,2,2 x 2,69365.0,60.467152021913066
16384,256,blackhole,riscv_0,12288,0,3,3,3,3 x 3,69525.0,60.32799712333693
16384,256,blackhole,riscv_0,16384,0,7,3,3,3 x 3,69704.0,60.173074715941695
16384,256,blackhole,riscv_0,22528,0,3,4,4,4 x 4,71654.0,58.53551790549027
16384,256,blackhole,riscv_0,26624,0,7,4,4,4 x 4,70326.0,59.640872508034015
16384,256,blackhole,riscv_0,32768,0,3,5,5,5 x 5,73351.0,57.18127905550027
16384,256,blackhole,riscv_0,36864,0,7,5,5,5 x 5,70434.0,59.54942215407332
16384,256,blackhole,riscv_0,43008,0,3,6,6,6 x 6,76061.0,55.14395025045687
16384,256,blackhole,riscv_0,47104,0,7,6,6,6 x 6,71096.0,58.9949364239901
16384,256,blackhole,riscv_0,53248,0,3,7,7,7 x 7,78791.0,53.23328806589585
16384,256,blackhole,riscv_0,57344,0,7,7,7,7 x 7,70785.0,59.25413576322667
16384,256,blackhole,riscv_0,63488,0,3,8,8,8 x 8,82733.0,50.69686823879226
16384,256,blackhole,riscv_0,67584,0,7,8,8,8 x 8,71182.0,58.923660475963025
16384,256,blackhole,riscv_0,73728,0,3,9,9,9 x 9,86255.0,48.626792649701464
16384,256,blackhole,riscv_0,77824,0,7,9,9,9 x 9,71287.0,58.836870677683166
16384,256,blackhole,riscv_0,83968,1,3,2,2,2 x 2,68231.0,61.472116779762864
16384,256,blackhole,riscv_0,88064,1,7,2,2,2 x 2,69579.0,60.28117679184812
16384,256,blackhole,riscv_0,94208,1,3,3,3,3 x 3,68910.0,60.86640545639239
16384,256,blackhole,riscv_0,98304,1,7,3,3,3 x 3,69788.0,60.100647675818195
16384,256,blackhole,riscv_0,104448,1,3,4,4,4 x 4,71090.0,58.99991559994373
16384,256,blackhole,riscv_0,108544,1,7,4,4,4 x 4,70536.0,59.46330951570829
16384,256,blackhole,riscv_0,114688,1,3,5,5,5 x 5,72782.0,57.628314693193374
16384,256,blackhole,riscv_0,118784,1,7,5,5,5 x 5,70662.0,59.357278310831845
16384,256,blackhole,riscv_0,124928,1,3,6,6,6 x 6,75669.0,55.429621113005325
