Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
65536,1,blackhole,riscv_0,1024,2,4,262144,3242.0,80.85872917951882
65536,1,blackhole,riscv_0,2048,3,6,393216,3273.0,120.13932172318974
65536,1,blackhole,riscv_0,3072,4,9,589824,4991.0,118.1775195351633
65536,1,blackhole,riscv_0,4096,5,12,786432,5112.0,153.84037558685446
65536,1,blackhole,riscv_0,5120,6,15,983040,4802.0,204.71470220741358
65536,1,blackhole,riscv_0,6144,7,18,1179648,4802.0,245.65764264889629
65536,4,blackhole,riscv_0,8192,2,4,1048576,11555.0,90.74651665945478
65536,4,blackhole,riscv_0,9216,3,6,1572864,11580.0,135.8259067357513
65536,4,blackhole,riscv_0,10240,4,9,2359296,18039.0,130.78862464659903
65536,4,blackhole,riscv_0,11264,5,12,3145728,18161.0,173.2133693078575
65536,4,blackhole,riscv_0,12288,6,15,3932160,18150.0,216.64793388429752
65536,4,blackhole,riscv_0,13312,7,18,4718592,17888.0,263.78533094812167
65536,16,blackhole,riscv_0,15360,2,4,4194304,45145.0,92.90738730756452
65536,16,blackhole,riscv_0,16384,3,6,6291456,44757.0,140.56920705141096
65536,16,blackhole,riscv_0,17408,4,9,9437184,85623.0,110.21786202305455
65536,16,blackhole,riscv_0,18432,5,12,12582912,85667.0,146.8816697211295
65536,16,blackhole,riscv_0,19456,6,15,15728640,85668.0,183.59994396974366
65536,16,blackhole,riscv_0,20480,7,18,18874368,85569.0,220.57483434421343
65536,64,blackhole,riscv_0,22528,2,4,16777216,178063.0,94.22067470502013
65536,64,blackhole,riscv_0,23552,3,6,25165824,177933.0,141.43427020282917
65536,64,blackhole,riscv_0,24576,4,9,37748736,351083.0,107.52083125642655
65536,64,blackhole,riscv_0,25600,5,12,50331648,351248.0,143.29376395025736
65536,64,blackhole,riscv_0,26624,6,15,62914560,351281.0,179.10037832959938
65536,64,blackhole,riscv_0,27648,7,18,75497472,352027.0,214.46500410479877
65536,256,blackhole,riscv_0,29696,2,4,67108864,710838.0,94.40809861037255
65536,256,blackhole,riscv_0,30720,3,6,100663296,710929.0,141.59402134390353
65536,256,blackhole,riscv_0,31744,4,9,150994944,1416941.0,106.56403054185037
65536,256,blackhole,riscv_0,32768,5,12,201326592,1416122.0,142.16754771128475
65536,256,blackhole,riscv_0,33792,6,15,251658240,1417328.0,177.55822223225675
65536,256,blackhole,riscv_0,34816,7,18,301989888,1416722.0,213.16100688773096
65536,1,blackhole,riscv_0,0,1,2,131072,3167.0,41.38680138932744
65536,4,blackhole,riscv_0,7168,1,2,524288,11466.0,45.72544915402058
65536,16,blackhole,riscv_0,14336,1,2,2097152,44672.0,46.94555873925501
65536,64,blackhole,riscv_0,21504,1,2,8388608,178036.0,47.11748185760183
65536,256,blackhole,riscv_0,28672,1,2,33554432,710537.0,47.22404603841883
