Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,28160,blackhole,riscv_1,0,1,0,987639.0,1.8247963071527147
64,28160,blackhole,riscv_1,1024,2,0,987638.0,1.8247981547895078
64,28160,blackhole,riscv_1,2048,3,0,987637.0,1.8248000024300426
64,28160,blackhole,riscv_1,3072,4,0,987637.0,1.8248000024300426
128,28160,blackhole,riscv_1,4096,1,0,987637.0,3.649600004860085
128,28160,blackhole,riscv_1,5120,2,0,987638.0,3.6495963095790156
128,28160,blackhole,riscv_1,6144,3,0,987636.0,3.6496037001486377
128,28160,blackhole,riscv_1,7168,4,0,987638.0,3.6495963095790156
256,28160,blackhole,riscv_1,8192,1,0,987646.0,7.299133495199697
256,28160,blackhole,riscv_1,9216,2,0,987643.0,7.299155666571828
256,28160,blackhole,riscv_1,10240,3,0,987648.0,7.299118714359772
256,28160,blackhole,riscv_1,11264,4,0,987645.0,7.2991408856421085
512,28160,blackhole,riscv_1,12288,1,0,987647.0,14.598252209544503
512,28160,blackhole,riscv_1,13312,2,0,987645.0,14.598281771284217
512,28160,blackhole,riscv_1,14336,3,0,987646.0,14.598266990399393
512,28160,blackhole,riscv_1,15360,4,0,987650.0,14.598207867159418
1024,28160,blackhole,riscv_1,16384,1,0,987655.0,29.1962679275658
1024,28160,blackhole,riscv_1,17408,2,0,987653.0,29.19632705008743
1024,28160,blackhole,riscv_1,18432,3,0,987655.0,29.1962679275658
1024,28160,blackhole,riscv_1,19456,4,0,987652.0,29.196356611438038
2048,28160,blackhole,riscv_1,20480,1,0,987671.0,58.39158991202536
2048,28160,blackhole,riscv_1,21504,2,0,987679.0,58.39111695196516
2048,28160,blackhole,riscv_1,22528,3,0,987673.0,58.39147167129202
2048,28160,blackhole,riscv_1,23552,4,0,987669.0,58.39170815323757
4096,28160,blackhole,riscv_1,24576,1,0,1889953.0,61.029750475276366
4096,28160,blackhole,riscv_1,25600,2,0,1891826.0,60.969328046025375
4096,28160,blackhole,riscv_1,26624,3,0,1887108.0,61.12175879705878
4096,28160,blackhole,riscv_1,27648,4,0,1887022.0,61.12454438792977
8192,28160,blackhole,riscv_1,28672,1,0,3738839.0,61.70009460155947
8192,28160,blackhole,riscv_1,29696,2,0,3735958.0,61.74767489356144
8192,28160,blackhole,riscv_1,30720,3,0,3747730.0,61.55371918467979
8192,28160,blackhole,riscv_1,31744,4,0,3743876.0,61.61708347178165
16384,28160,blackhole,riscv_1,32768,1,0,7454017.0,61.89594684315853
16384,28160,blackhole,riscv_1,33792,2,0,7452792.0,61.90612055186835
16384,28160,blackhole,riscv_1,34816,3,0,7453361.0,61.901394552068524
16384,28160,blackhole,riscv_1,35840,4,0,7453764.0,61.89804775144477
32768,28160,blackhole,riscv_1,36864,1,0,14909129.0,61.89140089940868
32768,28160,blackhole,riscv_1,37888,2,0,14901175.0,61.92443750241172
32768,28160,blackhole,riscv_1,38912,3,0,14947222.0,61.733670644618776
32768,28160,blackhole,riscv_1,39936,4,0,14915731.0,61.864006531091235
65536,28160,blackhole,riscv_1,40960,1,0,29820803.0,61.886118894920436
65536,28160,blackhole,riscv_1,41984,2,0,29825826.0,61.87569658590512
65536,28160,blackhole,riscv_1,43008,3,0,29828691.0,61.86975352019302
65536,28160,blackhole,riscv_1,44032,4,0,29802456.0,61.92421725243047
131072,28160,blackhole,riscv_1,45056,1,0,59628301.0,61.899927687022306
131072,28160,blackhole,riscv_1,46080,2,0,59601206.0,61.928067697153644
131072,28160,blackhole,riscv_1,47104,3,0,59804838.0,61.71720622334936
131072,28160,blackhole,riscv_1,48128,4,0,59668767.0,61.85794856461505
262144,28160,blackhole,riscv_1,49152,1,0,119297002.0,61.87896524004853
262144,28160,blackhole,riscv_1,50176,2,0,119309928.0,61.87226129245506
262144,28160,blackhole,riscv_1,51200,3,0,119347792.0,61.85263184424895
262144,28160,blackhole,riscv_1,52224,4,0,119215593.0,61.92122065777083
64,28160,blackhole,riscv_1,53248,1,1,987637.0,1.8248000024300426
64,28160,blackhole,riscv_1,54272,2,1,987640.0,1.824794459519663
64,28160,blackhole,riscv_1,55296,3,1,987640.0,1.824794459519663
64,28160,blackhole,riscv_1,56320,4,1,987638.0,1.8247981547895078
128,28160,blackhole,riscv_1,57344,1,1,987640.0,3.649588919039326
128,28160,blackhole,riscv_1,58368,2,1,987639.0,3.6495926143054294
128,28160,blackhole,riscv_1,59392,3,1,987658.0,3.6495224055290394
128,28160,blackhole,riscv_1,60416,4,1,987650.0,3.6495519667898546
256,28160,blackhole,riscv_1,61440,1,1,987671.0,7.29894873900317
256,28160,blackhole,riscv_1,62464,2,1,987648.0,7.299118714359772
256,28160,blackhole,riscv_1,63488,3,1,987646.0,7.299133495199697
256,28160,blackhole,riscv_1,64512,4,1,987637.0,7.29920000972017
512,28160,blackhole,riscv_1,65536,1,1,987646.0,14.598266990399393
512,28160,blackhole,riscv_1,66560,2,1,987650.0,14.598207867159418
512,28160,blackhole,riscv_1,67584,3,1,987645.0,14.598281771284217
512,28160,blackhole,riscv_1,68608,4,1,987650.0,14.598207867159418
1024,28160,blackhole,riscv_1,69632,1,1,987659.0,29.196149683240876
1024,28160,blackhole,riscv_1,70656,2,1,987653.0,29.19632705008743
1024,28160,blackhole,riscv_1,71680,3,1,987654.0,29.196297488796684
1024,28160,blackhole,riscv_1,72704,4,1,987652.0,29.196356611438038
