Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (GB/s),Clock Frequency (MHz)
64,1000000,blackhole,riscv_0,0,235346916.0,0.3671176213755867,1350
128,1000000,blackhole,riscv_0,1024,235396111.0,0.7340817962791238,1350
256,1000000,blackhole,riscv_0,2048,235508608.0,1.4674622848605177,1350
512,1000000,blackhole,riscv_0,3072,220914840.0,3.1288074626403555,1350
1024,1000000,blackhole,riscv_0,4096,216719719.0,6.378745812235019,1350
2048,1000000,blackhole,riscv_0,5120,206905071.0,13.36264977285163,1350
4096,1000000,blackhole,riscv_0,6144,212251846.0,26.05207023735379,1350
8192,1000000,blackhole,riscv_0,7168,665434980.0,16.619505034135717,1350
16384,1000000,blackhole,riscv_0,8192,1327084621.0,16.666910044766468,1350
