RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,0,64,1,331.0,0.1933534743202417
riscv_1,Receiver,1024,128,1,275.0,0.46545454545454545
riscv_1,Receiver,2048,256,1,288.0,0.8888888888888888
riscv_1,Receiver,3072,512,1,285.0,1.7964912280701755
riscv_1,Receiver,4096,1024,1,290.0,3.5310344827586206
riscv_1,Receiver,5120,2048,1,313.0,6.543130990415335
riscv_1,Receiver,6144,4096,1,343.0,11.941690962099125
riscv_1,Receiver,7168,8192,1,408.0,20.07843137254902
riscv_1,Receiver,8192,16384,1,551.0,29.73502722323049
riscv_1,Receiver,9216,32768,1,865.0,37.882080924855494
riscv_1,Receiver,10240,65536,1,1459.0,44.9184372858122
riscv_1,Receiver,11264,131072,1,2677.0,48.962271199103476
riscv_1,Receiver,12288,262144,1,5108.0,51.32028191072827
riscv_1,Receiver,13312,524288,1,9988.0,52.49179014817781
riscv_1,Receiver,14336,64,4,790.0,0.3240506329113924
riscv_1,Receiver,15360,128,4,797.0,0.6424090338770388
riscv_1,Receiver,16384,256,4,807.0,1.2688971499380421
riscv_1,Receiver,17408,512,4,823.0,2.488456865127582
riscv_1,Receiver,18432,1024,4,841.0,4.87039239001189
riscv_1,Receiver,19456,2048,4,873.0,9.383734249713632
riscv_1,Receiver,20480,4096,4,992.0,16.516129032258064
riscv_1,Receiver,21504,8192,4,1267.0,25.86266771902131
riscv_1,Receiver,22528,16384,4,1804.0,36.328159645232816
riscv_1,Receiver,23552,32768,4,2920.0,44.88767123287671
riscv_1,Receiver,24576,65536,4,5183.0,50.57765772718503
riscv_1,Receiver,25600,131072,4,9575.0,54.75592689295039
riscv_1,Receiver,26624,262144,4,18331.0,57.20233484261633
riscv_1,Receiver,27648,524288,4,35937.0,58.356345827420206
riscv_1,Receiver,28672,64,16,2874.0,0.3562978427279054
riscv_1,Receiver,29696,128,16,2886.0,0.7096327096327096
riscv_1,Receiver,30720,256,16,2869.0,1.4276751481352388
riscv_1,Receiver,31744,512,16,2892.0,2.8326417704011067
riscv_1,Receiver,32768,1024,16,2914.0,5.622512010981469
riscv_1,Receiver,33792,2048,16,3070.0,10.673615635179154
riscv_1,Receiver,34816,4096,16,3618.0,18.11387506909895
riscv_1,Receiver,35840,8192,16,4701.0,27.881727292065516
riscv_1,Receiver,36864,16384,16,6898.0,38.00289939112786
riscv_1,Receiver,37888,32768,16,11131.0,47.10160812146258
riscv_1,Receiver,38912,65536,16,19752.0,53.08707978938842
riscv_1,Receiver,39936,131072,16,36834.0,56.93522289189336
riscv_1,Receiver,40960,262144,16,71983.0,58.267979939707985
riscv_1,Receiver,41984,524288,16,139564.0,60.10581525321716
riscv_1,Receiver,43008,64,64,11260.0,0.36376554174067494
riscv_1,Receiver,44032,128,64,11360.0,0.7211267605633803
riscv_1,Receiver,45056,256,64,11318.0,1.4476055840254463
riscv_1,Receiver,46080,512,64,11244.0,2.9142653859836356
riscv_1,Receiver,47104,1024,64,11283.0,5.808384294957015
riscv_1,Receiver,48128,2048,64,11800.0,11.107796610169492
riscv_1,Receiver,49152,4096,64,14116.0,18.570699914990083
riscv_1,Receiver,50176,8192,64,18373.0,28.535786208022643
riscv_1,Receiver,51200,16384,64,26898.0,38.98341884154956
riscv_1,Receiver,52224,32768,64,43995.0,47.667962268439595
riscv_1,Receiver,53248,65536,64,79086.0,53.0347216953696
riscv_1,Receiver,54272,131072,64,146522.0,57.25152536820409
riscv_1,Receiver,55296,262144,64,282283.0,59.43402897092634
riscv_1,Receiver,56320,524288,64,552591.0,60.72200234893438
riscv_1,Receiver,57344,64,256,44718.0,0.3663849009347466
riscv_1,Receiver,58368,128,256,44590.0,0.7348732899753307
riscv_1,Receiver,59392,256,256,44979.0,1.4570355054581026
riscv_1,Receiver,60416,512,256,44594.0,2.939229492756873
riscv_1,Receiver,61440,1024,256,44919.0,5.835926890625347
riscv_1,Receiver,62464,2048,256,48530.0,10.80337935297754
riscv_1,Receiver,63488,4096,256,55957.0,18.73896027306682
riscv_1,Receiver,64512,8192,256,73118.0,28.681747312563253
riscv_1,Receiver,65536,16384,256,107933.0,38.860255899493204
riscv_1,Receiver,66560,32768,256,175207.0,47.87826970383603
riscv_1,Receiver,67584,65536,256,312023.0,53.76916445262048
riscv_1,Receiver,68608,131072,256,580207.0,57.831828985172535
riscv_1,Receiver,69632,262144,256,1142019.0,58.76335157295982
riscv_1,Receiver,70656,524288,256,2201518.0,60.96599164758135
