Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,2x2,4,256,850.0,0.30117647058823527
128,1,blackhole,riscv_1,1024,2x2,4,512,902.0,0.5676274944567627
256,1,blackhole,riscv_1,2048,2x2,4,1024,889.0,1.1518560179977504
512,1,blackhole,riscv_1,3072,2x2,4,2048,897.0,2.2831661092530657
1024,1,blackhole,riscv_1,4096,2x2,4,4096,880.0,4.654545454545454
2048,1,blackhole,riscv_1,5120,2x2,4,8192,916.0,8.943231441048034
4096,1,blackhole,riscv_1,6144,2x2,4,16384,929.0,17.636167922497307
8192,1,blackhole,riscv_1,7168,2x2,4,32768,1037.0,31.59884281581485
16384,1,blackhole,riscv_1,8192,2x2,4,65536,1234.0,53.10858995137763
64,4,blackhole,riscv_1,9216,2x2,4,1024,1020.0,1.003921568627451
128,4,blackhole,riscv_1,10240,2x2,4,2048,1018.0,2.011787819253438
256,4,blackhole,riscv_1,11264,2x2,4,4096,1017.0,4.027531956735497
512,4,blackhole,riscv_1,12288,2x2,4,8192,1018.0,8.047151277013752
1024,4,blackhole,riscv_1,13312,2x2,4,16384,1002.0,16.35129740518962
2048,4,blackhole,riscv_1,14336,2x2,4,32768,1025.0,31.968780487804878
4096,4,blackhole,riscv_1,15360,2x2,4,65536,1187.0,55.21145745577085
8192,4,blackhole,riscv_1,16384,2x2,4,131072,1773.0,73.92667794698252
16384,4,blackhole,riscv_1,17408,2x2,4,262144,3152.0,83.16751269035532
64,16,blackhole,riscv_1,18432,2x2,4,4096,1456.0,2.8131868131868134
128,16,blackhole,riscv_1,19456,2x2,4,8192,1486.0,5.51278600269179
256,16,blackhole,riscv_1,20480,2x2,4,16384,1459.0,11.22960932145305
512,16,blackhole,riscv_1,21504,2x2,4,32768,1461.0,22.428473648186174
1024,16,blackhole,riscv_1,22528,2x2,4,65536,1474.0,44.461329715061055
2048,16,blackhole,riscv_1,23552,2x2,4,131072,1876.0,69.86780383795309
4096,16,blackhole,riscv_1,24576,2x2,4,262144,2949.0,88.892505934215
8192,16,blackhole,riscv_1,25600,2x2,4,524288,5278.0,99.33459643804471
16384,16,blackhole,riscv_1,26624,2x2,4,1048576,9487.0,110.52766944239485
64,64,blackhole,riscv_1,27648,2x2,4,16384,3404.0,4.81316098707403
128,64,blackhole,riscv_1,28672,2x2,4,32768,3406.0,9.620669406928949
256,64,blackhole,riscv_1,29696,2x2,4,65536,3379.0,19.395087303936076
512,64,blackhole,riscv_1,30720,2x2,4,131072,3416.0,38.37002341920375
1024,64,blackhole,riscv_1,31744,2x2,4,262144,3424.0,76.5607476635514
2048,64,blackhole,riscv_1,32768,2x2,4,524288,5290.0,99.10926275992439
4096,64,blackhole,riscv_1,33792,2x2,4,1048576,9525.0,110.08671916010499
8192,64,blackhole,riscv_1,34816,2x2,4,2097152,18773.0,111.71107441538379
16384,64,blackhole,riscv_1,35840,2x2,4,4194304,37033.0,113.25855318229686
64,256,blackhole,riscv_1,36864,2x2,4,65536,11002.0,5.956735139065624
128,256,blackhole,riscv_1,37888,2x2,4,131072,11001.0,11.914553222434325
256,256,blackhole,riscv_1,38912,2x2,4,262144,11052.0,23.719145855953673
512,256,blackhole,riscv_1,39936,2x2,4,524288,11035.0,47.51137290439511
1024,256,blackhole,riscv_1,40960,2x2,4,1048576,11044.0,94.94530967040927
2048,256,blackhole,riscv_1,41984,2x2,4,2097152,19698.0,106.46522489592851
4096,256,blackhole,riscv_1,43008,2x2,4,4194304,36761.0,114.0965697342292
8192,256,blackhole,riscv_1,44032,2x2,4,8388608,72871.0,115.11586227717473
16384,256,blackhole,riscv_1,45056,2x2,4,16777216,145973.0,114.9336932172388
64,1,blackhole,riscv_1,46080,6x6,36,2304,855.0,2.694736842105263
128,1,blackhole,riscv_1,47104,6x6,36,4608,939.0,4.907348242811501
256,1,blackhole,riscv_1,48128,6x6,36,9216,917.0,10.050163576881134
512,1,blackhole,riscv_1,49152,6x6,36,18432,942.0,19.56687898089172
1024,1,blackhole,riscv_1,50176,6x6,36,36864,862.0,42.76566125290023
2048,1,blackhole,riscv_1,51200,6x6,36,73728,1006.0,73.2882703777336
4096,1,blackhole,riscv_1,52224,6x6,36,147456,1281.0,115.11007025761124
8192,1,blackhole,riscv_1,53248,6x6,36,294912,2157.0,136.72322670375522
16384,1,blackhole,riscv_1,54272,6x6,36,589824,4019.0,146.75889524757403
64,4,blackhole,riscv_1,55296,6x6,36,9216,978.0,9.423312883435583
128,4,blackhole,riscv_1,56320,6x6,36,18432,1035.0,17.808695652173913
256,4,blackhole,riscv_1,57344,6x6,36,36864,1054.0,34.9753320683112
512,4,blackhole,riscv_1,58368,6x6,36,73728,979.0,75.30949948927477
1024,4,blackhole,riscv_1,59392,6x6,36,147456,1408.0,104.72727272727273
2048,4,blackhole,riscv_1,60416,6x6,36,294912,2040.0,144.56470588235294
4096,4,blackhole,riscv_1,61440,6x6,36,589824,3893.0,151.50886206010787
8192,4,blackhole,riscv_1,62464,6x6,36,1179648,6965.0,169.36798277099786
16384,4,blackhole,riscv_1,63488,6x6,36,2359296,15026.0,157.01424198056702
64,16,blackhole,riscv_1,64512,6x6,36,36864,1530.0,24.094117647058823
