Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,blackhole,riscv_0,0,7,18,36864,915.0,40.28852459016394
4096,1,blackhole,riscv_0,1024,7,18,73728,867.0,85.03806228373702
8192,1,blackhole,riscv_0,2048,7,18,147456,1144.0,128.8951048951049
16384,1,blackhole,riscv_0,3072,7,18,294912,1705.0,172.96891495601173
32768,1,blackhole,riscv_0,4096,7,18,589824,2697.0,218.6963292547275
65536,1,blackhole,riscv_0,5120,7,18,1179648,4910.0,240.2541751527495
2048,4,blackhole,riscv_0,6144,7,18,147456,1134.0,130.03174603174602
4096,4,blackhole,riscv_0,7168,7,18,294912,1908.0,154.56603773584905
8192,4,blackhole,riscv_0,8192,7,18,589824,2795.0,211.02826475849733
16384,4,blackhole,riscv_0,9216,7,18,1179648,4926.0,239.4738124238733
32768,4,blackhole,riscv_0,10240,7,18,2359296,9170.0,257.28418756815705
65536,4,blackhole,riscv_0,11264,7,18,4718592,17958.0,262.7570998997661
2048,16,blackhole,riscv_0,12288,7,18,589824,2918.0,202.1329677861549
4096,16,blackhole,riscv_0,13312,7,18,1179648,5254.0,224.52379139703083
8192,16,blackhole,riscv_0,14336,7,18,2359296,10068.0,234.33611442193086
16384,16,blackhole,riscv_0,15360,7,18,4718592,17969.0,262.59624909566475
32768,16,blackhole,riscv_0,16384,7,18,9437184,41751.0,226.03492131924983
65536,16,blackhole,riscv_0,17408,7,18,18874368,85634.0,220.40740827241515
2048,64,blackhole,riscv_0,18432,7,18,2359296,9920.0,237.83225806451614
4096,64,blackhole,riscv_0,19456,7,18,4718592,20255.0,232.9593680572698
8192,64,blackhole,riscv_0,20480,7,18,9437184,45200.0,208.78725663716816
16384,64,blackhole,riscv_0,21504,7,18,18874368,87206.0,216.43428204481344
32768,64,blackhole,riscv_0,22528,7,18,37748736,174788.0,215.96869350298647
65536,64,blackhole,riscv_0,23552,7,18,75497472,351332.0,214.88925574670114
2048,256,blackhole,riscv_0,24576,7,18,9437184,45541.0,207.22390812674294
4096,256,blackhole,riscv_0,25600,7,18,18874368,97377.0,193.82778274130442
8192,256,blackhole,riscv_0,26624,7,18,37748736,193253.0,195.33324709060145
16384,256,blackhole,riscv_0,27648,7,18,75497472,357113.0,211.41059552578596
32768,256,blackhole,riscv_0,28672,7,18,150994944,711073.0,212.3480205267251
65536,256,blackhole,riscv_0,29696,7,18,301989888,1416498.0,213.1947154178827
