Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,10,blackhole,riscv_0,0,L1,unicast,column_to_column,True,False,False,10,0,559.5,1.143879376437516
128,10,blackhole,riscv_0,1024,L1,unicast,column_to_column,True,False,False,10,0,564.5,2.2674951358815036
256,10,blackhole,riscv_0,2048,L1,unicast,column_to_column,True,False,False,10,0,573.5,4.463822050337182
512,10,blackhole,riscv_0,3072,L1,unicast,column_to_column,True,False,False,10,0,807.0,6.3476437377578065
1024,10,blackhole,riscv_0,4096,L1,unicast,column_to_column,True,False,False,10,0,1236.0,8.319643251543422
2048,10,blackhole,riscv_0,5120,L1,unicast,column_to_column,True,False,False,10,0,2146.5,9.55262073677202
4096,10,blackhole,riscv_0,6144,L1,unicast,column_to_column,True,False,False,10,0,4076.0,10.073320648233691
8192,10,blackhole,riscv_0,7168,L1,unicast,column_to_column,True,False,False,10,0,8342.0,9.846839382156421
16384,10,blackhole,riscv_0,8192,L1,unicast,column_to_column,True,False,False,10,0,15689.5,10.471430664553877
32768,10,blackhole,riscv_0,9216,L1,unicast,column_to_column,True,False,False,10,0,32126.5,10.228437927576088
65536,10,blackhole,riscv_0,10240,L1,unicast,column_to_column,True,False,False,10,0,63515.0,10.334929514286909
64,40,blackhole,riscv_0,11264,L1,unicast,column_to_column,True,False,False,10,0,1384.5,1.8490837323494702
128,40,blackhole,riscv_0,12288,L1,unicast,column_to_column,True,False,False,10,0,1389.5,3.6847906255956375
256,40,blackhole,riscv_0,13312,L1,unicast,column_to_column,True,False,False,10,0,1846.0,5.5524227434132865
512,40,blackhole,riscv_0,14336,L1,unicast,column_to_column,True,False,False,10,0,2694.5,7.620512208648465
1024,40,blackhole,riscv_0,15360,L1,unicast,column_to_column,True,False,False,10,0,4613.5,8.9003166584023
2048,40,blackhole,riscv_0,16384,L1,unicast,column_to_column,True,False,False,10,0,8328.0,9.854804841990905
4096,40,blackhole,riscv_0,17408,L1,unicast,column_to_column,True,False,False,10,0,16189.5,10.138690050086852
8192,40,blackhole,riscv_0,18432,L1,unicast,column_to_column,True,False,False,10,0,32389.5,10.138011969710805
16384,40,blackhole,riscv_0,19456,L1,unicast,column_to_column,True,False,False,10,0,63068.0,10.413677196167711
32768,40,blackhole,riscv_0,20480,L1,unicast,column_to_column,True,False,False,10,0,126853.5,10.35232584495726
65536,40,blackhole,riscv_0,21504,L1,unicast,column_to_column,True,False,False,10,0,252687.5,10.397496759819727
64,160,blackhole,riscv_0,22528,L1,unicast,column_to_column,True,False,False,10,0,4298.5,2.3822302581274784
128,160,blackhole,riscv_0,23552,L1,unicast,column_to_column,True,False,False,10,0,4675.5,4.401220171045676
256,160,blackhole,riscv_0,24576,L1,unicast,column_to_column,True,False,False,10,0,6774.5,6.063756924839257
512,160,blackhole,riscv_0,25600,L1,unicast,column_to_column,True,False,False,10,0,9841.5,8.350443157333334
1024,160,blackhole,riscv_0,26624,L1,unicast,column_to_column,True,False,False,10,0,17343.5,9.470845603320193
2048,160,blackhole,riscv_0,27648,L1,unicast,column_to_column,True,False,False,10,0,32812.0,10.00962387121943
4096,160,blackhole,riscv_0,28672,L1,unicast,column_to_column,True,False,False,10,0,64255.5,10.21890235720356
8192,160,blackhole,riscv_0,29696,L1,unicast,column_to_column,True,False,False,10,0,129447.0,10.142491605391015
16384,160,blackhole,riscv_0,30720,L1,unicast,column_to_column,True,False,False,10,0,253384.5,10.36572327494082
32768,160,blackhole,riscv_0,31744,L1,unicast,column_to_column,True,False,False,10,0,507504.5,10.350613161611395
65536,160,blackhole,riscv_0,32768,L1,unicast,column_to_column,True,False,False,10,0,1012041.5,10.382459304008862
64,640,blackhole,riscv_0,33792,L1,unicast,column_to_column,True,False,False,10,0,15785.5,2.595784222828545
128,640,blackhole,riscv_0,34816,L1,unicast,column_to_column,True,False,False,10,0,18420.0,4.4842874912969
256,640,blackhole,riscv_0,35840,L1,unicast,column_to_column,True,False,False,10,0,26137.0,6.284806328358976
512,640,blackhole,riscv_0,36864,L1,unicast,column_to_column,True,False,False,10,0,38972.5,8.438101771430981
1024,640,blackhole,riscv_0,37888,L1,unicast,column_to_column,True,False,False,10,0,68573.0,9.586058115970548
2048,640,blackhole,riscv_0,38912,L1,unicast,column_to_column,True,False,False,10,0,130865.5,10.039570512806684
4096,640,blackhole,riscv_0,39936,L1,unicast,column_to_column,True,False,False,10,0,257430.0,10.203211211185346
8192,640,blackhole,riscv_0,40960,L1,unicast,column_to_column,True,False,False,10,0,516477.5,10.17068264831643
16384,640,blackhole,riscv_0,41984,L1,unicast,column_to_column,True,False,False,10,0,1013133.5,10.37049355059504
32768,640,blackhole,riscv_0,43008,L1,unicast,column_to_column,True,False,False,10,0,2022245.0,10.393024090981587
65536,640,blackhole,riscv_0,44032,L1,unicast,column_to_column,True,False,False,10,0,4048139.5,10.38226696001228
64,2560,blackhole,riscv_0,45056,L1,unicast,column_to_column,True,False,False,10,0,61884.5,2.6475316404720055
128,2560,blackhole,riscv_0,46080,L1,unicast,column_to_column,True,False,False,10,0,73969.5,4.468631899430722
