Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,256,blackhole,riscv_0,57344,1,0,6076.0,2.69651086240948
64,256,blackhole,riscv_0,58368,2,0,6584.0,2.488456865127582
64,256,blackhole,riscv_0,59392,3,0,8122.0,2.0172371337109087
64,256,blackhole,riscv_0,60416,4,0,6588.0,2.4869459623557986
128,256,blackhole,riscv_0,61440,1,0,6075.0,5.3939094650205766
128,256,blackhole,riscv_0,62464,2,0,6585.0,4.976157934700076
128,256,blackhole,riscv_0,63488,3,0,8124.0,4.033481043820778
128,256,blackhole,riscv_0,64512,4,0,6587.0,4.974647032032792
256,256,blackhole,riscv_0,65536,1,0,6083.0,10.77363143185928
256,256,blackhole,riscv_0,66560,2,0,6592.0,9.941747572815533
256,256,blackhole,riscv_0,67584,3,0,8132.0,8.059026069847516
256,256,blackhole,riscv_0,68608,4,0,6593.0,9.940239648111634
512,256,blackhole,riscv_0,69632,1,0,6082.0,21.5508056560342
512,256,blackhole,riscv_0,70656,2,0,6595.0,19.874450341167552
512,256,blackhole,riscv_0,71680,3,0,8133.0,16.11607033075126
512,256,blackhole,riscv_0,72704,4,0,6594.0,19.877464361540795
1024,256,blackhole,riscv_0,73728,1,0,6092.0,43.03086014445174
1024,256,blackhole,riscv_0,74752,2,0,6600.0,39.71878787878788
1024,256,blackhole,riscv_0,75776,3,0,8139.0,32.20837940778966
1024,256,blackhole,riscv_0,76800,4,0,6602.0,39.70675552862769
2048,256,blackhole,riscv_0,77824,1,0,8924.0,58.75033617212013
2048,256,blackhole,riscv_0,78848,2,0,9034.0,58.03497896834182
2048,256,blackhole,riscv_0,79872,3,0,8731.0,60.04902073072959
2048,256,blackhole,riscv_0,80896,4,0,8950.0,58.579664804469274
4096,256,blackhole,riscv_0,81920,1,0,17220.0,60.892915214866434
4096,256,blackhole,riscv_0,82944,2,0,17162.0,61.098706444470345
4096,256,blackhole,riscv_0,83968,3,0,17564.0,59.70029606012298
4096,256,blackhole,riscv_0,84992,4,0,17276.0,60.69553137300301
8192,256,blackhole,riscv_0,86016,1,0,34011.0,61.66099203198965
8192,256,blackhole,riscv_0,87040,2,0,34961.0,59.98546952318298
8192,256,blackhole,riscv_0,88064,3,0,35707.0,58.73223737642479
8192,256,blackhole,riscv_0,89088,4,0,34556.0,60.6885056140757
16384,256,blackhole,riscv_0,90112,1,0,67677.0,61.97532396530579
16384,256,blackhole,riscv_0,91136,2,0,67104.0,62.50453028135431
16384,256,blackhole,riscv_0,92160,3,0,71172.0,58.9319395267802
16384,256,blackhole,riscv_0,93184,4,0,68670.0,61.07913208096694
32768,256,blackhole,riscv_0,94208,1,0,134978.0,62.14796485353169
32768,256,blackhole,riscv_0,95232,2,0,135772.0,61.78452110891789
32768,256,blackhole,riscv_0,96256,3,0,135833.0,61.756774863251195
32768,256,blackhole,riscv_0,97280,4,0,135827.0,61.75950289706759
65536,256,blackhole,riscv_0,98304,1,0,269800.0,62.18389918458117
65536,256,blackhole,riscv_0,99328,2,0,270907.0,61.92979878703762
65536,256,blackhole,riscv_0,100352,3,0,271010.0,61.90626176155861
65536,256,blackhole,riscv_0,101376,4,0,270941.0,61.922027304837584
131072,256,blackhole,riscv_0,102400,1,0,539341.0,62.21376086742895
131072,256,blackhole,riscv_0,103424,2,0,540427.0,62.088740940034455
131072,256,blackhole,riscv_0,104448,3,0,542691.0,61.829718937664346
131072,256,blackhole,riscv_0,105472,4,0,540324.0,62.100576691022425
262144,256,blackhole,riscv_0,106496,1,0,1078192.0,62.2420348138365
262144,256,blackhole,riscv_0,107520,2,0,1080293.0,62.12098384419782
262144,256,blackhole,riscv_0,108544,3,0,1081638.0,62.043737368694515
262144,256,blackhole,riscv_0,109568,4,0,1079581.0,62.16195357272868
64,256,blackhole,riscv_0,110592,1,1,6076.0,2.69651086240948
64,256,blackhole,riscv_0,111616,2,1,6586.0,2.487701184330398
64,256,blackhole,riscv_0,112640,3,1,8123.0,2.0169887972423983
64,256,blackhole,riscv_0,113664,4,1,6586.0,2.487701184330398
128,256,blackhole,riscv_0,114688,1,1,6076.0,5.39302172481896
128,256,blackhole,riscv_0,115712,2,1,6595.0,4.968612585291888
128,256,blackhole,riscv_0,116736,3,1,8121.0,4.03497106267701
128,256,blackhole,riscv_0,117760,4,1,6586.0,4.975402368660796
256,256,blackhole,riscv_0,118784,1,1,6085.0,10.770090386195562
256,256,blackhole,riscv_0,119808,2,1,6593.0,9.940239648111634
256,256,blackhole,riscv_0,120832,3,1,8134.0,8.057044504548807
256,256,blackhole,riscv_0,121856,4,1,6596.0,9.935718617343845
512,256,blackhole,riscv_0,122880,1,1,6083.0,21.54726286371856
512,256,blackhole,riscv_0,123904,2,1,6597.0,19.868425041685615
512,256,blackhole,riscv_0,124928,3,1,8131.0,16.12003443610872
512,256,blackhole,riscv_0,125952,4,1,6594.0,19.877464361540795
1024,256,blackhole,riscv_0,126976,1,1,6095.0,43.00968006562756
1024,256,blackhole,riscv_0,128000,2,1,6600.0,39.71878787878788
1024,256,blackhole,riscv_0,129024,3,1,8139.0,32.20837940778966
1024,256,blackhole,riscv_0,130048,4,1,6605.0,39.688720666162
2048,256,blackhole,riscv_0,131072,1,1,8912.0,58.829443447037704
2048,256,blackhole,riscv_0,132096,2,1,9006.0,58.215411947590496
2048,256,blackhole,riscv_0,133120,3,1,8767.0,59.802440971826165
2048,256,blackhole,riscv_0,134144,4,1,8900.0,58.90876404494382
4096,256,blackhole,riscv_0,135168,1,1,17100.0,61.32023391812866
4096,256,blackhole,riscv_0,136192,2,1,17113.0,61.27365160988722
4096,256,blackhole,riscv_0,137216,3,1,17931.0,58.47838938151804
4096,256,blackhole,riscv_0,138240,4,1,17280.0,60.681481481481484
8192,256,blackhole,riscv_0,139264,1,1,33907.0,61.85011944436252
8192,256,blackhole,riscv_0,140288,2,1,33900.0,61.86289085545723
8192,256,blackhole,riscv_0,141312,3,1,35700.0,58.74375350140056
