Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,2,blackhole,riscv_0,0,450.0,0.28444444444444444
128,2,blackhole,riscv_0,1024,450.0,0.5688888888888889
256,2,blackhole,riscv_0,2048,449.0,1.1403118040089086
512,2,blackhole,riscv_0,3072,458.0,2.2358078602620086
1024,2,blackhole,riscv_0,4096,473.0,4.3298097251585626
2048,2,blackhole,riscv_0,5120,515.0,7.953398058252427
4096,2,blackhole,riscv_0,6144,579.0,14.14853195164076
8192,2,blackhole,riscv_0,7168,713.0,22.978962131837307
16384,2,blackhole,riscv_0,8192,977.0,33.53940634595701
64,4,blackhole,riscv_0,9216,486.0,0.5267489711934157
128,4,blackhole,riscv_0,10240,485.0,1.0556701030927835
256,4,blackhole,riscv_0,11264,492.0,2.0813008130081303
512,4,blackhole,riscv_0,12288,499.0,4.104208416833667
1024,4,blackhole,riscv_0,13312,517.0,7.922630560928433
2048,4,blackhole,riscv_0,14336,549.0,14.92167577413479
4096,4,blackhole,riscv_0,15360,644.0,25.440993788819874
8192,4,blackhole,riscv_0,16384,845.0,38.77869822485207
16384,4,blackhole,riscv_0,17408,1260.0,52.01269841269841
64,8,blackhole,riscv_0,18432,570.0,0.8982456140350877
128,8,blackhole,riscv_0,19456,569.0,1.7996485061511422
256,8,blackhole,riscv_0,20480,570.0,3.592982456140351
512,8,blackhole,riscv_0,21504,583.0,7.025728987993139
1024,8,blackhole,riscv_0,22528,602.0,13.60797342192691
2048,8,blackhole,riscv_0,23552,631.0,25.96513470681458
4096,8,blackhole,riscv_0,24576,792.0,41.37373737373738
8192,8,blackhole,riscv_0,25600,1119.0,58.56657730116175
16384,8,blackhole,riscv_0,26624,1792.0,73.14285714285714
64,16,blackhole,riscv_0,27648,788.0,1.299492385786802
128,16,blackhole,riscv_0,28672,790.0,2.5924050632911393
256,16,blackhole,riscv_0,29696,788.0,5.197969543147208
512,16,blackhole,riscv_0,30720,798.0,10.265664160401002
1024,16,blackhole,riscv_0,31744,804.0,20.378109452736318
2048,16,blackhole,riscv_0,32768,821.0,39.91230207064555
4096,16,blackhole,riscv_0,33792,1099.0,59.632393084622386
8192,16,blackhole,riscv_0,34816,1664.0,78.76923076923077
16384,16,blackhole,riscv_0,35840,2866.0,91.46685275645498
64,30,blackhole,riscv_0,36864,1275.0,1.5058823529411764
128,30,blackhole,riscv_0,37888,1302.0,2.9493087557603688
256,30,blackhole,riscv_0,38912,1290.0,5.953488372093023
512,30,blackhole,riscv_0,39936,1280.0,12.0
1024,30,blackhole,riscv_0,40960,1292.0,23.777089783281735
2048,30,blackhole,riscv_0,41984,1331.0,46.160781367392936
4096,30,blackhole,riscv_0,43008,1835.0,66.96457765667574
8192,30,blackhole,riscv_0,44032,2806.0,87.58374910905204
16384,30,blackhole,riscv_0,45056,4792.0,102.57095158597663
