Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,206.0,0.3106796116504854
128,1,blackhole,riscv_0,1024,206.0,0.6213592233009708
256,1,blackhole,riscv_0,2048,206.0,1.2427184466019416
512,1,blackhole,riscv_0,3072,214.0,2.392523364485981
1024,1,blackhole,riscv_0,4096,230.0,4.452173913043478
2048,1,blackhole,riscv_0,5120,240.0,8.533333333333333
4096,1,blackhole,riscv_0,6144,279.0,14.68100358422939
8192,1,blackhole,riscv_0,7168,343.0,23.88338192419825
16384,1,blackhole,riscv_0,8192,478.0,34.27615062761506
64,4,blackhole,riscv_0,9216,455.0,0.5626373626373626
128,4,blackhole,riscv_0,10240,455.0,1.1252747252747253
256,4,blackhole,riscv_0,11264,463.0,2.2116630669546438
512,4,blackhole,riscv_0,12288,463.0,4.4233261339092875
1024,4,blackhole,riscv_0,13312,471.0,8.696390658174098
2048,4,blackhole,riscv_0,14336,501.0,16.35129740518962
4096,4,blackhole,riscv_0,15360,639.0,25.640062597809077
8192,4,blackhole,riscv_0,16384,895.0,36.61229050279329
16384,4,blackhole,riscv_0,17408,1423.0,46.0548137737175
64,16,blackhole,riscv_0,18432,815.0,1.2564417177914111
128,16,blackhole,riscv_0,19456,815.0,2.5128834355828222
256,16,blackhole,riscv_0,20480,823.0,4.976913730255164
512,16,blackhole,riscv_0,21504,823.0,9.953827460510327
1024,16,blackhole,riscv_0,22528,832.0,19.692307692307693
2048,16,blackhole,riscv_0,23552,907.0,36.12789415656009
4096,16,blackhole,riscv_0,24576,1415.0,46.31519434628975
8192,16,blackhole,riscv_0,25600,2471.0,53.04411169566977
16384,16,blackhole,riscv_0,26624,4554.0,57.56346069389548
64,64,blackhole,riscv_0,27648,2303.0,1.7785497177594443
128,64,blackhole,riscv_0,28672,2313.0,3.541720709035884
256,64,blackhole,riscv_0,29696,2310.0,7.092640692640693
512,64,blackhole,riscv_0,30720,2311.0,14.179143228039809
1024,64,blackhole,riscv_0,31744,2321.0,28.236105127100387
2048,64,blackhole,riscv_0,32768,2553.0,51.34038386212299
4096,64,blackhole,riscv_0,33792,4572.0,57.336832895888016
8192,64,blackhole,riscv_0,34816,8758.0,59.86389586663622
16384,64,blackhole,riscv_0,35840,17067.0,61.43880002343704
64,256,blackhole,riscv_0,36864,8232.0,1.9902818270165208
128,256,blackhole,riscv_0,37888,8240.0,3.9766990291262134
256,256,blackhole,riscv_0,38912,8243.0,7.950503457479073
512,256,blackhole,riscv_0,39936,8238.0,15.910657926681234
1024,256,blackhole,riscv_0,40960,8250.0,31.775030303030302
2048,256,blackhole,riscv_0,41984,9081.0,57.734610725691006
4096,256,blackhole,riscv_0,43008,17112.0,61.277232351566155
8192,256,blackhole,riscv_0,44032,33922.0,61.82276988385119
16384,256,blackhole,riscv_0,45056,67239.0,62.3790359761448
