Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,374.0,0.1711229946524064
128,1,blackhole,riscv_0,1024,374.0,0.3422459893048128
256,1,blackhole,riscv_0,2048,374.0,0.6844919786096256
512,1,blackhole,riscv_0,3072,383.0,1.3368146214099217
1024,1,blackhole,riscv_0,4096,391.0,2.6189258312020463
2048,1,blackhole,riscv_0,5120,407.0,5.031941031941032
4096,1,blackhole,riscv_0,6144,447.0,9.16331096196868
8192,1,blackhole,riscv_0,7168,516.0,15.875968992248062
16384,1,blackhole,riscv_0,8192,662.0,24.749244712990937
64,4,blackhole,riscv_0,9216,472.0,0.5423728813559322
128,4,blackhole,riscv_0,10240,470.0,1.0893617021276596
256,4,blackhole,riscv_0,11264,470.0,2.178723404255319
512,4,blackhole,riscv_0,12288,480.0,4.266666666666667
1024,4,blackhole,riscv_0,13312,487.0,8.410677618069816
2048,4,blackhole,riscv_0,14336,518.0,15.814671814671815
4096,4,blackhole,riscv_0,15360,647.0,25.323029366306027
8192,4,blackhole,riscv_0,16384,919.0,35.65614798694233
16384,4,blackhole,riscv_0,17408,1486.0,44.10228802153432
64,16,blackhole,riscv_0,18432,966.0,1.060041407867495
128,16,blackhole,riscv_0,19456,973.0,2.104830421377184
256,16,blackhole,riscv_0,20480,974.0,4.205338809034908
512,16,blackhole,riscv_0,21504,976.0,8.39344262295082
1024,16,blackhole,riscv_0,22528,981.0,16.7013251783894
2048,16,blackhole,riscv_0,23552,1014.0,32.315581854043394
4096,16,blackhole,riscv_0,24576,1409.0,46.51242015613911
8192,16,blackhole,riscv_0,25600,2452.0,53.45513866231648
16384,16,blackhole,riscv_0,26624,4718.0,55.562526494277236
64,64,blackhole,riscv_0,27648,2994.0,1.3680694722778892
128,64,blackhole,riscv_0,28672,2996.0,2.734312416555407
256,64,blackhole,riscv_0,29696,2990.0,5.479598662207358
512,64,blackhole,riscv_0,30720,3000.0,10.922666666666666
1024,64,blackhole,riscv_0,31744,3009.0,21.77999335327351
2048,64,blackhole,riscv_0,32768,3086.0,42.47310434219054
4096,64,blackhole,riscv_0,33792,4637.0,56.53310329954712
8192,64,blackhole,riscv_0,34816,8973.0,58.429510754485676
16384,64,blackhole,riscv_0,35840,18007.0,58.231576609096464
64,256,blackhole,riscv_0,36864,11044.0,1.483520463600145
128,256,blackhole,riscv_0,37888,11042.0,2.967578337257743
256,256,blackhole,riscv_0,38912,11044.0,5.93408185440058
512,256,blackhole,riscv_0,39936,11053.0,11.858499954763413
1024,256,blackhole,riscv_0,40960,11063.0,23.695561782518304
2048,256,blackhole,riscv_0,41984,11331.0,46.27023210661019
4096,256,blackhole,riscv_0,43008,17515.0,59.86731373108764
8192,256,blackhole,riscv_0,44032,35031.0,59.865604750078504
16384,256,blackhole,riscv_0,45056,71183.0,58.92283269881854
