Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,242.0,0.2644628099173554
128,1,blackhole,riscv_0,1024,251.0,0.5099601593625498
256,1,blackhole,riscv_0,2048,257.0,0.9961089494163424
512,1,blackhole,riscv_0,3072,251.0,2.039840637450199
1024,1,blackhole,riscv_0,4096,268.0,3.8208955223880596
2048,1,blackhole,riscv_0,5120,275.0,7.447272727272727
4096,1,blackhole,riscv_0,6144,306.0,13.38562091503268
8192,1,blackhole,riscv_0,7168,371.0,22.080862533692724
16384,1,blackhole,riscv_0,8192,515.0,31.813592233009707
64,4,blackhole,riscv_0,9216,329.0,0.7781155015197568
128,4,blackhole,riscv_0,10240,325.0,1.5753846153846154
256,4,blackhole,riscv_0,11264,329.0,3.1124620060790273
512,4,blackhole,riscv_0,12288,337.0,6.077151335311573
1024,4,blackhole,riscv_0,13312,343.0,11.941690962099125
2048,4,blackhole,riscv_0,14336,381.0,21.501312335958005
4096,4,blackhole,riscv_0,15360,516.0,31.751937984496124
8192,4,blackhole,riscv_0,16384,787.0,41.636594663278274
16384,4,blackhole,riscv_0,17408,1308.0,50.103975535168196
64,16,blackhole,riscv_0,18432,626.0,1.6357827476038338
128,16,blackhole,riscv_0,19456,626.0,3.2715654952076676
256,16,blackhole,riscv_0,20480,625.0,6.5536
512,16,blackhole,riscv_0,21504,633.0,12.941548183254344
1024,16,blackhole,riscv_0,22528,641.0,25.5600624024961
2048,16,blackhole,riscv_0,23552,786.0,41.68956743002545
4096,16,blackhole,riscv_0,24576,1323.0,49.535903250188966
8192,16,blackhole,riscv_0,25600,2387.0,54.91076665270214
16384,16,blackhole,riscv_0,26624,4493.0,58.34498108168262
64,64,blackhole,riscv_0,27648,1826.0,2.24315443592552
128,64,blackhole,riscv_0,28672,1828.0,4.481400437636761
256,64,blackhole,riscv_0,29696,1825.0,8.977534246575342
512,64,blackhole,riscv_0,30720,1834.0,17.866957470010906
1024,64,blackhole,riscv_0,31744,1841.0,35.59804454101032
2048,64,blackhole,riscv_0,32768,2424.0,54.07260726072607
4096,64,blackhole,riscv_0,33792,4515.0,58.06068660022149
8192,64,blackhole,riscv_0,34816,8741.0,59.98032261754948
16384,64,blackhole,riscv_0,35840,17084.0,61.37766331070007
64,256,blackhole,riscv_0,36864,6678.0,2.4534291704103026
128,256,blackhole,riscv_0,37888,6639.0,4.935683084801928
256,256,blackhole,riscv_0,38912,6675.0,9.81812734082397
512,256,blackhole,riscv_0,39936,6633.0,19.76059098447158
1024,256,blackhole,riscv_0,40960,6642.0,39.467630231857875
2048,256,blackhole,riscv_0,41984,8864.0,59.148014440433215
4096,256,blackhole,riscv_0,43008,17277.0,60.692018290212424
8192,256,blackhole,riscv_0,44032,34076.0,61.54337363540321
16384,256,blackhole,riscv_0,45056,67716.0,61.93963022033198
