Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,unicast,dram,one_from_one,riscv_0,0,11x10,110,7040,1724.0,4.083526682134571
128,1,blackhole,unicast,dram,one_from_one,riscv_0,1024,11x10,110,14080,1707.0,8.24838898652607
256,1,blackhole,unicast,dram,one_from_one,riscv_0,2048,11x10,110,28160,1714.0,16.429404900816802
512,1,blackhole,unicast,dram,one_from_one,riscv_0,3072,11x10,110,56320,1654.0,34.05078597339782
1024,1,blackhole,unicast,dram,one_from_one,riscv_0,4096,11x10,110,112640,1729.0,65.14748409485252
2048,1,blackhole,unicast,dram,one_from_one,riscv_0,5120,11x10,110,225280,1768.0,127.42081447963801
4096,1,blackhole,unicast,dram,one_from_one,riscv_0,6144,11x10,110,450560,2265.0,198.92273730684326
8192,1,blackhole,unicast,dram,one_from_one,riscv_0,7168,11x10,110,901120,4050.0,222.49876543209876
16384,1,blackhole,unicast,dram,one_from_one,riscv_0,8192,11x10,110,1802240,7936.0,227.09677419354838
64,4,blackhole,unicast,dram,one_from_one,riscv_0,9216,11x10,110,28160,1773.0,15.882684715172024
128,4,blackhole,unicast,dram,one_from_one,riscv_0,10240,11x10,110,56320,1759.0,32.01819215463331
256,4,blackhole,unicast,dram,one_from_one,riscv_0,11264,11x10,110,112640,1836.0,61.350762527233115
512,4,blackhole,unicast,dram,one_from_one,riscv_0,12288,11x10,110,225280,1998.0,112.75275275275276
1024,4,blackhole,unicast,dram,one_from_one,riscv_0,13312,11x10,110,450560,2420.0,186.1818181818182
2048,4,blackhole,unicast,dram,one_from_one,riscv_0,14336,11x10,110,901120,4083.0,220.70046534410972
4096,4,blackhole,unicast,dram,one_from_one,riscv_0,15360,11x10,110,1802240,7307.0,246.64568222252635
8192,4,blackhole,unicast,dram,one_from_one,riscv_0,16384,11x10,110,3604480,14222.0,253.44396006187597
16384,4,blackhole,unicast,dram,one_from_one,riscv_0,17408,11x10,110,7208960,28780.0,250.48505906879777
64,16,blackhole,unicast,dram,one_from_one,riscv_0,18432,11x10,110,112640,5126.0,21.974248927038627
128,16,blackhole,unicast,dram,one_from_one,riscv_0,19456,11x10,110,225280,5226.0,43.107539226942215
256,16,blackhole,unicast,dram,one_from_one,riscv_0,20480,11x10,110,450560,5231.0,86.13267061747275
512,16,blackhole,unicast,dram,one_from_one,riscv_0,21504,11x10,110,901120,5367.0,167.90013042668159
1024,16,blackhole,unicast,dram,one_from_one,riscv_0,22528,11x10,110,1802240,7534.0,239.21422882930713
2048,16,blackhole,unicast,dram,one_from_one,riscv_0,23552,11x10,110,3604480,13937.0,258.6266771902131
4096,16,blackhole,unicast,dram,one_from_one,riscv_0,24576,11x10,110,7208960,27962.0,257.8127458693942
8192,16,blackhole,unicast,dram,one_from_one,riscv_0,25600,11x10,110,14417920,54752.0,263.3313851548802
16384,16,blackhole,unicast,dram,one_from_one,riscv_0,26624,11x10,110,28835840,115200.0,250.3111111111111
64,64,blackhole,unicast,dram,one_from_one,riscv_0,27648,11x10,110,450560,17785.0,25.33370818105145
128,64,blackhole,unicast,dram,one_from_one,riscv_0,28672,11x10,110,901120,18344.0,49.12341910161361
256,64,blackhole,unicast,dram,one_from_one,riscv_0,29696,11x10,110,1802240,18565.0,97.07729598707245
512,64,blackhole,unicast,dram,one_from_one,riscv_0,30720,11x10,110,3604480,19665.0,183.29417747266717
1024,64,blackhole,unicast,dram,one_from_one,riscv_0,31744,11x10,110,7208960,29056.0,248.1057268722467
2048,64,blackhole,unicast,dram,one_from_one,riscv_0,32768,11x10,110,14417920,55228.0,261.06178025639167
4096,64,blackhole,unicast,dram,one_from_one,riscv_0,33792,11x10,110,28835840,109488.0,263.36986701739005
8192,64,blackhole,unicast,dram,one_from_one,riscv_0,34816,11x10,110,57671680,220531.0,261.51280318866736
16384,64,blackhole,unicast,dram,one_from_one,riscv_0,35840,11x10,110,115343360,457733.0,251.9882988554463
64,256,blackhole,unicast,dram,one_from_one,riscv_0,36864,11x10,110,1802240,72040.0,25.017212659633536
128,256,blackhole,unicast,dram,one_from_one,riscv_0,37888,11x10,110,3604480,74726.0,48.23595535690389
256,256,blackhole,unicast,dram,one_from_one,riscv_0,38912,11x10,110,7208960,75643.0,95.30240736089262
512,256,blackhole,unicast,dram,one_from_one,riscv_0,39936,11x10,110,14417920,79165.0,182.12492894587254
1024,256,blackhole,unicast,dram,one_from_one,riscv_0,40960,11x10,110,28835840,115741.0,249.14109952393707
2048,256,blackhole,unicast,dram,one_from_one,riscv_0,41984,11x10,110,57671680,221768.0,260.05411060207064
4096,256,blackhole,unicast,dram,one_from_one,riscv_0,43008,11x10,110,115343360,439525.0,262.42730220123997
8192,256,blackhole,unicast,dram,one_from_one,riscv_0,44032,11x10,110,230686720,897810.0,256.9438077098718
16384,256,blackhole,unicast,dram,one_from_one,riscv_0,45056,11x10,110,461373440,1880930.0,245.29006395772305
