Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Posted writes,Same destination,Same value,NoC Index,Stateful,Latency (cycles),Bandwidth (bytes/cycle)
32,1,blackhole,riscv_0,0,0,1,0,0,0,384.0,0.08333333333333333
32,1,blackhole,riscv_0,1024,0,1,1,0,0,384.0,0.08333333333333333
32,1,blackhole,riscv_0,2048,0,1,0,0,1,370.0,0.08648648648648649
32,1,blackhole,riscv_0,3072,0,1,1,0,1,371.0,0.0862533692722372
32,1,blackhole,riscv_0,4096,0,0,0,0,0,388.0,0.08247422680412371
32,1,blackhole,riscv_0,5120,0,0,1,0,0,385.0,0.08311688311688312
32,1,blackhole,riscv_0,6144,0,0,0,0,1,376.0,0.0851063829787234
32,1,blackhole,riscv_0,7168,0,0,1,0,1,379.0,0.08443271767810026
32,2,blackhole,riscv_0,8192,0,1,0,0,0,441.0,0.14512471655328799
32,2,blackhole,riscv_0,9216,0,1,1,0,0,431.0,0.14849187935034802
32,2,blackhole,riscv_0,10240,0,1,0,0,1,391.0,0.1636828644501279
32,2,blackhole,riscv_0,11264,0,1,1,0,1,400.0,0.16
32,2,blackhole,riscv_0,12288,0,0,0,0,0,447.0,0.14317673378076062
32,2,blackhole,riscv_0,13312,0,0,1,0,0,445.0,0.14382022471910114
32,2,blackhole,riscv_0,14336,0,0,0,0,1,401.0,0.1596009975062344
32,2,blackhole,riscv_0,15360,0,0,1,0,1,397.0,0.16120906801007556
32,4,blackhole,riscv_0,16384,0,1,0,0,0,518.0,0.2471042471042471
32,4,blackhole,riscv_0,17408,0,1,1,0,0,518.0,0.2471042471042471
32,4,blackhole,riscv_0,18432,0,1,0,0,1,423.0,0.30260047281323876
32,4,blackhole,riscv_0,19456,0,1,1,0,1,420.0,0.3047619047619048
32,4,blackhole,riscv_0,20480,0,0,0,0,0,536.0,0.23880597014925373
32,4,blackhole,riscv_0,21504,0,0,1,0,0,530.0,0.24150943396226415
32,4,blackhole,riscv_0,22528,0,0,0,0,1,463.0,0.27645788336933047
32,4,blackhole,riscv_0,23552,0,0,1,0,1,440.0,0.2909090909090909
32,8,blackhole,riscv_0,24576,0,1,0,0,0,689.0,0.37155297532656023
32,8,blackhole,riscv_0,25600,0,1,1,0,0,688.0,0.37209302325581395
32,8,blackhole,riscv_0,26624,0,1,0,0,1,499.0,0.5130260521042084
32,8,blackhole,riscv_0,27648,0,1,1,0,1,490.0,0.5224489795918368
32,8,blackhole,riscv_0,28672,0,0,0,0,0,719.0,0.3560500695410292
32,8,blackhole,riscv_0,29696,0,0,1,0,0,727.0,0.35213204951856947
32,8,blackhole,riscv_0,30720,0,0,0,0,1,539.0,0.4749536178107607
32,8,blackhole,riscv_0,31744,0,0,1,0,1,521.0,0.491362763915547
32,16,blackhole,riscv_0,32768,0,1,0,0,0,1034.0,0.4951644100580271
32,16,blackhole,riscv_0,33792,0,1,1,0,0,1035.0,0.49468599033816424
32,16,blackhole,riscv_0,34816,0,1,0,0,1,642.0,0.7975077881619937
32,16,blackhole,riscv_0,35840,0,1,1,0,1,636.0,0.8050314465408805
32,16,blackhole,riscv_0,36864,0,0,0,0,0,1091.0,0.4692942254812099
32,16,blackhole,riscv_0,37888,0,0,1,0,0,1174.0,0.43611584327086883
32,16,blackhole,riscv_0,38912,0,0,0,0,1,708.0,0.7231638418079096
32,16,blackhole,riscv_0,39936,0,0,1,0,1,675.0,0.7585185185185185
32,32,blackhole,riscv_0,40960,0,1,0,0,0,1733.0,0.5908828620888632
32,32,blackhole,riscv_0,41984,0,1,1,0,0,1722.0,0.59465737514518
32,32,blackhole,riscv_0,43008,0,1,0,0,1,928.0,1.103448275862069
32,32,blackhole,riscv_0,44032,0,1,1,0,1,897.0,1.1415830546265329
32,32,blackhole,riscv_0,45056,0,0,0,0,0,1821.0,0.5623283909939594
32,32,blackhole,riscv_0,46080,0,0,1,0,0,1879.0,0.5449707291112293
32,32,blackhole,riscv_0,47104,0,0,0,0,1,1056.0,0.9696969696969697
32,32,blackhole,riscv_0,48128,0,0,1,0,1,994.0,1.0301810865191148
32,64,blackhole,riscv_0,49152,0,1,0,0,0,3099.0,0.6608583414004517
32,64,blackhole,riscv_0,50176,0,1,1,0,0,3097.0,0.6612851146270584
32,64,blackhole,riscv_0,51200,0,1,0,0,1,1506.0,1.3598937583001327
32,64,blackhole,riscv_0,52224,0,1,1,0,1,1440.0,1.4222222222222223
32,64,blackhole,riscv_0,53248,0,0,0,0,0,3293.0,0.6219252960825995
32,64,blackhole,riscv_0,54272,0,0,1,0,0,3414.0,0.5998828353837141
32,64,blackhole,riscv_0,55296,0,0,0,0,1,1760.0,1.1636363636363636
32,64,blackhole,riscv_0,56320,0,0,1,0,1,1635.0,1.2525993883792048
32,128,blackhole,riscv_0,57344,0,1,0,0,0,5849.0,0.7002906479740126
32,128,blackhole,riscv_0,58368,0,1,1,0,0,5850.0,0.7001709401709402
32,128,blackhole,riscv_0,59392,0,1,0,0,1,2662.0,1.5386927122464313
32,128,blackhole,riscv_0,60416,0,1,1,0,1,2532.0,1.617693522906793
32,128,blackhole,riscv_0,61440,0,0,0,0,0,6238.0,0.6566207117665919
32,128,blackhole,riscv_0,62464,0,0,1,0,0,6486.0,0.631514030218933
32,128,blackhole,riscv_0,63488,0,0,0,0,1,3226.0,1.2696838189708617
32,128,blackhole,riscv_0,64512,0,0,1,0,1,2942.0,1.3922501699524132
32,256,blackhole,riscv_0,65536,0,1,0,0,0,11375.0,0.7201758241758242
32,256,blackhole,riscv_0,66560,0,1,1,0,0,11400.0,0.7185964912280701
32,256,blackhole,riscv_0,67584,0,1,0,0,1,4961.0,1.651279983874219
32,256,blackhole,riscv_0,68608,0,1,1,0,1,4704.0,1.7414965986394557
32,256,blackhole,riscv_0,69632,0,0,0,0,0,12124.0,0.6756845925437149
32,256,blackhole,riscv_0,70656,0,0,1,0,0,12626.0,0.6488198954538255
32,256,blackhole,riscv_0,71680,0,0,0,0,1,5983.0,1.369212769513622
32,256,blackhole,riscv_0,72704,0,0,1,0,1,5475.0,1.4962557077625571
32,512,blackhole,riscv_0,73728,0,1,0,0,0,22366.0,0.7325404632030761
32,512,blackhole,riscv_0,74752,0,1,1,0,0,22363.0,0.7326387336225014
32,512,blackhole,riscv_0,75776,0,1,0,0,1,9567.0,1.7125535695620362
32,512,blackhole,riscv_0,76800,0,1,1,0,1,9056.0,1.8091872791519434
32,512,blackhole,riscv_0,77824,0,0,0,0,0,23902.0,0.6854656514099239
32,512,blackhole,riscv_0,78848,0,0,1,0,0,24921.0,0.6574375025079251
32,512,blackhole,riscv_0,79872,0,0,0,0,1,11615.0,1.4105897546276367
32,512,blackhole,riscv_0,80896,0,0,1,0,1,10593.0,1.5466817709808365
32,1024,blackhole,riscv_0,81920,0,1,0,0,0,44378.0,0.7383838839064402
32,1024,blackhole,riscv_0,82944,0,1,1,0,0,44379.0,0.7383672457693954
32,1024,blackhole,riscv_0,83968,0,1,0,0,1,18783.0,1.7445562476707661
32,1024,blackhole,riscv_0,84992,0,1,1,0,1,17762.0,1.8448372930976242
32,1024,blackhole,riscv_0,86016,0,0,0,0,0,47457.0,0.6904776955981204
32,1024,blackhole,riscv_0,87040,0,0,1,0,0,49496.0,0.662033295619848
32,1024,blackhole,riscv_0,88064,0,0,0,0,1,22879.0,1.4322304296516457
32,1024,blackhole,riscv_0,89088,0,0,1,0,1,20833.0,1.5728891662266595
