Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,390.0,0.1641025641025641
128,1,blackhole,riscv_0,1024,390.0,0.3282051282051282
256,1,blackhole,riscv_0,2048,390.0,0.6564102564102564
512,1,blackhole,riscv_0,3072,398.0,1.2864321608040201
1024,1,blackhole,riscv_0,4096,407.0,2.515970515970516
2048,1,blackhole,riscv_0,5120,429.0,4.773892773892774
4096,1,blackhole,riscv_0,6144,462.0,8.865800865800866
8192,1,blackhole,riscv_0,7168,527.0,15.544592030360532
16384,1,blackhole,riscv_0,8192,662.0,24.749244712990937
32768,1,blackhole,riscv_0,9216,954.0,34.34800838574424
65536,1,blackhole,riscv_0,10240,2047.0,32.01563263312164
64,4,blackhole,riscv_0,11264,519.0,0.4932562620423892
128,4,blackhole,riscv_0,12288,518.0,0.9884169884169884
256,4,blackhole,riscv_0,13312,505.0,2.0277227722772277
512,4,blackhole,riscv_0,14336,507.0,4.039447731755424
1024,4,blackhole,riscv_0,15360,532.0,7.6992481203007515
2048,4,blackhole,riscv_0,16384,540.0,15.170370370370371
4096,4,blackhole,riscv_0,17408,651.0,25.167434715821813
8192,4,blackhole,riscv_0,18432,935.0,35.045989304812835
16384,4,blackhole,riscv_0,19456,1453.0,45.10392291810048
32768,4,blackhole,riscv_0,20480,2580.0,50.8031007751938
65536,4,blackhole,riscv_0,21504,5222.0,50.199923400995786
64,16,blackhole,riscv_0,22528,1000.0,1.024
128,16,blackhole,riscv_0,23552,1004.0,2.039840637450199
256,16,blackhole,riscv_0,24576,991.0,4.133198789101917
512,16,blackhole,riscv_0,25600,990.0,8.274747474747475
1024,16,blackhole,riscv_0,26624,1017.0,16.110127826941987
2048,16,blackhole,riscv_0,27648,1032.0,31.751937984496124
4096,16,blackhole,riscv_0,28672,1480.0,44.28108108108108
8192,16,blackhole,riscv_0,29696,2533.0,51.745756020529015
16384,16,blackhole,riscv_0,30720,4661.0,56.24200815275692
32768,16,blackhole,riscv_0,31744,8993.0,58.29956632936729
65536,16,blackhole,riscv_0,32768,18098.0,57.93877776549895
64,64,blackhole,riscv_0,33792,2940.0,1.3931972789115645
128,64,blackhole,riscv_0,34816,2940.0,2.786394557823129
256,64,blackhole,riscv_0,35840,2926.0,5.599453178400547
512,64,blackhole,riscv_0,36864,2924.0,11.20656634746922
1024,64,blackhole,riscv_0,37888,2955.0,22.178003384094755
2048,64,blackhole,riscv_0,38912,2961.0,44.2661263086795
4096,64,blackhole,riscv_0,39936,4718.0,55.562526494277236
8192,64,blackhole,riscv_0,40960,8967.0,58.46860711497714
16384,64,blackhole,riscv_0,41984,17481.0,59.98375378982896
32768,64,blackhole,riscv_0,43008,34709.0,60.420985911435075
65536,64,blackhole,riscv_0,44032,69227.0,60.58768977422104
64,256,blackhole,riscv_0,45056,10683.0,1.5336515959936348
128,256,blackhole,riscv_0,46080,10683.0,3.0673031919872695
256,256,blackhole,riscv_0,47104,10668.0,6.143232095988002
512,256,blackhole,riscv_0,48128,10670.0,12.284161199625117
1024,256,blackhole,riscv_0,49152,10699.0,24.501729133563884
2048,256,blackhole,riscv_0,50176,10713.0,48.9394193969943
4096,256,blackhole,riscv_0,51200,17757.0,59.05141634285071
8192,256,blackhole,riscv_0,52224,34647.0,60.52910785926631
16384,256,blackhole,riscv_0,53248,68681.0,61.06934960178215
32768,256,blackhole,riscv_0,54272,136910.0,61.27096632824483
65536,256,blackhole,riscv_0,55296,274606.0,61.09559150200651
