Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,blackhole,riscv_0,0,1,11,22528,972.0,23.17695473251029
4096,1,blackhole,riscv_0,1024,1,11,45056,1421.0,31.70724841660802
8192,1,blackhole,riscv_0,2048,1,11,90112,2408.0,37.42192691029901
16384,1,blackhole,riscv_0,3072,1,11,180224,4293.0,41.98089913813184
32768,1,blackhole,riscv_0,4096,1,11,360448,8044.0,44.80954748881154
65536,1,blackhole,riscv_0,5120,1,11,720896,15672.0,45.99897907095457
2048,4,blackhole,riscv_0,6144,1,11,90112,2447.0,36.825500612995505
4096,4,blackhole,riscv_0,7168,1,11,180224,4556.0,39.55750658472344
8192,4,blackhole,riscv_0,8192,1,11,360448,8738.0,41.25062943465324
16384,4,blackhole,riscv_0,9216,1,11,720896,16027.0,44.98009608785175
32768,4,blackhole,riscv_0,10240,1,11,1441792,30887.0,46.67957393077994
65536,4,blackhole,riscv_0,11264,1,11,2883584,61721.0,46.71965781500624
2048,16,blackhole,riscv_0,12288,1,11,360448,8879.0,40.59556256335173
4096,16,blackhole,riscv_0,13312,1,11,720896,17789.0,40.52481870819045
8192,16,blackhole,riscv_0,14336,1,11,1441792,34220.0,42.13302162478083
16384,16,blackhole,riscv_0,15360,1,11,2883584,62892.0,45.849774216116515
32768,16,blackhole,riscv_0,16384,1,11,5767168,123064.0,46.86316063186634
65536,16,blackhole,riscv_0,17408,1,11,11534336,244458.0,47.18330347135295
2048,64,blackhole,riscv_0,18432,1,11,1441792,34681.0,41.57296502407658
4096,64,blackhole,riscv_0,19456,1,11,2883584,70669.0,40.804086657516024
8192,64,blackhole,riscv_0,20480,1,11,5767168,136740.0,42.176159134123154
16384,64,blackhole,riscv_0,21504,1,11,11534336,250391.0,46.065297874124866
32768,64,blackhole,riscv_0,22528,1,11,23068672,491459.0,46.9391587090683
65536,64,blackhole,riscv_0,23552,1,11,46137344,977000.0,47.22348413510747
2048,256,blackhole,riscv_0,24576,1,11,5767168,137680.0,41.88820453224869
4096,256,blackhole,riscv_0,25600,1,11,11534336,281463.0,40.97993697217751
8192,256,blackhole,riscv_0,26624,1,11,23068672,546701.0,42.196140120468044
16384,256,blackhole,riscv_0,27648,1,11,46137344,999431.0,46.16361109471289
32768,256,blackhole,riscv_0,28672,1,11,92274688,1965072.0,46.95740817639252
65536,256,blackhole,riscv_0,29696,1,11,184549376,3904955.0,47.26030799330594
