Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,9,blackhole,riscv_0,0,L1,unicast,one_to_column,True,False,False,9,0,522.0,1.103448275862069
128,9,blackhole,riscv_0,1024,L1,unicast,one_to_column,True,False,False,9,0,521.0,2.2111324376199617
256,9,blackhole,riscv_0,2048,L1,unicast,one_to_column,True,False,False,9,0,529.0,4.355387523629489
512,9,blackhole,riscv_0,3072,L1,unicast,one_to_column,True,False,False,9,0,530.0,8.69433962264151
1024,9,blackhole,riscv_0,4096,L1,unicast,one_to_column,True,False,False,9,0,536.0,17.19402985074627
2048,9,blackhole,riscv_0,5120,L1,unicast,one_to_column,True,False,False,9,0,562.0,32.79715302491103
4096,9,blackhole,riscv_0,6144,L1,unicast,one_to_column,True,False,False,9,0,833.0,44.25450180072029
8192,9,blackhole,riscv_0,7168,L1,unicast,one_to_column,True,False,False,9,0,1423.0,51.81166549543219
16384,9,blackhole,riscv_0,8192,L1,unicast,one_to_column,True,False,False,9,0,2608.0,56.5398773006135
32768,9,blackhole,riscv_0,9216,L1,unicast,one_to_column,True,False,False,9,0,4978.0,59.24306950582563
65536,9,blackhole,riscv_0,10240,L1,unicast,one_to_column,True,False,False,9,0,9732.0,60.606658446362516
64,36,blackhole,riscv_0,11264,L1,unicast,one_to_column,True,False,False,9,0,1249.0,1.844675740592474
128,36,blackhole,riscv_0,12288,L1,unicast,one_to_column,True,False,False,9,0,1252.0,3.680511182108626
256,36,blackhole,riscv_0,13312,L1,unicast,one_to_column,True,False,False,9,0,1251.0,7.366906474820144
512,36,blackhole,riscv_0,14336,L1,unicast,one_to_column,True,False,False,9,0,1250.0,14.7456
1024,36,blackhole,riscv_0,15360,L1,unicast,one_to_column,True,False,False,9,0,1258.0,29.303656597774246
2048,36,blackhole,riscv_0,16384,L1,unicast,one_to_column,True,False,False,9,0,1470.0,50.155102040816324
4096,36,blackhole,riscv_0,17408,L1,unicast,one_to_column,True,False,False,9,0,2620.0,56.28091603053435
8192,36,blackhole,riscv_0,18432,L1,unicast,one_to_column,True,False,False,9,0,4991.0,59.08875976758165
16384,36,blackhole,riscv_0,19456,L1,unicast,one_to_column,True,False,False,9,0,9717.0,60.70021611608521
32768,36,blackhole,riscv_0,20480,L1,unicast,one_to_column,True,False,False,9,0,19211.0,61.40482015511946
65536,36,blackhole,riscv_0,21504,L1,unicast,one_to_column,True,False,False,9,0,37991.0,62.10144507909768
64,144,blackhole,riscv_0,22528,L1,unicast,one_to_column,True,False,False,9,0,3749.0,2.4582555348092825
128,144,blackhole,riscv_0,23552,L1,unicast,one_to_column,True,False,False,9,0,3746.0,4.920448478376936
256,144,blackhole,riscv_0,24576,L1,unicast,one_to_column,True,False,False,9,0,3750.0,9.8304
