Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,11x10,110,7040,1809.0,3.8916528468767275
128,1,blackhole,riscv_1,1024,11x10,110,14080,2084.0,6.756238003838772
256,1,blackhole,riscv_1,2048,11x10,110,28160,2125.0,13.251764705882353
512,1,blackhole,riscv_1,3072,11x10,110,56320,2101.0,26.80628272251309
1024,1,blackhole,riscv_1,4096,11x10,110,112640,1888.0,59.66101694915254
2048,1,blackhole,riscv_1,5120,11x10,110,225280,2513.0,89.6458416235575
4096,1,blackhole,riscv_1,6144,11x10,110,450560,3780.0,119.19576719576719
8192,1,blackhole,riscv_1,7168,11x10,110,901120,7651.0,117.77806822637564
16384,1,blackhole,riscv_1,8192,11x10,110,1802240,14710.0,122.51801495581238
64,4,blackhole,riscv_1,9216,11x10,110,28160,3537.0,7.961549335595137
128,4,blackhole,riscv_1,10240,11x10,110,56320,3581.0,15.727450432839989
256,4,blackhole,riscv_1,11264,11x10,110,112640,3642.0,30.928061504667767
512,4,blackhole,riscv_1,12288,11x10,110,225280,3738.0,60.26752273943285
1024,4,blackhole,riscv_1,13312,11x10,110,450560,4564.0,98.72042068361087
2048,4,blackhole,riscv_1,14336,11x10,110,901120,7381.0,122.08643815201192
4096,4,blackhole,riscv_1,15360,11x10,110,1802240,14746.0,122.21890682218907
8192,4,blackhole,riscv_1,16384,11x10,110,3604480,28769.0,125.29041676804894
16384,4,blackhole,riscv_1,17408,11x10,110,7208960,58547.0,123.13115958119118
64,16,blackhole,riscv_1,18432,11x10,110,112640,9851.0,11.434372144959903
128,16,blackhole,riscv_1,19456,11x10,110,225280,9631.0,23.39113280033226
256,16,blackhole,riscv_1,20480,11x10,110,450560,9872.0,45.64019448946515
512,16,blackhole,riscv_1,21504,11x10,110,901120,10580.0,85.17202268431002
1024,16,blackhole,riscv_1,22528,11x10,110,1802240,13914.0,129.5270950122179
2048,16,blackhole,riscv_1,23552,11x10,110,3604480,28087.0,128.33268059956563
4096,16,blackhole,riscv_1,24576,11x10,110,7208960,57200.0,126.03076923076924
8192,16,blackhole,riscv_1,25600,11x10,110,14417920,114079.0,126.38539959151115
16384,16,blackhole,riscv_1,26624,11x10,110,28835840,232143.0,124.21584971332325
64,64,blackhole,riscv_1,27648,11x10,110,450560,34331.0,13.1239987183595
128,64,blackhole,riscv_1,28672,11x10,110,901120,34243.0,26.315451333119178
256,64,blackhole,riscv_1,29696,11x10,110,1802240,34905.0,51.63271737573414
512,64,blackhole,riscv_1,30720,11x10,110,3604480,37809.0,95.33391520537438
1024,64,blackhole,riscv_1,31744,11x10,110,7208960,51847.0,139.04295330491638
2048,64,blackhole,riscv_1,32768,11x10,110,14417920,106725.0,135.09412040290465
4096,64,blackhole,riscv_1,33792,11x10,110,28835840,224231.0,128.5988110475358
8192,64,blackhole,riscv_1,34816,11x10,110,57671680,462490.0,124.69822050206491
16384,64,blackhole,riscv_1,35840,11x10,110,115343360,954539.0,120.83671803876007
64,256,blackhole,riscv_1,36864,11x10,110,1802240,131838.0,13.670110286867216
128,256,blackhole,riscv_1,37888,11x10,110,3604480,132973.0,27.106856279094252
256,256,blackhole,riscv_1,38912,11x10,110,7208960,133902.0,53.83758270974295
512,256,blackhole,riscv_1,39936,11x10,110,14417920,147626.0,97.66518093018846
1024,256,blackhole,riscv_1,40960,11x10,110,28835840,202517.0,142.38725637847688
2048,256,blackhole,riscv_1,41984,11x10,110,57671680,430283.0,134.0319743052828
4096,256,blackhole,riscv_1,43008,11x10,110,115343360,907356.0,127.12029236595119
8192,256,blackhole,riscv_1,44032,11x10,110,230686720,1895625.0,121.69428025057698
16384,256,blackhole,riscv_1,45056,11x10,110,461373440,3969100.0,116.24132422967423
64,1,blackhole,riscv_0,0,11x10,110,7040,1779.0,3.9572793704328273
128,1,blackhole,riscv_0,1024,11x10,110,14080,1704.0,8.262910798122066
256,1,blackhole,riscv_0,2048,11x10,110,28160,1768.0,15.927601809954751
512,1,blackhole,riscv_0,3072,11x10,110,56320,1816.0,31.013215859030836
