Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
256,1744,blackhole,riscv_0,80896,false,56990.0,7.834076153711178
512,1744,blackhole,riscv_0,81920,false,56996.0,15.666502912485086
1024,1744,blackhole,riscv_0,82944,false,57043.0,31.307189313325036
2048,1744,blackhole,riscv_0,83968,false,62163.0,57.457201229026914
4096,1744,blackhole,riscv_0,84992,false,115424.0,61.8885500415858
8192,1744,blackhole,riscv_0,86016,false,229592.0,62.22711592738423
16384,1744,blackhole,riscv_0,87040,false,457622.0,62.439515582729854
32768,1744,blackhole,riscv_0,88064,false,919839.0,62.12760276526653
65536,1744,blackhole,riscv_0,89088,false,1830288.0,62.44633849973337
64,6976,blackhole,riscv_0,90112,false,219202.0,2.036769737502395
128,6976,blackhole,riscv_0,91136,false,219192.0,4.073725318442279
256,6976,blackhole,riscv_0,92160,false,219190.0,8.147524978329303
512,6976,blackhole,riscv_0,93184,false,219187.0,16.295272986080377
1024,6976,blackhole,riscv_0,94208,false,219198.0,32.58891048275988
2048,6976,blackhole,riscv_0,95232,false,243397.0,58.69771607702642
4096,6976,blackhole,riscv_0,96256,false,462836.0,61.73611387186822
8192,6976,blackhole,riscv_0,97280,false,917820.0,62.264269682508555
16384,6976,blackhole,riscv_0,98304,false,1828654.0,62.50213763784729
32768,6976,blackhole,riscv_0,99328,false,3658115.0,62.488349327454166
65536,6976,blackhole,riscv_0,100352,false,7338306.0,62.300364143986364
64,27904,blackhole,riscv_0,101376,false,867958.0,2.057537346277124
128,27904,blackhole,riscv_0,102400,false,867963.0,4.115050987196459
256,27904,blackhole,riscv_0,103424,false,867961.0,8.2301209386136
512,27904,blackhole,riscv_0,104448,false,867959.0,16.460279805843363
1024,27904,blackhole,riscv_0,105472,false,867975.0,32.919952763616465
2048,27904,blackhole,riscv_0,106496,false,968863.0,58.98397606266314
4096,27904,blackhole,riscv_0,107520,false,1842166.0,62.043694216482116
8192,27904,blackhole,riscv_0,108544,false,3677039.0,62.16675101895846
16384,27904,blackhole,riscv_0,109568,false,7316428.0,62.486658243612865
32768,27904,blackhole,riscv_0,110592,false,14631123.0,62.49405954689876
65536,27904,blackhole,riscv_0,111616,false,29260732.0,62.49729309574347
