Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,blackhole,riscv_0,0,1,2,4096,652.0,6.282208588957055
4096,1,blackhole,riscv_0,1024,1,2,8192,673.0,12.172362555720653
8192,1,blackhole,riscv_0,2048,1,2,16384,792.0,20.68686868686869
16384,1,blackhole,riscv_0,3072,1,2,32768,1094.0,29.952468007312614
32768,1,blackhole,riscv_0,4096,1,2,65536,1788.0,36.65324384787472
65536,1,blackhole,riscv_0,5120,1,2,131072,3172.0,41.32156368221942
2048,4,blackhole,riscv_0,6144,1,2,16384,747.0,21.933065595716197
4096,4,blackhole,riscv_0,7168,1,2,32768,1142.0,28.69352014010508
8192,4,blackhole,riscv_0,8192,1,2,65536,1848.0,35.46320346320346
16384,4,blackhole,riscv_0,9216,1,2,131072,3325.0,39.42015037593985
32768,4,blackhole,riscv_0,10240,1,2,262144,5933.0,44.18405528400472
65536,4,blackhole,riscv_0,11264,1,2,524288,11457.0,45.7613685956184
2048,16,blackhole,riscv_0,12288,1,2,65536,1886.0,34.748674443266175
4096,16,blackhole,riscv_0,13312,1,2,131072,3427.0,38.2468631456084
8192,16,blackhole,riscv_0,14336,1,2,262144,6531.0,40.1384167815036
16384,16,blackhole,riscv_0,15360,1,2,524288,11464.0,45.73342637822749
32768,16,blackhole,riscv_0,16384,1,2,1048576,22678.0,46.23758708880854
65536,16,blackhole,riscv_0,17408,1,2,2097152,44692.0,46.92455025507921
2048,64,blackhole,riscv_0,18432,1,2,262144,6568.0,39.91230207064555
4096,64,blackhole,riscv_0,19456,1,2,524288,13019.0,40.27098855518857
8192,64,blackhole,riscv_0,20480,1,2,1048576,25066.0,41.83260193090242
16384,64,blackhole,riscv_0,21504,1,2,2097152,45034.0,46.5681929209042
32768,64,blackhole,riscv_0,22528,1,2,4194304,89198.0,47.02239960537232
65536,64,blackhole,riscv_0,23552,1,2,8388608,177585.0,47.237142776698484
2048,256,blackhole,riscv_0,24576,1,2,1048576,25238.0,41.54750772644425
4096,256,blackhole,riscv_0,25600,1,2,2097152,51273.0,40.90168314707546
8192,256,blackhole,riscv_0,26624,1,2,4194304,98813.0,42.44688451924342
16384,256,blackhole,riscv_0,27648,1,2,8388608,179418.0,46.75455082544672
32768,256,blackhole,riscv_0,28672,1,2,16777216,355584.0,47.18214542836573
65536,256,blackhole,riscv_0,29696,1,2,33554432,709697.0,47.27994059436633
