Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,129.0,0.49612403100775193
128,1,blackhole,riscv_0,1024,126.0,1.0158730158730158
256,1,blackhole,riscv_0,2048,124.0,2.064516129032258
512,1,blackhole,riscv_0,3072,132.0,3.878787878787879
1024,1,blackhole,riscv_0,4096,140.0,7.314285714285714
2048,1,blackhole,riscv_0,5120,158.0,12.962025316455696
4096,1,blackhole,riscv_0,6144,192.0,21.333333333333332
8192,1,blackhole,riscv_0,7168,261.0,31.386973180076627
16384,1,blackhole,riscv_0,8192,397.0,41.269521410579344
32768,1,blackhole,riscv_0,9216,648.0,50.5679012345679
65536,1,blackhole,riscv_0,10240,1196.0,54.79598662207358
64,4,blackhole,riscv_0,11264,227.0,1.1277533039647578
128,4,blackhole,riscv_0,12288,228.0,2.245614035087719
256,4,blackhole,riscv_0,13312,229.0,4.471615720524017
512,4,blackhole,riscv_0,14336,234.0,8.752136752136753
1024,4,blackhole,riscv_0,15360,238.0,17.210084033613445
2048,4,blackhole,riscv_0,16384,269.0,30.45353159851301
4096,4,blackhole,riscv_0,17408,392.0,41.795918367346935
8192,4,blackhole,riscv_0,18432,673.0,48.68945022288261
16384,4,blackhole,riscv_0,19456,1204.0,54.43189368770764
32768,4,blackhole,riscv_0,20480,2259.0,58.02213368747233
65536,4,blackhole,riscv_0,21504,4404.0,59.52406902815622
64,16,blackhole,riscv_0,22528,608.0,1.6842105263157894
128,16,blackhole,riscv_0,23552,613.0,3.34094616639478
256,16,blackhole,riscv_0,24576,619.0,6.617124394184168
512,16,blackhole,riscv_0,25600,621.0,13.191626409017713
1024,16,blackhole,riscv_0,26624,627.0,26.130781499202552
2048,16,blackhole,riscv_0,27648,694.0,47.216138328530256
4096,16,blackhole,riscv_0,28672,1222.0,53.63011456628478
8192,16,blackhole,riscv_0,29696,2278.0,57.53819139596137
16384,16,blackhole,riscv_0,30720,4408.0,59.47005444646098
32768,16,blackhole,riscv_0,31744,8667.0,60.4924425983616
65536,16,blackhole,riscv_0,32768,17237.0,60.83285954632477
64,64,blackhole,riscv_0,33792,2404.0,1.7038269550748752
128,64,blackhole,riscv_0,34816,2133.0,3.840600093764651
256,64,blackhole,riscv_0,35840,2163.0,7.574664817383264
512,64,blackhole,riscv_0,36864,2153.0,15.219693450998607
1024,64,blackhole,riscv_0,37888,2174.0,30.145354185832566
2048,64,blackhole,riscv_0,38912,2413.0,54.31910484873601
4096,64,blackhole,riscv_0,39936,4437.0,59.08136128014424
8192,64,blackhole,riscv_0,40960,8699.0,60.26991608230831
16384,64,blackhole,riscv_0,41984,17238.0,60.82933054878756
32768,64,blackhole,riscv_0,43008,34317.0,61.11116939126381
65536,64,blackhole,riscv_0,44032,68535.0,61.199445538775805
64,256,blackhole,riscv_0,45056,8288.0,1.9768339768339769
128,256,blackhole,riscv_0,46080,8287.0,3.9541450464583083
256,256,blackhole,riscv_0,47104,8296.0,7.899710703953713
512,256,blackhole,riscv_0,48128,8300.0,15.791807228915662
1024,256,blackhole,riscv_0,49152,8303.0,31.57220281825846
2048,256,blackhole,riscv_0,50176,9224.0,56.839549002601906
4096,256,blackhole,riscv_0,51200,17567.0,59.69010075710138
8192,256,blackhole,riscv_0,52224,34420.0,60.92829750145265
16384,256,blackhole,riscv_0,53248,68560.0,61.177129521586934
32768,256,blackhole,riscv_0,54272,136963.0,61.247256558340574
65536,256,blackhole,riscv_0,55296,273804.0,61.27454675607369
