Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,7040,1769.0,3.979649519502544
128,1,blackhole,riscv_1,1024,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,14080,1687.0,8.346176644931832
256,1,blackhole,riscv_1,2048,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,28160,1714.0,16.429404900816802
512,1,blackhole,riscv_1,3072,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,56320,1731.0,32.536106296938186
1024,1,blackhole,riscv_1,4096,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,112640,1735.0,64.92219020172911
2048,1,blackhole,riscv_1,5120,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,225280,1770.0,127.2768361581921
4096,1,blackhole,riscv_1,6144,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,450560,2271.0,198.39718185821224
8192,1,blackhole,riscv_1,7168,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,901120,4282.0,210.443717888837
16384,1,blackhole,riscv_1,8192,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,1802240,8418.0,214.0936089332383
64,4,blackhole,riscv_1,9216,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,28160,1820.0,15.472527472527473
128,4,blackhole,riscv_1,10240,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,56320,1822.0,30.911086717892427
256,4,blackhole,riscv_1,11264,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,112640,1836.0,61.350762527233115
512,4,blackhole,riscv_1,12288,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,225280,1889.0,119.25886712546321
1024,4,blackhole,riscv_1,13312,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,450560,2449.0,183.9771335238873
2048,4,blackhole,riscv_1,14336,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,901120,4089.0,220.37662020053804
4096,4,blackhole,riscv_1,15360,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,1802240,7523.0,239.56400372191945
8192,4,blackhole,riscv_1,16384,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,3604480,14671.0,245.68741053779564
16384,4,blackhole,riscv_1,17408,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,7208960,29398.0,245.21940268045446
64,16,blackhole,riscv_1,18432,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,110,112640,5286.0,21.309118426031024
