Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
1,16,blackhole,riscv_0,24576,0,5457.0,0.0029320163885585273
2,16,blackhole,riscv_0,25600,0,5321.0,0.006017723572839594
3,16,blackhole,riscv_0,26624,0,5334.0,0.009003508291950797
4,16,blackhole,riscv_0,27648,0,5338.5,0.011994098155550742
1,32,blackhole,riscv_0,28672,0,10725.0,0.0029841488222841902
2,32,blackhole,riscv_0,29696,0,10738.0,0.005960949325104414
3,32,blackhole,riscv_0,30720,0,10737.5,0.008941850180185049
4,32,blackhole,riscv_0,31744,0,10727.0,0.011934453405204843
1,64,blackhole,riscv_0,32768,0,21562.0,0.002968269204186142
2,64,blackhole,riscv_0,33792,0,21548.0,0.005940446028348581
3,64,blackhole,riscv_0,34816,0,21554.5,0.00890794988869217
4,64,blackhole,riscv_0,35840,0,21541.0,0.011884801408164964
1,16,blackhole,riscv_0,36864,1,5384.5,0.0029717856288128263
2,16,blackhole,riscv_0,37888,1,5369.5,0.005960643462534956
3,16,blackhole,riscv_0,38912,1,5385.0,0.00891454545285239
4,16,blackhole,riscv_0,39936,1,5383.5,0.011889580777572455
1,32,blackhole,riscv_0,40960,1,10772.5,0.0029706114390773454
2,32,blackhole,riscv_0,41984,1,10775.5,0.005939580662325531
3,32,blackhole,riscv_0,43008,1,10775.5,0.008909370993488295
4,32,blackhole,riscv_0,44032,1,10784.5,0.011869177998788644
1,64,blackhole,riscv_0,45056,1,21560.5,0.0029684109405297273
2,64,blackhole,riscv_0,46080,1,21568.0,0.005934751284461624
3,64,blackhole,riscv_0,47104,1,21563.5,0.008903998201424158
4,64,blackhole,riscv_0,48128,1,21548.5,0.011880300858722902
