Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,7040,1615.0,4.359133126934984
128,1,blackhole,riscv_0,1024,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,14080,1699.0,8.287227781047676
256,1,blackhole,riscv_0,2048,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,28160,1570.0,17.936305732484076
512,1,blackhole,riscv_0,3072,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,56320,1573.0,35.80419580419581
1024,1,blackhole,riscv_0,4096,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,112640,1582.0,71.20101137800253
2048,1,blackhole,riscv_0,5120,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,225280,2201.0,102.35347569286688
4096,1,blackhole,riscv_0,6144,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,450560,4339.0,103.83959437658447
8192,1,blackhole,riscv_0,7168,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,901120,8755.0,102.92632781267847
16384,1,blackhole,riscv_0,8192,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,1802240,15579.0,115.68393350022467
64,4,blackhole,riscv_0,9216,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,28160,1637.0,17.20219914477703
128,4,blackhole,riscv_0,10240,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,56320,1631.0,34.530962599632126
256,4,blackhole,riscv_0,11264,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,112640,1799.0,62.61256253474152
512,4,blackhole,riscv_0,12288,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,225280,2186.0,103.05580969807868
1024,4,blackhole,riscv_0,13312,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,450560,4335.0,103.9354094579008
2048,4,blackhole,riscv_0,14336,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,901120,7990.0,112.78097622027535
4096,4,blackhole,riscv_0,15360,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,1802240,15674.0,114.98277402067117
8192,4,blackhole,riscv_0,16384,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,3604480,30207.0,119.32598404343364
16384,4,blackhole,riscv_0,17408,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,7208960,63274.0,113.93242089957961
64,16,blackhole,riscv_0,18432,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,112640,2070.0,54.41545893719807
128,16,blackhole,riscv_0,19456,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,225280,3186.0,70.70935342121783
256,16,blackhole,riscv_0,20480,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,450560,4886.0,92.21449038067949
512,16,blackhole,riscv_0,21504,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,901120,8114.0,111.05743159970422
1024,16,blackhole,riscv_0,22528,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,1802240,15488.0,116.36363636363636
2048,16,blackhole,riscv_0,23552,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,3604480,30792.0,117.05897635749545
4096,16,blackhole,riscv_0,24576,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,7208960,61086.0,118.01329273483286
8192,16,blackhole,riscv_0,25600,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,14417920,122673.0,117.53132311103502
16384,16,blackhole,riscv_0,26624,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,28835840,249357.0,115.64078810701123
64,64,blackhole,riscv_0,27648,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,450560,8696.0,51.81232750689973
128,64,blackhole,riscv_0,28672,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,901120,12157.0,74.1235502179814
256,64,blackhole,riscv_0,29696,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,1802240,18912.0,95.29610829103216
512,64,blackhole,riscv_0,30720,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,3604480,32512.0,110.86614173228347
1024,64,blackhole,riscv_0,31744,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,7208960,62469.0,115.4005986969537
2048,64,blackhole,riscv_0,32768,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,14417920,122537.0,117.66176746615308
4096,64,blackhole,riscv_0,33792,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,28835840,246852.0,116.8142854827994
8192,64,blackhole,riscv_0,34816,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,57671680,496800.0,116.08631239935588
16384,64,blackhole,riscv_0,35840,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,115343360,998541.0,115.51189185020945
64,256,blackhole,riscv_0,36864,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,1802240,31862.0,56.563931956562676
128,256,blackhole,riscv_0,37888,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,3604480,46599.0,77.35101611622567
256,256,blackhole,riscv_0,38912,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,7208960,73427.0,98.17859915290016
512,256,blackhole,riscv_0,39936,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,14417920,128851.0,111.89606599871169
1024,256,blackhole,riscv_0,40960,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,28835840,247818.0,116.35894083561323
2048,256,blackhole,riscv_0,41984,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,57671680,488886.0,117.96549706884632
4096,256,blackhole,riscv_0,43008,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,115343360,986588.0,116.91137536641435
8192,256,blackhole,riscv_0,44032,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,230686720,1982433.0,116.36545598262337
16384,256,blackhole,riscv_0,45056,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,110,461373440,4019083.0,114.79569842175441
64,1,blackhole,riscv_0,46080,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,7040,1660.0,4.240963855421687
128,1,blackhole,riscv_0,47104,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,14080,1618.0,8.702101359703338
256,1,blackhole,riscv_0,48128,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,28160,1614.0,17.44733581164808
512,1,blackhole,riscv_0,49152,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,56320,1630.0,34.5521472392638
1024,1,blackhole,riscv_0,50176,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,112640,1669.0,67.48951467944877
2048,1,blackhole,riscv_0,51200,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,225280,1875.0,120.14933333333333
4096,1,blackhole,riscv_0,52224,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,450560,2786.0,161.72290021536253
8192,1,blackhole,riscv_0,53248,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,901120,4760.0,189.3109243697479
16384,1,blackhole,riscv_0,54272,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,1802240,9711.0,185.5874781175986
64,4,blackhole,riscv_0,55296,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,28160,1698.0,16.584216725559482
128,4,blackhole,riscv_0,56320,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,56320,1811.0,31.09884041965765
256,4,blackhole,riscv_0,57344,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,112640,1669.0,67.48951467944877
512,4,blackhole,riscv_0,58368,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,225280,1817.0,123.98458998348927
1024,4,blackhole,riscv_0,59392,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,450560,2887.0,156.06511950121234
2048,4,blackhole,riscv_0,60416,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,901120,4958.0,181.7507059298104
4096,4,blackhole,riscv_0,61440,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,1802240,9298.0,193.83093138309314
8192,4,blackhole,riscv_0,62464,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,3604480,20186.0,178.56336074507084
16384,4,blackhole,riscv_0,63488,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,7208960,40273.0,179.00230923944082
64,16,blackhole,riscv_0,64512,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,112640,2009.0,56.06769537083126
128,16,blackhole,riscv_0,65536,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,225280,2265.0,99.46136865342163
256,16,blackhole,riscv_0,66560,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,450560,3371.0,133.65766834767132
512,16,blackhole,riscv_0,67584,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,901120,5422.0,166.19697528587238
1024,16,blackhole,riscv_0,68608,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,1802240,9565.0,188.4202822791427
2048,16,blackhole,riscv_0,69632,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,3604480,18748.0,192.25944100704075
4096,16,blackhole,riscv_0,70656,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,7208960,40337.0,178.71829833651486
8192,16,blackhole,riscv_0,71680,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,14417920,81523.0,176.85708327711197
16384,16,blackhole,riscv_0,72704,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,28835840,164992.0,174.7711404189294
64,64,blackhole,riscv_0,73728,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,450560,5467.0,82.41448692152917
128,64,blackhole,riscv_0,74752,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,901120,7086.0,127.16906576347728
256,64,blackhole,riscv_0,75776,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,1802240,11070.0,162.80397470641373
512,64,blackhole,riscv_0,76800,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,3604480,19540.0,184.46673490276356
1024,64,blackhole,riscv_0,77824,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,7208960,39913.0,180.61684163054645
2048,64,blackhole,riscv_0,78848,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,14417920,79895.0,180.46085487201952
4096,64,blackhole,riscv_0,79872,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,28835840,165277.0,174.4697689333664
8192,64,blackhole,riscv_0,80896,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,57671680,342710.0,168.28128738583644
16384,64,blackhole,riscv_0,81920,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,115343360,682377.0,169.03172293321728
64,256,blackhole,riscv_0,82944,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,1802240,19856.0,90.7655116841257
128,256,blackhole,riscv_0,83968,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,3604480,26729.0,134.85278162295634
256,256,blackhole,riscv_0,84992,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,7208960,44998.0,160.2062313880617
512,256,blackhole,riscv_0,86016,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,14417920,78183.0,184.4124681836205
1024,256,blackhole,riscv_0,87040,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,28835840,155959.0,184.8937220679794
2048,256,blackhole,riscv_0,88064,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,57671680,311515.0,185.13291494791582
4096,256,blackhole,riscv_0,89088,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,115343360,671582.0,171.748736565304
8192,256,blackhole,riscv_0,90112,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,230686720,1342040.0,171.89258144317606
16384,256,blackhole,riscv_0,91136,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,110,461373440,2776577.0,166.16626875465727
