Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,unicast,l1,all_from_all,riscv_1,0,11x10,11x10,6239.0,1.1283883073723238
128,110,blackhole,unicast,l1,all_from_all,riscv_1,1024,11x10,11x10,8175.5,1.7222202739177743
256,110,blackhole,unicast,l1,all_from_all,riscv_1,2048,11x10,11x10,18794.5,1.498312127720112
512,110,blackhole,unicast,l1,all_from_all,riscv_1,3072,11x10,11x10,37315.0,1.509314174106874
1024,110,blackhole,unicast,l1,all_from_all,riscv_1,4096,11x10,11x10,62288.5,1.8083594942187073
2048,110,blackhole,unicast,l1,all_from_all,riscv_1,5120,11x10,11x10,154172.0,1.461225137234169
4096,110,blackhole,unicast,l1,all_from_all,riscv_1,6144,11x10,11x10,279539.0,1.6117965680291158
8192,110,blackhole,unicast,l1,all_from_all,riscv_1,7168,11x10,11x10,544563.5,1.6547566011067099
16384,110,blackhole,unicast,l1,all_from_all,riscv_1,8192,11x10,11x10,1227417.5,1.4683189016242169
32768,110,blackhole,unicast,l1,all_from_all,riscv_1,9216,11x10,11x10,2834043.5,1.2718550065432612
65536,110,blackhole,unicast,l1,all_from_all,riscv_1,10240,11x10,11x10,5666416.5,1.2722257065192313
64,440,blackhole,unicast,l1,all_from_all,riscv_1,11264,11x10,11x10,30208.0,0.9322057435261542
128,440,blackhole,unicast,l1,all_from_all,riscv_1,12288,11x10,11x10,55754.0,1.0101517773124753
256,440,blackhole,unicast,l1,all_from_all,riscv_1,13312,11x10,11x10,94785.5,1.1883679865461818
512,440,blackhole,unicast,l1,all_from_all,riscv_1,14336,11x10,11x10,179407.0,1.2556927701758576
1024,440,blackhole,unicast,l1,all_from_all,riscv_1,15360,11x10,11x10,333963.5,1.3491314695725043
2048,440,blackhole,unicast,l1,all_from_all,riscv_1,16384,11x10,11x10,665118.0,1.354842699356683
4096,440,blackhole,unicast,l1,all_from_all,riscv_1,17408,11x10,11x10,1276953.5,1.4114135696882513
8192,440,blackhole,unicast,l1,all_from_all,riscv_1,18432,11x10,11x10,2967051.0,1.2148444642023555
16384,440,blackhole,unicast,l1,all_from_all,riscv_1,19456,11x10,11x10,5539009.5,1.3014897569818324
32768,440,blackhole,unicast,l1,all_from_all,riscv_1,20480,11x10,11x10,12296729.0,1.1725209323692218
65536,440,blackhole,unicast,l1,all_from_all,riscv_1,21504,11x10,11x10,20916972.5,1.3787375684928258
64,1760,blackhole,unicast,l1,all_from_all,riscv_1,22528,11x10,11x10,97580.5,1.1543338148422588
128,1760,blackhole,unicast,l1,all_from_all,riscv_1,23552,11x10,11x10,189222.0,1.1905607176779665
256,1760,blackhole,unicast,l1,all_from_all,riscv_1,24576,11x10,11x10,338905.5,1.32945829151015
512,1760,blackhole,unicast,l1,all_from_all,riscv_1,25600,11x10,11x10,607074.5,1.4849131700815614
1024,1760,blackhole,unicast,l1,all_from_all,riscv_1,26624,11x10,11x10,1206671.0,1.4935638670631748
