Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
64,4,blackhole,unicast,l1,all_from_all,riscv_1,0,2x2,2x2,528.0,0.4862158273381295
128,4,blackhole,unicast,l1,all_from_all,riscv_1,1024,2x2,2x2,534.0,0.9602866023918655
256,4,blackhole,unicast,l1,all_from_all,riscv_1,2048,2x2,2x2,527.5,1.9465225225225224
512,4,blackhole,unicast,l1,all_from_all,riscv_1,3072,2x2,2x2,533.5,3.8434219783312225
1024,4,blackhole,unicast,l1,all_from_all,riscv_1,4096,2x2,2x2,539.0,7.614354446532963
2048,4,blackhole,unicast,l1,all_from_all,riscv_1,5120,2x2,2x2,546.5,14.994466996235413
4096,4,blackhole,unicast,l1,all_from_all,riscv_1,6144,2x2,2x2,685.5,23.93137158807611
8192,4,blackhole,unicast,l1,all_from_all,riscv_1,7168,2x2,2x2,974.5,33.63098239693984
16384,4,blackhole,unicast,l1,all_from_all,riscv_1,8192,2x2,2x2,1718.0,38.14959040070152
32768,4,blackhole,unicast,l1,all_from_all,riscv_1,9216,2x2,2x2,3459.0,37.94258291198903
65536,4,blackhole,unicast,l1,all_from_all,riscv_1,10240,2x2,2x2,7493.5,34.98306502683778
64,64,blackhole,unicast,l1,all_from_all,riscv_1,11264,2x2,2x2,2527.5,1.6208756884616504
128,64,blackhole,unicast,l1,all_from_all,riscv_1,12288,2x2,2x2,2547.0,3.2168729533218627
256,64,blackhole,unicast,l1,all_from_all,riscv_1,13312,2x2,2x2,2529.5,6.478374533778947
512,64,blackhole,unicast,l1,all_from_all,riscv_1,14336,2x2,2x2,2581.0,12.702049408318505
1024,64,blackhole,unicast,l1,all_from_all,riscv_1,15360,2x2,2x2,3128.0,20.981264751096674
2048,64,blackhole,unicast,l1,all_from_all,riscv_1,16384,2x2,2x2,4983.5,26.326826404899872
4096,64,blackhole,unicast,l1,all_from_all,riscv_1,17408,2x2,2x2,9003.0,29.11970459239581
