RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,143360,64,1,2358.0,0.02714165034370395
riscv_1,Receiver,144384,128,1,2382.5,0.05372509999464441
riscv_1,Receiver,145408,256,1,2383.5,0.10740511910608389
riscv_1,Receiver,146432,512,1,2386.0,0.2145851173240096
riscv_1,Receiver,147456,1024,1,2396.0,0.4273789649415693
riscv_1,Receiver,148480,2048,1,2419.0,0.8466308391897478
riscv_1,Receiver,149504,4096,1,2445.5,1.6749137358480977
riscv_1,Receiver,150528,8192,1,2516.5,3.2553160781143164
riscv_1,Receiver,151552,16384,1,2655.5,6.169836407778005
riscv_1,Receiver,152576,32768,1,3298.5,9.934231010391283
riscv_1,Receiver,153600,65536,1,4596.5,14.25780502022642
riscv_1,Receiver,154624,131072,1,7180.5,18.253882130149236
riscv_1,Receiver,155648,262144,1,12345.0,21.234832473103616
riscv_1,Receiver,156672,524288,1,22869.0,22.925707289343652
riscv_1,Receiver,157696,64,4,7017.0,0.03648282816006926
riscv_1,Receiver,158720,128,4,7026.5,0.0728670068075436
riscv_1,Receiver,159744,256,4,7017.5,0.14592091274648594
riscv_1,Receiver,160768,512,4,7020.0,0.29173789765784974
riscv_1,Receiver,161792,1024,4,7070.5,0.5793083969285466
riscv_1,Receiver,162816,2048,4,7114.0,1.151532281061832
riscv_1,Receiver,163840,4096,4,7243.5,2.261890067314944
riscv_1,Receiver,164864,8192,4,7527.0,4.353394523498135
riscv_1,Receiver,165888,16384,4,8071.0,8.119935696451883
riscv_1,Receiver,166912,32768,4,9758.0,13.432260850229383
riscv_1,Receiver,167936,65536,4,13455.5,19.48229351283686
riscv_1,Receiver,168960,131072,4,20780.5,25.229806804625845
riscv_1,Receiver,169984,262144,4,35356.0,29.657653675622747
riscv_1,Receiver,171008,524288,4,64634.5,32.44632526228932
riscv_1,Receiver,172032,64,16,25661.0,0.03990491413253888
riscv_1,Receiver,173056,128,16,25605.0,0.07998437914915123
riscv_1,Receiver,174080,256,16,25644.5,0.1597223576812604
riscv_1,Receiver,175104,512,16,25673.5,0.31908388619586353
riscv_1,Receiver,176128,1024,16,25664.5,0.6383915527759599
riscv_1,Receiver,177152,2048,16,25903.0,1.2650272188100642
riscv_1,Receiver,178176,4096,16,26429.0,2.479700343384158
riscv_1,Receiver,179200,8192,16,27508.5,4.764781796292157
riscv_1,Receiver,180224,16384,16,29713.0,8.82253559048228
riscv_1,Receiver,181248,32768,16,35623.0,14.717682407802574
riscv_1,Receiver,182272,65536,16,48739.0,21.51410574693777
riscv_1,Receiver,183296,131072,16,75293.0,27.85321344613709
riscv_1,Receiver,184320,262144,16,127450.0,32.909407612853784
riscv_1,Receiver,185344,524288,16,232006.5,36.15678009172436
riscv_1,Receiver,186368,64,64,100020.0,0.04095180964216593
riscv_1,Receiver,187392,128,64,100019.5,0.0819040287164475
riscv_1,Receiver,188416,256,64,99922.0,0.1639678949580673
riscv_1,Receiver,189440,512,64,100004.0,0.3276668934553233
riscv_1,Receiver,190464,1024,64,100164.0,0.6542869694354474
riscv_1,Receiver,191488,2048,64,101150.5,1.295811686831248
riscv_1,Receiver,192512,4096,64,103008.0,2.5448897182628825
riscv_1,Receiver,193536,8192,64,107430.0,4.880275528250954
riscv_1,Receiver,194560,16384,64,116328.5,9.01392178201706
riscv_1,Receiver,195584,32768,64,138927.5,15.095297916762593
riscv_1,Receiver,196608,65536,64,189765.5,22.10256342834743
riscv_1,Receiver,197632,131072,64,292606.5,28.66856341203799
riscv_1,Receiver,198656,262144,64,495658.0,33.848371256124764
riscv_1,Receiver,199680,524288,64,902841.0,37.1653834950353
riscv_1,Receiver,200704,64,256,396854.5,0.041284652183674386
riscv_1,Receiver,201728,128,256,398405.5,0.08224786053521976
riscv_1,Receiver,202752,256,256,397649.5,0.16480845568799563
riscv_1,Receiver,203776,512,256,397572.5,0.32968075005657027
riscv_1,Receiver,204800,1024,256,398465.5,0.6578838067629816
riscv_1,Receiver,205824,2048,256,402598.5,1.3022601922282588
riscv_1,Receiver,206848,4096,256,409430.0,2.5610629412232147
riscv_1,Receiver,207872,8192,256,426845.5,4.913140703141717
riscv_1,Receiver,208896,16384,256,461954.0,9.079484104520482
riscv_1,Receiver,209920,32768,256,551390.5,15.213551920112693
riscv_1,Receiver,210944,65536,256,754765.0,22.228396918285096
riscv_1,Receiver,211968,131072,256,1159315.5,28.943313532861623
riscv_1,Receiver,212992,262144,256,1971311.5,34.04274971258417
riscv_1,Receiver,214016,524288,256,3584167.0,37.44739795885627
