Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,11x10,110,7040,1574.0,4.472681067344346
128,1,blackhole,riscv_1,1024,11x10,110,14080,1673.0,8.416019127316199
256,1,blackhole,riscv_1,2048,11x10,110,28160,1670.0,16.862275449101798
512,1,blackhole,riscv_1,3072,11x10,110,56320,1648.0,34.1747572815534
1024,1,blackhole,riscv_1,4096,11x10,110,112640,1635.0,68.89296636085626
2048,1,blackhole,riscv_1,5120,11x10,110,225280,1938.0,116.24355005159958
4096,1,blackhole,riscv_1,6144,11x10,110,450560,2735.0,164.7385740402194
8192,1,blackhole,riscv_1,7168,11x10,110,901120,4837.0,186.29729170973744
16384,1,blackhole,riscv_1,8192,11x10,110,1802240,9481.0,190.0896529901909
64,4,blackhole,riscv_1,9216,11x10,110,28160,1860.0,15.13978494623656
128,4,blackhole,riscv_1,10240,11x10,110,56320,1849.0,30.459707950243374
256,4,blackhole,riscv_1,11264,11x10,110,112640,1773.0,63.530738860688096
512,4,blackhole,riscv_1,12288,11x10,110,225280,1734.0,129.919261822376
1024,4,blackhole,riscv_1,13312,11x10,110,450560,2772.0,162.53968253968253
2048,4,blackhole,riscv_1,14336,11x10,110,901120,5243.0,171.87106618348272
4096,4,blackhole,riscv_1,15360,11x10,110,1802240,9419.0,191.34090667799128
8192,4,blackhole,riscv_1,16384,11x10,110,3604480,19855.0,181.54016620498615
16384,4,blackhole,riscv_1,17408,11x10,110,7208960,38570.0,186.90588540316307
64,16,blackhole,riscv_1,18432,11x10,110,112640,2179.0,51.69343735658559
128,16,blackhole,riscv_1,19456,11x10,110,225280,2374.0,94.89469250210615
256,16,blackhole,riscv_1,20480,11x10,110,450560,3148.0,143.12579415501907
512,16,blackhole,riscv_1,21504,11x10,110,901120,5262.0,171.250475104523
1024,16,blackhole,riscv_1,22528,11x10,110,1802240,9356.0,192.6293287729799
2048,16,blackhole,riscv_1,23552,11x10,110,3604480,18023.0,199.99334184098097
4096,16,blackhole,riscv_1,24576,11x10,110,7208960,37499.0,192.24405984159577
8192,16,blackhole,riscv_1,25600,11x10,110,14417920,76805.0,187.7211119067769
16384,16,blackhole,riscv_1,26624,11x10,110,28835840,156022.0,184.81906397815692
64,64,blackhole,riscv_1,27648,11x10,110,450560,6025.0,74.78174273858922
128,64,blackhole,riscv_1,28672,11x10,110,901120,7789.0,115.691359609706
256,64,blackhole,riscv_1,29696,11x10,110,1802240,11417.0,157.85582902688972
512,64,blackhole,riscv_1,30720,11x10,110,3604480,19001.0,189.6994895005526
1024,64,blackhole,riscv_1,31744,11x10,110,7208960,36014.0,200.1710445937691
2048,64,blackhole,riscv_1,32768,11x10,110,14417920,71904.0,200.51624388072986
4096,64,blackhole,riscv_1,33792,11x10,110,28835840,147365.0,195.67631391443015
8192,64,blackhole,riscv_1,34816,11x10,110,57671680,302065.0,190.9247347425223
16384,64,blackhole,riscv_1,35840,11x10,110,115343360,629999.0,183.0849890237921
64,256,blackhole,riscv_1,36864,11x10,110,1802240,21562.0,83.58408310917355
128,256,blackhole,riscv_1,37888,11x10,110,3604480,29520.0,122.1029810298103
256,256,blackhole,riscv_1,38912,11x10,110,7208960,43427.0,166.0017961176227
512,256,blackhole,riscv_1,39936,11x10,110,14417920,75273.0,191.54172146719276
1024,256,blackhole,riscv_1,40960,11x10,110,28835840,146792.0,196.44013297727398
2048,256,blackhole,riscv_1,41984,11x10,110,57671680,286231.0,201.4864916797971
4096,256,blackhole,riscv_1,43008,11x10,110,115343360,589161.0,195.77561990695244
8192,256,blackhole,riscv_1,44032,11x10,110,230686720,1208995.0,190.808663393976
16384,256,blackhole,riscv_1,45056,11x10,110,461373440,2500208.0,184.5340227693056
