Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,11,blackhole,riscv_0,0,L1,unicast,row_to_row,True,False,False,11,0,659.0,1.0682852807283763
128,11,blackhole,riscv_0,1024,L1,unicast,row_to_row,True,False,False,11,0,643.0,2.1897356143079314
256,11,blackhole,riscv_0,2048,L1,unicast,row_to_row,True,False,False,11,0,662.0,4.253776435045317
512,11,blackhole,riscv_0,3072,L1,unicast,row_to_row,True,False,False,11,0,1030.0,5.467961165048544
1024,11,blackhole,riscv_0,4096,L1,unicast,row_to_row,True,False,False,11,0,1536.0,7.333333333333333
2048,11,blackhole,riscv_0,5120,L1,unicast,row_to_row,True,False,False,11,0,2666.0,8.450112528132033
4096,11,blackhole,riscv_0,6144,L1,unicast,row_to_row,True,False,False,11,0,5027.0,8.962800875273523
8192,11,blackhole,riscv_0,7168,L1,unicast,row_to_row,True,False,False,11,0,9971.0,9.037408484605356
16384,11,blackhole,riscv_0,8192,L1,unicast,row_to_row,True,False,False,11,0,19309.0,9.333678595473613
32768,11,blackhole,riscv_0,9216,L1,unicast,row_to_row,True,False,False,11,0,38173.0,9.442485526419198
65536,11,blackhole,riscv_0,10240,L1,unicast,row_to_row,True,False,False,11,0,76067.0,9.477118855745593
64,44,blackhole,riscv_0,11264,L1,unicast,row_to_row,True,False,False,11,0,1566.0,1.7982120051085568
128,44,blackhole,riscv_0,12288,L1,unicast,row_to_row,True,False,False,11,0,1591.0,3.539912005028284
256,44,blackhole,riscv_0,13312,L1,unicast,row_to_row,True,False,False,11,0,2195.0,5.131662870159453
512,44,blackhole,riscv_0,14336,L1,unicast,row_to_row,True,False,False,11,0,3165.0,7.1178515007898895
1024,44,blackhole,riscv_0,15360,L1,unicast,row_to_row,True,False,False,11,0,5430.0,8.297605893186004
2048,44,blackhole,riscv_0,16384,L1,unicast,row_to_row,True,False,False,11,0,10165.0,8.864928676832267
4096,44,blackhole,riscv_0,17408,L1,unicast,row_to_row,True,False,False,11,0,19377.0,9.30092377561026
8192,44,blackhole,riscv_0,18432,L1,unicast,row_to_row,True,False,False,11,0,39393.0,9.150052039702485
16384,44,blackhole,riscv_0,19456,L1,unicast,row_to_row,True,False,False,11,0,77006.0,9.361556242370725
32768,44,blackhole,riscv_0,20480,L1,unicast,row_to_row,True,False,False,11,0,155903.0,9.24800677344246
65536,44,blackhole,riscv_0,21504,L1,unicast,row_to_row,True,False,False,11,0,308943.0,9.333708807126234
64,176,blackhole,riscv_0,22528,L1,unicast,row_to_row,True,False,False,11,0,4896.0,2.3006535947712417
128,176,blackhole,riscv_0,23552,L1,unicast,row_to_row,True,False,False,11,0,5728.0,3.9329608938547485
256,176,blackhole,riscv_0,24576,L1,unicast,row_to_row,True,False,False,11,0,8023.0,5.615854418546678
512,176,blackhole,riscv_0,25600,L1,unicast,row_to_row,True,False,False,11,0,11804.0,7.634022365299899
1024,176,blackhole,riscv_0,26624,L1,unicast,row_to_row,True,False,False,11,0,20813.0,8.659203382501321
2048,176,blackhole,riscv_0,27648,L1,unicast,row_to_row,True,False,False,11,0,39432.0,9.141002231689997
4096,176,blackhole,riscv_0,28672,L1,unicast,row_to_row,True,False,False,11,0,77016.0,9.360340708424223
8192,176,blackhole,riscv_0,29696,L1,unicast,row_to_row,True,False,False,11,0,157548.0,9.151445908548506
16384,176,blackhole,riscv_0,30720,L1,unicast,row_to_row,True,False,False,11,0,309047.0,9.330567842431734
32768,176,blackhole,riscv_0,31744,L1,unicast,row_to_row,True,False,False,11,0,615154.0,9.375161341712808
65536,176,blackhole,riscv_0,32768,L1,unicast,row_to_row,True,False,False,11,0,1236924.0,9.32501592660503
64,704,blackhole,riscv_0,33792,L1,unicast,row_to_row,True,False,False,11,0,18355.0,2.454698992100245
128,704,blackhole,riscv_0,34816,L1,unicast,row_to_row,True,False,False,11,0,22286.0,4.0434353405725565
256,704,blackhole,riscv_0,35840,L1,unicast,row_to_row,True,False,False,11,0,30727.0,5.865330165652358
512,704,blackhole,riscv_0,36864,L1,unicast,row_to_row,True,False,False,11,0,46253.0,7.792964780662876
1024,704,blackhole,riscv_0,37888,L1,unicast,row_to_row,True,False,False,11,0,81910.0,8.801074349896227
2048,704,blackhole,riscv_0,38912,L1,unicast,row_to_row,True,False,False,11,0,156702.0,9.200852573674874
4096,704,blackhole,riscv_0,39936,L1,unicast,row_to_row,True,False,False,11,0,307441.0,9.379308550258424
8192,704,blackhole,riscv_0,40960,L1,unicast,row_to_row,True,False,False,11,0,629833.0,9.156662162827288
16384,704,blackhole,riscv_0,41984,L1,unicast,row_to_row,True,False,False,11,0,1229984.0,9.377630928532403
32768,704,blackhole,riscv_0,43008,L1,unicast,row_to_row,True,False,False,11,0,2472855.0,9.328760481306022
