Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,7040,1701.0,4.138741916519694
128,1,blackhole,riscv_1,1024,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,14080,1683.0,8.366013071895425
256,1,blackhole,riscv_1,2048,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,28160,1724.0,16.334106728538284
512,1,blackhole,riscv_1,3072,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,56320,1697.0,33.187978786093105
1024,1,blackhole,riscv_1,4096,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,112640,1762.0,63.927355278093074
2048,1,blackhole,riscv_1,5120,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,225280,1794.0,125.57413600891861
4096,1,blackhole,riscv_1,6144,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,450560,2387.0,188.7557603686636
8192,1,blackhole,riscv_1,7168,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,901120,4433.0,203.2754342431762
16384,1,blackhole,riscv_1,8192,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,1802240,8032.0,224.3824701195219
64,4,blackhole,riscv_1,9216,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,28160,1842.0,15.28773072747014
128,4,blackhole,riscv_1,10240,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,56320,1827.0,30.82649151614669
256,4,blackhole,riscv_1,11264,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,112640,1848.0,60.95238095238095
512,4,blackhole,riscv_1,12288,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,225280,1958.0,115.0561797752809
1024,4,blackhole,riscv_1,13312,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,450560,2623.0,171.77277926038886
2048,4,blackhole,riscv_1,14336,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,901120,4452.0,202.40790655884996
4096,4,blackhole,riscv_1,15360,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,1802240,7905.0,227.98734977862114
8192,4,blackhole,riscv_1,16384,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,3604480,15297.0,235.63313067921814
16384,4,blackhole,riscv_1,17408,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,7208960,31633.0,227.89365535990896
64,16,blackhole,riscv_1,18432,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,112640,5689.0,19.799613288802952
128,16,blackhole,riscv_1,19456,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,225280,5603.0,40.20703194717116
256,16,blackhole,riscv_1,20480,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,450560,5551.0,81.16735723293101
512,16,blackhole,riscv_1,21504,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,901120,6273.0,143.65056591742388
1024,16,blackhole,riscv_1,22528,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,1802240,8843.0,203.80413886690036
2048,16,blackhole,riscv_1,23552,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,3604480,15278.0,235.92616834664224
4096,16,blackhole,riscv_1,24576,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,7208960,30777.0,234.23205640575753
8192,16,blackhole,riscv_1,25600,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,14417920,59931.0,240.575328294205
16384,16,blackhole,riscv_1,26624,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,28835840,120691.0,238.92286914517237
64,64,blackhole,riscv_1,27648,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,450560,20776.0,21.68656141701964
128,64,blackhole,riscv_1,28672,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,901120,20092.0,44.84969141947044
256,64,blackhole,riscv_1,29696,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,1802240,20581.0,87.56814537680386
512,64,blackhole,riscv_1,30720,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,3604480,23015.0,156.61438192483163
1024,64,blackhole,riscv_1,31744,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,7208960,33386.0,215.92763433774635
2048,64,blackhole,riscv_1,32768,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,14417920,62963.0,228.99035941743563
4096,64,blackhole,riscv_1,33792,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,28835840,132522.0,217.59285250750818
8192,64,blackhole,riscv_1,34816,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,57671680,252275.0,228.60640174412842
16384,64,blackhole,riscv_1,35840,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,115343360,482883.0,238.86398982776367
64,256,blackhole,riscv_1,36864,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,1802240,80986.0,22.253722865680487
128,256,blackhole,riscv_1,37888,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,3604480,81906.0,44.0075208165458
256,256,blackhole,riscv_1,38912,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,7208960,86732.0,83.11764977171056
512,256,blackhole,riscv_1,39936,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,14417920,95397.0,151.13598960135016
1024,256,blackhole,riscv_1,40960,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,28835840,144527.0,199.51870584735033
2048,256,blackhole,riscv_1,41984,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,57671680,277330.0,207.95326866909457
4096,256,blackhole,riscv_1,43008,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,115343360,577465.0,199.7408674118778
8192,256,blackhole,riscv_1,44032,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,230686720,1103835.0,208.98659672867774
16384,256,blackhole,riscv_1,45056,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,110,461373440,2106690.0,219.00395407012897
64,1,blackhole,riscv_1,46080,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,7040,1836.0,3.8344226579520697
128,1,blackhole,riscv_1,47104,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,14080,1894.0,7.434002111932418
256,1,blackhole,riscv_1,48128,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,28160,1817.0,15.498073747936159
512,1,blackhole,riscv_1,49152,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,56320,1767.0,31.873231465761176
1024,1,blackhole,riscv_1,50176,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,112640,1836.0,61.350762527233115
2048,1,blackhole,riscv_1,51200,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,225280,2181.0,103.29206785878037
4096,1,blackhole,riscv_1,52224,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,450560,3314.0,135.956547978274
8192,1,blackhole,riscv_1,53248,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,901120,6158.0,146.33322507307568
16384,1,blackhole,riscv_1,54272,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,1802240,12204.0,147.6761717469682
64,4,blackhole,riscv_1,55296,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,28160,1928.0,14.605809128630705
128,4,blackhole,riscv_1,56320,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,56320,2065.0,27.27360774818402
256,4,blackhole,riscv_1,57344,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,112640,2052.0,54.89278752436647
512,4,blackhole,riscv_1,58368,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,225280,2124.0,106.06403013182674
1024,4,blackhole,riscv_1,59392,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,450560,3338.0,134.97902935889755
2048,4,blackhole,riscv_1,60416,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,901120,6006.0,150.03663003663004
4096,4,blackhole,riscv_1,61440,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,1802240,11730.0,153.64364876385338
8192,4,blackhole,riscv_1,62464,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,3604480,23717.0,151.97874942024708
16384,4,blackhole,riscv_1,63488,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,7208960,45379.0,158.86114722669075
64,16,blackhole,riscv_1,64512,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,112640,5139.0,21.918661218135824
128,16,blackhole,riscv_1,65536,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,225280,4966.0,45.36447845348369
256,16,blackhole,riscv_1,66560,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,450560,5347.0,84.26407331213765
512,16,blackhole,riscv_1,67584,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,901120,6923.0,130.16322403582262
1024,16,blackhole,riscv_1,68608,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,1802240,12190.0,147.84577522559476
2048,16,blackhole,riscv_1,69632,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,3604480,22899.0,157.40774706319053
4096,16,blackhole,riscv_1,70656,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,7208960,45196.0,159.50438091866536
8192,16,blackhole,riscv_1,71680,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,14417920,92312.0,156.18684461391803
16384,16,blackhole,riscv_1,72704,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,28835840,186934.0,154.25679651641755
64,64,blackhole,riscv_1,73728,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,450560,18435.0,24.440466503932736
128,64,blackhole,riscv_1,74752,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,901120,18376.0,49.03787548976926
256,64,blackhole,riscv_1,75776,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,1802240,19133.0,94.19536925730414
512,64,blackhole,riscv_1,76800,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,3604480,26235.0,137.39203354297695
1024,64,blackhole,riscv_1,77824,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,7208960,48139.0,149.75300691746816
2048,64,blackhole,riscv_1,78848,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,14417920,91391.0,157.7608298410128
4096,64,blackhole,riscv_1,79872,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,28835840,182830.0,157.71941147514084
8192,64,blackhole,riscv_1,80896,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,57671680,367121.0,157.09174904186904
16384,64,blackhole,riscv_1,81920,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,115343360,750679.0,153.6520403528006
64,256,blackhole,riscv_1,82944,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,1802240,70547.0,25.546656838703274
128,256,blackhole,riscv_1,83968,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,3604480,72354.0,49.81728722669099
256,256,blackhole,riscv_1,84992,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,7208960,79279.0,90.93152032694661
512,256,blackhole,riscv_1,86016,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,14417920,103512.0,139.2874256124894
1024,256,blackhole,riscv_1,87040,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,28835840,191149.0,150.8553013617649
2048,256,blackhole,riscv_1,88064,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,57671680,370264.0,155.7582697750794
4096,256,blackhole,riscv_1,89088,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,115343360,739826.0,155.90606439892625
8192,256,blackhole,riscv_1,90112,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,230686720,1474877.0,156.41081934290114
16384,256,blackhole,riscv_1,91136,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,110,461373440,3023021.0,152.61999172351102
