Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (GB/s),Clock Frequency (MHz)
64,100000,blackhole,riscv_0,0,14309911.0,0.6037773400547355,1350
128,100000,blackhole,riscv_0,1024,14403426.0,1.1997145679090517,1350
256,100000,blackhole,riscv_0,2048,13668980.0,2.528352517890874,1350
512,100000,blackhole,riscv_0,3072,13604404.0,5.080707688480877,1350
1024,100000,blackhole,riscv_0,4096,14429394.0,9.580443918850648,1350
2048,100000,blackhole,riscv_0,5120,14750740.0,18.743466429480826,1350
4096,100000,blackhole,riscv_0,6144,23697857.0,23.33375545307747,1350
8192,100000,blackhole,riscv_0,7168,46272682.0,23.90006267628922,1350
16384,100000,blackhole,riscv_0,8192,89483569.0,24.71783395228682,1350
