Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
64,4,blackhole,unicast,l1,all_to_all,riscv_0,0,2x2,2x2,523.0,0.4908907587673468
128,4,blackhole,unicast,l1,all_to_all,riscv_0,1024,2x2,2x2,525.0,0.9780200188472608
256,4,blackhole,unicast,l1,all_to_all,riscv_0,2048,2x2,2x2,524.0,1.960202385518841
512,4,blackhole,unicast,l1,all_to_all,riscv_0,3072,2x2,2x2,533.0,3.852286843591191
1024,4,blackhole,unicast,l1,all_to_all,riscv_0,4096,2x2,2x2,543.0,7.560612292766502
2048,4,blackhole,unicast,l1,all_to_all,riscv_0,5120,2x2,2x2,575.0,14.27843926570798
4096,4,blackhole,unicast,l1,all_to_all,riscv_0,6144,2x2,2x2,676.5,24.44795990841756
8192,4,blackhole,unicast,l1,all_to_all,riscv_0,7168,2x2,2x2,1095.5,30.296492098697918
16384,4,blackhole,unicast,l1,all_to_all,riscv_0,8192,2x2,2x2,1955.5,33.516679141697
32768,4,blackhole,unicast,l1,all_to_all,riscv_0,9216,2x2,2x2,4405.5,29.994865571622533
65536,4,blackhole,unicast,l1,all_to_all,riscv_0,10240,2x2,2x2,10155.5,25.928746430759983
64,64,blackhole,unicast,l1,all_to_all,riscv_0,11264,2x2,2x2,2739.0,1.4955160289218967
128,64,blackhole,unicast,l1,all_to_all,riscv_0,12288,2x2,2x2,2744.0,2.985614656400301
256,64,blackhole,unicast,l1,all_to_all,riscv_0,13312,2x2,2x2,2746.0,5.966991300006857
512,64,blackhole,unicast,l1,all_to_all,riscv_0,14336,2x2,2x2,2764.5,11.85342066854935
1024,64,blackhole,unicast,l1,all_to_all,riscv_0,15360,2x2,2x2,3137.5,21.064843129722114
2048,64,blackhole,unicast,l1,all_to_all,riscv_0,16384,2x2,2x2,4270.0,30.765553350702803
