Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
64,256,blackhole,riscv_1,57344,1,0,5062.0,3.236665349664164
64,256,blackhole,riscv_1,58368,2,0,5063.0,3.2360260714991114
64,256,blackhole,riscv_1,59392,3,0,5062.0,3.236665349664164
64,256,blackhole,riscv_1,60416,4,0,5064.0,3.235387045813586
128,256,blackhole,riscv_1,61440,1,0,5065.0,6.46949654491609
128,256,blackhole,riscv_1,62464,2,0,5063.0,6.472052142998223
128,256,blackhole,riscv_1,63488,3,0,5065.0,6.46949654491609
128,256,blackhole,riscv_1,64512,4,0,5066.0,6.468219502566127
256,256,blackhole,riscv_1,65536,1,0,5062.0,12.946661398656657
256,256,blackhole,riscv_1,66560,2,0,5062.0,12.946661398656657
256,256,blackhole,riscv_1,67584,3,0,5065.0,12.93899308983218
256,256,blackhole,riscv_1,68608,4,0,5063.0,12.944104285996445
512,256,blackhole,riscv_1,69632,1,0,5074.0,25.83208513992905
512,256,blackhole,riscv_1,70656,2,0,5071.0,25.847367383159142
512,256,blackhole,riscv_1,71680,3,0,5072.0,25.842271293375394
512,256,blackhole,riscv_1,72704,4,0,5072.0,25.842271293375394
1024,256,blackhole,riscv_1,73728,1,0,5080.0,51.60314960629921
1024,256,blackhole,riscv_1,74752,2,0,5078.0,51.623473808586056
1024,256,blackhole,riscv_1,75776,3,0,5078.0,51.623473808586056
1024,256,blackhole,riscv_1,76800,4,0,5078.0,51.623473808586056
2048,256,blackhole,riscv_1,77824,1,0,8984.0,58.357969723953694
2048,256,blackhole,riscv_1,78848,2,0,9013.0,58.170198602019305
2048,256,blackhole,riscv_1,79872,3,0,9013.0,58.170198602019305
2048,256,blackhole,riscv_1,80896,4,0,8998.0,58.267170482329405
4096,256,blackhole,riscv_1,81920,1,0,17374.0,60.35317140554852
4096,256,blackhole,riscv_1,82944,2,0,17417.0,60.20416834127577
4096,256,blackhole,riscv_1,83968,3,0,17392.0,60.29070837166513
4096,256,blackhole,riscv_1,84992,4,0,17390.0,60.29764232317424
8192,256,blackhole,riscv_1,86016,1,0,34160.0,61.392037470725995
8192,256,blackhole,riscv_1,87040,2,0,34158.0,61.39563206276714
8192,256,blackhole,riscv_1,88064,3,0,34257.0,61.218203578830604
8192,256,blackhole,riscv_1,89088,4,0,34246.0,61.23786719616889
16384,256,blackhole,riscv_1,90112,1,0,67991.0,61.68910591107647
16384,256,blackhole,riscv_1,91136,2,0,68064.0,61.62294311236483
16384,256,blackhole,riscv_1,92160,3,0,67983.0,61.696365267787534
16384,256,blackhole,riscv_1,93184,4,0,67937.0,61.73813974711865
32768,256,blackhole,riscv_1,94208,1,0,135955.0,61.70135706667647
32768,256,blackhole,riscv_1,95232,2,0,135731.0,61.803184239414726
32768,256,blackhole,riscv_1,96256,3,0,135941.0,61.70771143363665
32768,256,blackhole,riscv_1,97280,4,0,135855.0,61.746774134187184
65536,256,blackhole,riscv_1,98304,1,0,271094.0,61.887079758312616
65536,256,blackhole,riscv_1,99328,2,0,271679.0,61.75381976523765
65536,256,blackhole,riscv_1,100352,3,0,271376.0,61.82276988385119
65536,256,blackhole,riscv_1,101376,4,0,271277.0,61.845331524604
131072,256,blackhole,riscv_1,102400,1,0,541991.0,61.90957414422011
131072,256,blackhole,riscv_1,103424,2,0,541961.0,61.91300112000679
131072,256,blackhole,riscv_1,104448,3,0,542903.0,61.80557484486179
131072,256,blackhole,riscv_1,105472,4,0,542977.0,61.79715162889036
262144,256,blackhole,riscv_1,106496,1,0,1083655.0,61.92825576405775
262144,256,blackhole,riscv_1,107520,2,0,1085765.0,61.80790870952738
262144,256,blackhole,riscv_1,108544,3,0,1084877.0,61.858500088028414
262144,256,blackhole,riscv_1,109568,4,0,1083708.0,61.925227090692324
64,256,blackhole,riscv_1,110592,1,1,9128.0,1.7949167397020158
64,256,blackhole,riscv_1,111616,2,1,9129.0,1.794720122685946
64,256,blackhole,riscv_1,112640,3,1,9128.0,1.7949167397020158
64,256,blackhole,riscv_1,113664,4,1,9126.0,1.7953101030024108
128,256,blackhole,riscv_1,114688,1,1,9129.0,3.589440245371892
128,256,blackhole,riscv_1,115712,2,1,9129.0,3.589440245371892
128,256,blackhole,riscv_1,116736,3,1,9126.0,3.5906202060048216
128,256,blackhole,riscv_1,117760,4,1,9127.0,3.590226799605566
256,256,blackhole,riscv_1,118784,1,1,9130.0,7.178094194961665
256,256,blackhole,riscv_1,119808,2,1,9129.0,7.178880490743784
256,256,blackhole,riscv_1,120832,3,1,9136.0,7.17338003502627
256,256,blackhole,riscv_1,121856,4,1,9136.0,7.17338003502627
512,256,blackhole,riscv_1,122880,1,1,9135.0,14.34833059660646
