Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Posted writes,Same destination,Same value,NoC Index,Stateful,Latency (cycles),Bandwidth (bytes/cycle)
32,1,blackhole,riscv_0,0,0,1,0,0,0,386.0,0.08290155440414508
32,1,blackhole,riscv_0,1024,0,1,0,0,1,370.0,0.08648648648648649
32,1,blackhole,riscv_0,2048,1,1,0,0,0,85.0,0.3764705882352941
32,1,blackhole,riscv_0,3072,1,1,0,0,1,80.0,0.4
32,2,blackhole,riscv_0,4096,0,1,0,0,0,441.0,0.14512471655328799
32,2,blackhole,riscv_0,5120,0,1,0,0,1,390.0,0.1641025641025641
32,2,blackhole,riscv_0,6144,1,1,0,0,0,137.0,0.46715328467153283
32,2,blackhole,riscv_0,7168,1,1,0,0,1,115.0,0.5565217391304348
32,4,blackhole,riscv_0,8192,0,1,0,0,0,518.0,0.2471042471042471
32,4,blackhole,riscv_0,9216,0,1,0,0,1,427.0,0.2997658079625293
32,4,blackhole,riscv_0,10240,1,1,0,0,0,216.0,0.5925925925925926
32,4,blackhole,riscv_0,11264,1,1,0,0,1,132.0,0.9696969696969697
32,8,blackhole,riscv_0,12288,0,1,0,0,0,691.0,0.3704775687409551
32,8,blackhole,riscv_0,13312,0,1,0,0,1,495.0,0.5171717171717172
32,8,blackhole,riscv_0,14336,1,1,0,0,0,375.0,0.6826666666666666
32,8,blackhole,riscv_0,15360,1,1,0,0,1,193.0,1.3264248704663213
32,16,blackhole,riscv_0,16384,0,1,0,0,0,1037.0,0.49373191899710706
32,16,blackhole,riscv_0,17408,0,1,0,0,1,643.0,0.7962674961119751
32,16,blackhole,riscv_0,18432,1,1,0,0,0,696.0,0.735632183908046
32,16,blackhole,riscv_0,19456,1,1,0,0,1,313.0,1.6357827476038338
32,32,blackhole,riscv_0,20480,0,1,0,0,0,1721.0,0.5950029052876235
32,32,blackhole,riscv_0,21504,0,1,0,0,1,927.0,1.104638619201726
32,32,blackhole,riscv_0,22528,1,1,0,0,0,1336.0,0.7664670658682635
32,32,blackhole,riscv_0,23552,1,1,0,0,1,552.0,1.855072463768116
32,64,blackhole,riscv_0,24576,0,1,0,0,0,3100.0,0.6606451612903226
32,64,blackhole,riscv_0,25600,0,1,0,0,1,1503.0,1.362608117099135
32,64,blackhole,riscv_0,26624,1,1,0,0,0,2618.0,0.7822765469824293
32,64,blackhole,riscv_0,27648,1,1,0,0,1,1033.0,1.9825750242013553
32,128,blackhole,riscv_0,28672,0,1,0,0,0,5851.0,0.7000512732866176
32,128,blackhole,riscv_0,29696,0,1,0,0,1,2655.0,1.5427495291902071
32,128,blackhole,riscv_0,30720,1,1,0,0,0,5176.0,0.7913446676970634
32,128,blackhole,riscv_0,31744,1,1,0,0,1,1991.0,2.0572576594676044
32,256,blackhole,riscv_0,32768,0,1,0,0,0,11354.0,0.7215078386471728
32,256,blackhole,riscv_0,33792,0,1,0,0,1,4961.0,1.651279983874219
32,256,blackhole,riscv_0,34816,1,1,0,0,0,10296.0,0.7956487956487956
32,256,blackhole,riscv_0,35840,1,1,0,0,1,3912.0,2.094069529652352
32,512,blackhole,riscv_0,36864,0,1,0,0,0,22384.0,0.731951393852752
32,512,blackhole,riscv_0,37888,0,1,0,0,1,9567.0,1.7125535695620362
32,512,blackhole,riscv_0,38912,1,1,0,0,0,20547.0,0.7973913466686134
32,512,blackhole,riscv_0,39936,1,1,0,0,1,7765.0,2.1099806825499035
32,1024,blackhole,riscv_0,40960,0,1,0,0,0,44398.0,0.738051263570431
32,1024,blackhole,riscv_0,41984,0,1,0,0,1,18783.0,1.7445562476707661
32,1024,blackhole,riscv_0,43008,1,1,0,0,0,41016.0,0.7989077433196802
32,1024,blackhole,riscv_0,44032,1,1,0,0,1,15434.0,2.123104833484515
