Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
1,16,blackhole,riscv_0,0,0,3055.0,0.005238043239361109
2,16,blackhole,riscv_0,1024,0,2977.0,0.010751643292474064
3,16,blackhole,riscv_0,2048,0,2980.0,0.01611073698850184
4,16,blackhole,riscv_0,3072,0,2981.0,0.021473773686163065
1,32,blackhole,riscv_0,4096,0,5951.0,0.005377541495628729
2,32,blackhole,riscv_0,5120,0,5956.5,0.010745111785342647
3,32,blackhole,riscv_0,6144,0,5958.5,0.016112181815139744
4,32,blackhole,riscv_0,7168,0,5956.5,0.021490223570685293
1,64,blackhole,riscv_0,8192,0,11904.0,0.005376414238625678
2,64,blackhole,riscv_0,9216,0,11909.0,0.01074830733683848
3,64,blackhole,riscv_0,10240,0,11904.0,0.016129283692617756
4,64,blackhole,riscv_0,11264,0,11908.0,0.02149843283025014
1,16,blackhole,riscv_0,12288,1,2913.5,0.00549698052850067
2,16,blackhole,riscv_0,13312,1,2918.5,0.010974628105680385
3,16,blackhole,riscv_0,14336,1,2917.0,0.016470941697294218
4,16,blackhole,riscv_0,15360,1,2923.0,0.021913410214723823
1,32,blackhole,riscv_0,16384,1,5875.0,0.005448030842577671
2,32,blackhole,riscv_0,17408,1,5882.0,0.010882979294216034
3,32,blackhole,riscv_0,18432,1,5878.0,0.016335830831883183
4,32,blackhole,riscv_0,19456,1,5879.5,0.02177538154138739
1,64,blackhole,riscv_0,20480,1,11799.0,0.005424470007638002
2,64,blackhole,riscv_0,21504,1,11803.5,0.010844783830444307
3,64,blackhole,riscv_0,22528,1,11794.5,0.016279775324630527
4,64,blackhole,riscv_0,23552,1,11801.5,0.021693296408483862
