RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,0,64,1,276.5,0.2317382991540295
riscv_1,Receiver,1024,128,1,288.5,0.44367550941945405
riscv_1,Receiver,2048,256,1,290.0,0.8827691173497901
riscv_1,Receiver,3072,512,1,302.5,1.6926775956284152
riscv_1,Receiver,4096,1024,1,298.0,3.4372092499352327
riscv_1,Receiver,5120,2048,1,318.0,6.440251572327044
riscv_1,Receiver,6144,4096,1,361.0,11.347653581980737
riscv_1,Receiver,7168,8192,1,422.5,19.390028011204482
riscv_1,Receiver,8192,16384,1,557.0,29.41709216566094
riscv_1,Receiver,9216,32768,1,865.5,37.860310137126746
riscv_1,Receiver,10240,65536,1,1484.0,44.16174512034256
riscv_1,Receiver,11264,131072,1,2728.0,48.04692082111437
riscv_1,Receiver,12288,262144,1,5194.5,50.46568532655766
riscv_1,Receiver,13312,524288,1,10283.0,50.985903396328055
riscv_1,Receiver,14336,64,4,799.5,0.3202002503128911
riscv_1,Receiver,15360,128,4,804.0,0.6368169055482933
riscv_1,Receiver,16384,256,4,804.5,1.2728525649939586
riscv_1,Receiver,17408,512,4,816.0,2.5098039215686274
riscv_1,Receiver,18432,1024,4,825.0,4.964848484848485
riscv_1,Receiver,19456,2048,4,892.5,9.1787143653428
riscv_1,Receiver,20480,4096,4,1024.0,16.00054933526618
riscv_1,Receiver,21504,8192,4,1285.0,25.500450878471142
riscv_1,Receiver,22528,16384,4,1837.0,35.67556854684807
riscv_1,Receiver,23552,32768,4,2943.0,44.536872284456
riscv_1,Receiver,24576,65536,4,5228.5,50.13751599833955
riscv_1,Receiver,25600,131072,4,9740.0,53.82835094077191
riscv_1,Receiver,26624,262144,4,18877.5,55.54633920754293
riscv_1,Receiver,27648,524288,4,36863.0,56.890432308091434
riscv_1,Receiver,28672,64,16,2867.0,0.3571677711893966
riscv_1,Receiver,29696,128,16,2849.0,0.7188495159171259
riscv_1,Receiver,30720,256,16,2833.5,1.4455620707753987
riscv_1,Receiver,31744,512,16,2867.0,2.8573452981137955
riscv_1,Receiver,32768,1024,16,2880.5,5.687901577384396
riscv_1,Receiver,33792,2048,16,3135.0,10.452316853680845
riscv_1,Receiver,34816,4096,16,3659.0,17.91091665899826
riscv_1,Receiver,35840,8192,16,4752.5,27.579589994906634
riscv_1,Receiver,36864,16384,16,6977.5,37.56990808351563
riscv_1,Receiver,37888,32768,16,11352.5,46.18260734055826
riscv_1,Receiver,38912,65536,16,20151.0,52.035929250617855
riscv_1,Receiver,39936,131072,16,37807.0,55.469939429206235
riscv_1,Receiver,40960,262144,16,73251.0,57.25934116940383
riscv_1,Receiver,41984,524288,16,143545.0,58.43887289823955
riscv_1,Receiver,43008,64,64,10941.0,0.37437163277737995
riscv_1,Receiver,44032,128,64,10947.5,0.7482986998938888
riscv_1,Receiver,45056,256,64,10958.5,1.4950951347454593
riscv_1,Receiver,46080,512,64,11099.5,2.9522052040499647
riscv_1,Receiver,47104,1024,64,11138.5,5.8837366011634025
riscv_1,Receiver,48128,2048,64,11921.5,10.994589781072847
riscv_1,Receiver,49152,4096,64,14231.0,18.420631107750808
riscv_1,Receiver,50176,8192,64,18501.5,28.337597746761034
riscv_1,Receiver,51200,16384,64,27437.5,38.21689447414465
riscv_1,Receiver,52224,32768,64,44834.5,46.77540733722519
riscv_1,Receiver,53248,65536,64,80020.0,52.41569614965373
riscv_1,Receiver,54272,131072,64,149921.0,55.95352219084198
riscv_1,Receiver,55296,262144,64,290374.0,57.77795532657883
riscv_1,Receiver,56320,524288,64,570128.5,58.85415656299555
riscv_1,Receiver,57344,64,256,43394.0,0.37756371848642667
riscv_1,Receiver,58368,128,256,43389.5,0.7552057606669038
riscv_1,Receiver,59392,256,256,43904.5,1.4926943709300793
riscv_1,Receiver,60416,512,256,43911.0,2.984946825806226
riscv_1,Receiver,61440,1024,256,43426.0,6.036567957882562
riscv_1,Receiver,62464,2048,256,47293.5,11.085836321240789
riscv_1,Receiver,63488,4096,256,56616.0,18.520842216761658
riscv_1,Receiver,64512,8192,256,73920.5,28.37037093501123
riscv_1,Receiver,65536,16384,256,109728.5,38.224381086837866
riscv_1,Receiver,66560,32768,256,178721.5,46.93675915679651
riscv_1,Receiver,67584,65536,256,319098.0,52.57700142482582
riscv_1,Receiver,68608,131072,256,597228.5,56.183574628510726
riscv_1,Receiver,69632,262144,256,1155946.0,58.0553624477268
riscv_1,Receiver,70656,524288,256,2276449.0,58.959251009020235
