Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Posted writes,Same destination,Same value,NoC Index,Stateful,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,45056,0,1,0,0,0,297.0,0.10774410774410774
32,1,wormhole_b0,riscv_0,46080,0,1,1,0,0,298.0,0.10738255033557047
32,1,wormhole_b0,riscv_0,47104,0,1,0,0,1,299.0,0.10702341137123746
32,1,wormhole_b0,riscv_0,48128,0,1,1,0,1,302.0,0.10596026490066225
32,1,wormhole_b0,riscv_0,49152,0,0,0,0,0,296.0,0.10810810810810811
32,1,wormhole_b0,riscv_0,50176,0,0,1,0,0,298.0,0.10738255033557047
32,1,wormhole_b0,riscv_0,51200,0,0,0,0,1,312.0,0.10256410256410256
32,1,wormhole_b0,riscv_0,52224,0,0,1,0,1,312.0,0.10256410256410256
32,2,wormhole_b0,riscv_0,53248,0,1,0,0,0,324.0,0.19753086419753085
32,2,wormhole_b0,riscv_0,54272,0,1,1,0,0,324.0,0.19753086419753085
32,2,wormhole_b0,riscv_0,55296,0,1,0,0,1,321.0,0.19937694704049844
32,2,wormhole_b0,riscv_0,56320,0,1,1,0,1,334.0,0.19161676646706588
32,2,wormhole_b0,riscv_0,57344,0,0,0,0,0,324.0,0.19753086419753085
32,2,wormhole_b0,riscv_0,58368,0,0,1,0,0,331.0,0.1933534743202417
32,2,wormhole_b0,riscv_0,59392,0,0,0,0,1,338.0,0.1893491124260355
32,2,wormhole_b0,riscv_0,60416,0,0,1,0,1,332.0,0.1927710843373494
32,4,wormhole_b0,riscv_0,61440,0,1,0,0,0,366.0,0.34972677595628415
32,4,wormhole_b0,riscv_0,62464,0,1,1,0,0,357.0,0.3585434173669468
32,4,wormhole_b0,riscv_0,63488,0,1,0,0,1,353.0,0.3626062322946176
32,4,wormhole_b0,riscv_0,64512,0,1,1,0,1,351.0,0.3646723646723647
32,4,wormhole_b0,riscv_0,65536,0,0,0,0,0,389.0,0.32904884318766064
32,4,wormhole_b0,riscv_0,66560,0,0,1,0,0,384.0,0.3333333333333333
32,4,wormhole_b0,riscv_0,67584,0,0,0,0,1,376.0,0.3404255319148936
32,4,wormhole_b0,riscv_0,68608,0,0,1,0,1,374.0,0.3422459893048128
32,8,wormhole_b0,riscv_0,69632,0,1,0,0,0,445.0,0.5752808988764045
32,8,wormhole_b0,riscv_0,70656,0,1,1,0,0,445.0,0.5752808988764045
32,8,wormhole_b0,riscv_0,71680,0,1,0,0,1,423.0,0.6052009456264775
32,8,wormhole_b0,riscv_0,72704,0,1,1,0,1,416.0,0.6153846153846154
32,8,wormhole_b0,riscv_0,73728,0,0,0,0,0,497.0,0.5150905432595574
32,8,wormhole_b0,riscv_0,74752,0,0,1,0,0,503.0,0.5089463220675944
32,8,wormhole_b0,riscv_0,75776,0,0,0,0,1,455.0,0.5626373626373626
32,8,wormhole_b0,riscv_0,76800,0,0,1,0,1,443.0,0.5778781038374717
32,16,wormhole_b0,riscv_0,77824,0,1,0,0,0,620.0,0.8258064516129032
32,16,wormhole_b0,riscv_0,78848,0,1,1,0,0,621.0,0.8244766505636071
32,16,wormhole_b0,riscv_0,79872,0,1,0,0,1,565.0,0.9061946902654867
32,16,wormhole_b0,riscv_0,80896,0,1,1,0,1,556.0,0.920863309352518
32,16,wormhole_b0,riscv_0,81920,0,0,0,0,0,715.0,0.7160839160839161
32,16,wormhole_b0,riscv_0,82944,0,0,1,0,0,728.0,0.7032967032967034
32,16,wormhole_b0,riscv_0,83968,0,0,0,0,1,632.0,0.810126582278481
32,16,wormhole_b0,riscv_0,84992,0,0,1,0,1,600.0,0.8533333333333334
32,32,wormhole_b0,riscv_0,86016,0,1,0,0,0,973.0,1.052415210688592
32,32,wormhole_b0,riscv_0,87040,0,1,1,0,0,981.0,1.0438328236493375
32,32,wormhole_b0,riscv_0,88064,0,1,0,0,1,855.0,1.1976608187134503
32,32,wormhole_b0,riscv_0,89088,0,1,1,0,1,824.0,1.2427184466019416
32,32,wormhole_b0,riscv_0,90112,0,0,0,0,0,1147.0,0.8927637314734089
32,32,wormhole_b0,riscv_0,91136,0,0,1,0,0,1175.0,0.8714893617021277
32,32,wormhole_b0,riscv_0,92160,0,0,0,0,1,995.0,1.0291457286432162
32,32,wormhole_b0,riscv_0,93184,0,0,1,0,1,922.0,1.1106290672451193
