Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,184320,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,482.0,0.06639004149377593
64,1,wormhole_b0,riscv_1,185344,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,394.0,0.16243654822335024
128,1,wormhole_b0,riscv_1,186368,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,402.0,0.31840796019900497
256,1,wormhole_b0,riscv_1,187392,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,402.0,0.6368159203980099
512,1,wormhole_b0,riscv_1,188416,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,411.0,1.245742092457421
1024,1,wormhole_b0,riscv_1,189440,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,514.0,1.9922178988326849
2048,1,wormhole_b0,riscv_1,190464,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,475.0,4.311578947368421
4096,1,wormhole_b0,riscv_1,191488,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,562.0,7.288256227758007
8192,1,wormhole_b0,riscv_1,192512,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,730.0,11.221917808219178
32,4,wormhole_b0,riscv_1,193536,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,486.0,0.26337448559670784
64,4,wormhole_b0,riscv_1,194560,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,494.0,0.5182186234817814
128,4,wormhole_b0,riscv_1,195584,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,494.0,1.0364372469635628
256,4,wormhole_b0,riscv_1,196608,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,606.0,1.6897689768976898
512,4,wormhole_b0,riscv_1,197632,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,510.0,4.015686274509804
1024,4,wormhole_b0,riscv_1,198656,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,534.0,7.670411985018727
2048,4,wormhole_b0,riscv_1,199680,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,657.0,12.468797564687975
4096,4,wormhole_b0,riscv_1,200704,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,918.0,17.847494553376908
8192,4,wormhole_b0,riscv_1,201728,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,1390.0,23.57410071942446
32,16,wormhole_b0,riscv_1,202752,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,858.0,0.5967365967365967
64,16,wormhole_b0,riscv_1,203776,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,858.0,1.1934731934731935
128,16,wormhole_b0,riscv_1,204800,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,866.0,2.3648960739030023
256,16,wormhole_b0,riscv_1,205824,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,875.0,4.6811428571428575
512,16,wormhole_b0,riscv_1,206848,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,882.0,9.287981859410431
1024,16,wormhole_b0,riscv_1,207872,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,922.0,17.77006507592191
2048,16,wormhole_b0,riscv_1,208896,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,1420.0,23.07605633802817
4096,16,wormhole_b0,riscv_1,209920,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2442.0,26.83701883701884
8192,16,wormhole_b0,riscv_1,210944,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,4474.0,29.296379079123827
32,64,wormhole_b0,riscv_1,211968,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2346.0,0.8729752770673487
64,64,wormhole_b0,riscv_1,212992,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2354.0,1.740016992353441
128,64,wormhole_b0,riscv_1,214016,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2354.0,3.480033984706882
256,64,wormhole_b0,riscv_1,215040,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2354.0,6.960067969413764
512,64,wormhole_b0,riscv_1,216064,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2370.0,13.826160337552743
1024,64,wormhole_b0,riscv_1,217088,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,2570.0,25.500389105058368
2048,64,wormhole_b0,riscv_1,218112,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,4548.0,28.819700967458225
4096,64,wormhole_b0,riscv_1,219136,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8722.0,30.055491859665214
8192,64,wormhole_b0,riscv_1,220160,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,16866.0,31.085497450492113
32,256,wormhole_b0,riscv_1,221184,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8298.0,0.9872258375512172
64,256,wormhole_b0,riscv_1,222208,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8298.0,1.9744516751024344
128,256,wormhole_b0,riscv_1,223232,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8306.0,3.9450999277630627
256,256,wormhole_b0,riscv_1,224256,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8394.0,7.807481534429354
512,256,wormhole_b0,riscv_1,225280,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8322.0,15.750060081711126
1024,256,wormhole_b0,riscv_1,226304,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,8946.0,29.302928683210375
2048,256,wormhole_b0,riscv_1,227328,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,17260.0,30.375898030127463
4096,256,wormhole_b0,riscv_1,228352,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,33876.0,30.95335931042626
8192,256,wormhole_b0,riscv_1,229376,DRAM Interleaved,unicast,one_from_all,False,False,False,0,0,66528.0,31.522847522847524
32,1,wormhole_b0,riscv_1,230400,DRAM Interleaved,unicast,one_from_all,False,False,False,0,1,396.0,0.08080808080808081
64,1,wormhole_b0,riscv_1,231424,DRAM Interleaved,unicast,one_from_all,False,False,False,0,1,396.0,0.16161616161616163
128,1,wormhole_b0,riscv_1,232448,DRAM Interleaved,unicast,one_from_all,False,False,False,0,1,404.0,0.31683168316831684
256,1,wormhole_b0,riscv_1,233472,DRAM Interleaved,unicast,one_from_all,False,False,False,0,1,404.0,0.6336633663366337
