Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Multicast Scheme Type,Subordinate Grid Size X,Subordinate Grid Size Y,Loopback,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
8192,256,wormhole_b0,riscv_0,2048,0,3,2,2,false,2x2,68590.0,30.575185887155563
8192,256,wormhole_b0,riscv_0,6144,0,7,2,2,false,2x2,68550.0,30.593026987600293
8192,256,wormhole_b0,riscv_0,12288,0,3,3,3,false,3x3,69529.0,30.16226322829323
8192,256,wormhole_b0,riscv_0,16384,0,7,3,3,false,3x3,69574.0,30.142754477247248
8192,256,wormhole_b0,riscv_0,22528,0,3,4,4,false,4x4,71132.0,29.482539504020693
8192,256,wormhole_b0,riscv_0,26624,0,7,4,4,false,4x4,69987.0,29.964879191849914
8192,256,wormhole_b0,riscv_0,32768,0,3,5,5,false,5x5,72804.0,28.805450249986265
8192,256,wormhole_b0,riscv_0,36864,0,7,5,5,false,5x5,69977.0,29.969161295854352
8192,256,wormhole_b0,riscv_0,43008,0,3,6,6,false,6x6,75747.0,27.686271403487925
8192,256,wormhole_b0,riscv_0,47104,0,7,6,6,false,6x6,70243.0,29.855672451347466
8192,256,wormhole_b0,riscv_0,53248,0,3,7,7,false,7x7,78579.0,26.688453658102038
8192,256,wormhole_b0,riscv_0,57344,0,7,7,7,false,7x7,70604.0,29.703019658942836
8192,256,wormhole_b0,riscv_0,63488,1,3,2,2,false,2x2,74410.0,28.183738744792368
8192,256,wormhole_b0,riscv_0,67584,1,7,2,2,false,2x2,74404.0,28.186011504757808
8192,256,wormhole_b0,riscv_0,73728,1,3,3,3,false,3x3,74403.0,28.186390333723104
8192,256,wormhole_b0,riscv_0,77824,1,7,3,3,false,3x3,74423.0,28.178815688698386
8192,256,wormhole_b0,riscv_0,83968,1,3,4,4,false,4x4,74403.0,28.186390333723104
8192,256,wormhole_b0,riscv_0,88064,1,7,4,4,false,4x4,74413.0,28.18260250225095
8192,256,wormhole_b0,riscv_0,94208,1,3,5,5,false,5x5,74408.0,28.184496290721427
