Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32768,256,wormhole_b0,riscv_1,47104,L1,unicast,all_from_all,True,False,False,4,1,664709.5,12.782263481404858
65536,256,wormhole_b0,riscv_1,48128,L1,unicast,all_from_all,True,False,False,4,1,1354167.0,12.657441131374393
32,1024,wormhole_b0,riscv_1,49152,L1,unicast,all_from_all,True,False,False,4,1,29031.0,1.1356556725802065
64,1024,wormhole_b0,riscv_1,50176,L1,unicast,all_from_all,True,False,False,4,1,29060.5,2.268569750128666
128,1024,wormhole_b0,riscv_1,51200,L1,unicast,all_from_all,True,False,False,4,1,29032.5,4.542054087861384
256,1024,wormhole_b0,riscv_1,52224,L1,unicast,all_from_all,True,False,False,4,1,29403.0,8.977835317608612
512,1024,wormhole_b0,riscv_1,53248,L1,unicast,all_from_all,True,False,False,4,1,42987.0,12.320457115317817
1024,1024,wormhole_b0,riscv_1,54272,L1,unicast,all_from_all,True,False,False,4,1,83180.0,12.741389843741617
2048,1024,wormhole_b0,riscv_1,55296,L1,unicast,all_from_all,True,False,False,4,1,163741.0,12.94285514965512
4096,1024,wormhole_b0,riscv_1,56320,L1,unicast,all_from_all,True,False,False,4,1,328253.0,12.912464941470645
8192,1024,wormhole_b0,riscv_1,57344,L1,unicast,all_from_all,True,False,False,4,1,665362.5,12.77025547245187
16384,1024,wormhole_b0,riscv_1,58368,L1,unicast,all_from_all,True,False,False,4,1,1354135.0,12.656329142446953
32768,1024,wormhole_b0,riscv_1,59392,L1,unicast,all_from_all,True,False,False,4,1,2736516.5,12.543010018355481
65536,1024,wormhole_b0,riscv_1,60416,L1,unicast,all_from_all,True,False,False,4,1,5603429.5,12.216076296299455
32,9,wormhole_b0,riscv_1,61440,L1,unicast,all_from_all,True,False,False,9,1,520.0,0.5538461538461539
64,9,wormhole_b0,riscv_1,62464,L1,unicast,all_from_all,True,False,False,9,1,519.0,1.1098265895953756
128,9,wormhole_b0,riscv_1,63488,L1,unicast,all_from_all,True,False,False,9,1,518.0,2.223938223938224
256,9,wormhole_b0,riscv_1,64512,L1,unicast,all_from_all,True,False,False,9,1,529.0,4.355387523629489
512,9,wormhole_b0,riscv_1,65536,L1,unicast,all_from_all,True,False,False,9,1,562.0,8.199288256227758
1024,9,wormhole_b0,riscv_1,66560,L1,unicast,all_from_all,True,False,False,9,1,760.0,12.126315789473685
2048,9,wormhole_b0,riscv_1,67584,L1,unicast,all_from_all,True,False,False,9,1,1369.0,13.463842220598977
4096,9,wormhole_b0,riscv_1,68608,L1,unicast,all_from_all,True,False,False,9,1,2457.0,15.003663003663004
8192,9,wormhole_b0,riscv_1,69632,L1,unicast,all_from_all,True,False,False,9,1,5203.0,14.170286373246205
16384,9,wormhole_b0,riscv_1,70656,L1,unicast,all_from_all,True,False,False,9,1,10791.0,13.664720600500416
32768,9,wormhole_b0,riscv_1,71680,L1,unicast,all_from_all,True,False,False,9,1,20377.0,14.472787947195368
65536,9,wormhole_b0,riscv_1,72704,L1,unicast,all_from_all,True,False,False,9,1,52473.0,11.240523697901779
