Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (GB/s),Clock Frequency (MHz)
32,1000000,wormhole_b0,riscv_0,0,52063375.0,0.6146355283344578,1000
64,1000000,wormhole_b0,riscv_0,1024,52553989.0,1.217795284768964,1000
128,1000000,wormhole_b0,riscv_0,2048,52558799.0,2.435367672689781,1000
256,1000000,wormhole_b0,riscv_0,3072,52570127.0,4.8696857818129295,1000
512,1000000,wormhole_b0,riscv_0,4096,52733487.0,9.709200531343585,1000
1024,1000000,wormhole_b0,riscv_0,5120,55162306.0,18.563400884654822,1000
2048,1000000,wormhole_b0,riscv_0,6144,75753987.0,27.034880685553883,1000
4096,1000000,wormhole_b0,riscv_0,7168,150919613.0,27.14027632710667,1000
8192,1000000,wormhole_b0,riscv_0,8192,307134789.0,26.67232854562757,1000
