Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,0,true,706.0,0.0453257790368272
64,1,wormhole_b0,riscv_0,1024,true,704.0,0.09090909090909091
128,1,wormhole_b0,riscv_0,2048,true,707.0,0.18104667609618105
256,1,wormhole_b0,riscv_0,3072,true,705.0,0.36312056737588655
512,1,wormhole_b0,riscv_0,4096,true,722.0,0.7091412742382271
1024,1,wormhole_b0,riscv_0,5120,true,737.0,1.389416553595658
2048,1,wormhole_b0,riscv_0,6144,true,782.0,2.6189258312020463
4096,1,wormhole_b0,riscv_0,7168,true,854.0,4.796252927400468
8192,1,wormhole_b0,riscv_0,8192,true,985.0,8.316751269035533
16384,1,wormhole_b0,riscv_0,9216,true,1556.0,10.52956298200514
32768,1,wormhole_b0,riscv_0,10240,true,2649.0,12.369950924877312
65536,1,wormhole_b0,riscv_0,11264,true,4838.0,13.546093427035965
32,4,wormhole_b0,riscv_0,12288,true,1528.0,0.08376963350785341
64,4,wormhole_b0,riscv_0,13312,true,1523.0,0.1680892974392646
128,4,wormhole_b0,riscv_0,14336,true,1538.0,0.3328998699609883
256,4,wormhole_b0,riscv_0,15360,true,1551.0,0.6602192134107028
512,4,wormhole_b0,riscv_0,16384,true,1589.0,1.288860918816866
1024,4,wormhole_b0,riscv_0,17408,true,1661.0,2.4659843467790488
2048,4,wormhole_b0,riscv_0,18432,true,1816.0,4.511013215859031
4096,4,wormhole_b0,riscv_0,19456,true,2096.0,7.816793893129771
8192,4,wormhole_b0,riscv_0,20480,true,2647.0,12.379297317718171
16384,4,wormhole_b0,riscv_0,21504,true,5096.0,12.86028257456829
32768,4,wormhole_b0,riscv_0,22528,true,9208.0,14.234578627280625
65536,4,wormhole_b0,riscv_0,23552,true,17967.0,14.590304447041799
32,16,wormhole_b0,riscv_0,24576,true,4851.0,0.10554524840239125
64,16,wormhole_b0,riscv_0,25600,true,4867.0,0.2103965481816314
128,16,wormhole_b0,riscv_0,26624,true,4895.0,0.4183861082737487
256,16,wormhole_b0,riscv_0,27648,true,4963.0,0.8253072738263147
512,16,wormhole_b0,riscv_0,28672,true,5101.0,1.6059596157616154
1024,16,wormhole_b0,riscv_0,29696,true,5379.0,3.045919315857966
2048,16,wormhole_b0,riscv_0,30720,true,5943.0,5.513713612653542
4096,16,wormhole_b0,riscv_0,31744,true,7019.0,9.336942584413734
8192,16,wormhole_b0,riscv_0,32768,true,9206.0,14.237671084075602
16384,16,wormhole_b0,riscv_0,33792,true,17943.0,14.60981998550967
32768,16,wormhole_b0,riscv_0,34816,true,35541.0,14.751638952196055
65536,16,wormhole_b0,riscv_0,35840,true,70406.0,14.893276141237962
32,64,wormhole_b0,riscv_0,36864,true,18145.0,0.11286855883163406
64,64,wormhole_b0,riscv_0,37888,true,18206.0,0.2249807755684939
128,64,wormhole_b0,riscv_0,38912,true,18336.0,0.4467713787085515
256,64,wormhole_b0,riscv_0,39936,true,18595.0,0.8810970691045981
512,64,wormhole_b0,riscv_0,40960,true,19141.0,1.7119272765268272
1024,64,wormhole_b0,riscv_0,41984,true,20214.0,3.2421094291085386
2048,64,wormhole_b0,riscv_0,43008,true,22462.0,5.835277357314576
4096,64,wormhole_b0,riscv_0,44032,true,26773.0,9.79135696410563
8192,64,wormhole_b0,riscv_0,45056,true,36678.0,14.294345384153988
16384,64,wormhole_b0,riscv_0,46080,true,70388.0,14.897084730351764
32768,64,wormhole_b0,riscv_0,47104,true,140508.0,14.925498903976997
65536,64,wormhole_b0,riscv_0,48128,true,280373.0,14.959728647194988
32,256,wormhole_b0,riscv_0,49152,true,71328.0,0.11484970838941229
64,256,wormhole_b0,riscv_0,50176,true,71584.0,0.2288779615556549
128,256,wormhole_b0,riscv_0,51200,true,72098.0,0.45449249632444727
256,256,wormhole_b0,riscv_0,52224,true,73117.0,0.8963168620156735
512,256,wormhole_b0,riscv_0,53248,true,75266.0,1.7414503228549412
1024,256,wormhole_b0,riscv_0,54272,true,79621.0,3.2923977342660855
2048,256,wormhole_b0,riscv_0,55296,true,88472.0,5.926033095216566
4096,256,wormhole_b0,riscv_0,56320,true,105796.0,9.911300994366517
8192,256,wormhole_b0,riscv_0,57344,true,140710.0,14.90407220524483
16384,256,wormhole_b0,riscv_0,58368,true,280378.0,14.959461869333543
32768,256,wormhole_b0,riscv_0,59392,true,561989.0,14.92664091290043
65536,256,wormhole_b0,riscv_0,60416,true,1119843.0,14.981757264187927
32,1,wormhole_b0,riscv_0,61440,false,710.0,0.04507042253521127
64,1,wormhole_b0,riscv_0,62464,false,704.0,0.09090909090909091
128,1,wormhole_b0,riscv_0,63488,false,706.0,0.1813031161473088
256,1,wormhole_b0,riscv_0,64512,false,707.0,0.3620933521923621
512,1,wormhole_b0,riscv_0,65536,false,722.0,0.7091412742382271
1024,1,wormhole_b0,riscv_0,66560,false,747.0,1.3708165997322623
2048,1,wormhole_b0,riscv_0,67584,false,778.0,2.632390745501285
4096,1,wormhole_b0,riscv_0,68608,false,859.0,4.768335273573923
8192,1,wormhole_b0,riscv_0,69632,false,980.0,8.359183673469389
16384,1,wormhole_b0,riscv_0,70656,false,1550.0,10.570322580645161
32768,1,wormhole_b0,riscv_0,71680,false,2653.0,12.351300414624953
65536,1,wormhole_b0,riscv_0,72704,false,4840.0,13.540495867768595
32,4,wormhole_b0,riscv_0,73728,false,1516.0,0.08443271767810026
64,4,wormhole_b0,riscv_0,74752,false,1527.0,0.16764898493778652
128,4,wormhole_b0,riscv_0,75776,false,1531.0,0.33442194644023515
256,4,wormhole_b0,riscv_0,76800,false,1550.0,0.6606451612903226
512,4,wormhole_b0,riscv_0,77824,false,1591.0,1.2872407291011942
1024,4,wormhole_b0,riscv_0,78848,false,1670.0,2.452694610778443
2048,4,wormhole_b0,riscv_0,79872,false,1816.0,4.511013215859031
4096,4,wormhole_b0,riscv_0,80896,false,2094.0,7.8242597898758355
8192,4,wormhole_b0,riscv_0,81920,false,2634.0,12.44039483675019
16384,4,wormhole_b0,riscv_0,82944,false,4821.0,13.593860194980294
32768,4,wormhole_b0,riscv_0,83968,false,9219.0,14.217594099143074
65536,4,wormhole_b0,riscv_0,84992,false,17905.0,14.640826584752862
32,16,wormhole_b0,riscv_0,86016,false,4848.0,0.10561056105610561
64,16,wormhole_b0,riscv_0,87040,false,4866.0,0.21043978627209206
