Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
128,16,wormhole_b0,riscv_0,88064,false,4894.0,0.4184715978749489
256,16,wormhole_b0,riscv_0,89088,false,4966.0,0.8248086991542489
512,16,wormhole_b0,riscv_0,90112,false,5101.0,1.6059596157616154
1024,16,wormhole_b0,riscv_0,91136,false,5373.0,3.049320677461381
2048,16,wormhole_b0,riscv_0,92160,false,5936.0,5.520215633423181
4096,16,wormhole_b0,riscv_0,93184,false,7027.0,9.326312793510745
8192,16,wormhole_b0,riscv_0,94208,false,9505.0,13.789794844818516
16384,16,wormhole_b0,riscv_0,95232,false,17915.0,14.632654200390734
32768,16,wormhole_b0,riscv_0,96256,false,35378.0,14.819605404488666
65536,16,wormhole_b0,riscv_0,97280,false,70329.0,14.909582106954456
32,64,wormhole_b0,riscv_0,98304,false,18139.0,0.11290589337890733
64,64,wormhole_b0,riscv_0,99328,false,18213.0,0.22489430626475596
128,64,wormhole_b0,riscv_0,100352,false,18339.0,0.44669829325481214
256,64,wormhole_b0,riscv_0,101376,false,18597.0,0.8810023122008926
512,64,wormhole_b0,riscv_0,102400,false,19137.0,1.712285102158123
1024,64,wormhole_b0,riscv_0,103424,false,20500.0,3.196878048780488
2048,64,wormhole_b0,riscv_0,104448,false,22454.0,5.837356373029304
4096,64,wormhole_b0,riscv_0,105472,false,26724.0,9.8093099835354
8192,64,wormhole_b0,riscv_0,106496,false,35446.0,14.79117530892061
16384,64,wormhole_b0,riscv_0,107520,false,70243.0,14.927836225673733
32768,64,wormhole_b0,riscv_0,108544,false,140636.0,14.911914445803351
65536,64,wormhole_b0,riscv_0,109568,false,279764.0,14.992293504525243
32,256,wormhole_b0,riscv_0,110592,false,71323.0,0.11485775976893849
64,256,wormhole_b0,riscv_0,111616,false,71597.0,0.22883640375993408
128,256,wormhole_b0,riscv_0,112640,false,72100.0,0.45447988904299585
256,256,wormhole_b0,riscv_0,113664,false,73118.0,0.8963046035176017
512,256,wormhole_b0,riscv_0,114688,false,75302.0,1.740617779076253
1024,256,wormhole_b0,riscv_0,115712,false,79567.0,3.2946321967649905
2048,256,wormhole_b0,riscv_0,116736,false,88548.0,5.920946831097258
4096,256,wormhole_b0,riscv_0,117760,false,105700.0,9.920302743614002
8192,256,wormhole_b0,riscv_0,118784,false,144250.0,14.538315424610053
16384,256,wormhole_b0,riscv_0,119808,false,279963.0,14.981636859156389
32768,256,wormhole_b0,riscv_0,120832,false,559630.0,14.989560959919947
65536,256,wormhole_b0,riscv_0,121856,false,1117526.0,15.01281938854219
