Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
32,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,0,8x8,8x8,3631.0,0.564032631619267
64,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,1024,8x8,8x8,3784.0,1.0824524312896406
128,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,2048,8x8,8x8,4984.0,1.6436597110754414
256,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,3072,8x8,8x8,14306.0,1.1452537620730006
512,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,4096,8x8,8x8,21207.5,1.5451156541459283
1024,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,5120,8x8,8x8,59129.0,1.1083563212381589
2048,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,6144,8x8,8x8,98659.5,1.3285307510920121
4096,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,7168,8x8,8x8,205142.0,1.2778663611166374
8192,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,8192,8x8,8x8,464901.0,1.1277426351626345
16384,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,9216,8x8,8x8,1001786.0,1.046748361479692
32768,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,10240,8x8,8x8,2530485.0,0.8297899478896974
65536,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,11264,8x8,8x8,4373032.5,0.9591294070324332
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,12288,8x8,8x8,11847.5,0.6914542491427096
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,13312,8x8,8x8,15217.5,1.0766940934765774
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,14336,8x8,8x8,39683.5,0.8261024420347799
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,15360,8x8,8x8,73626.0,0.8902008056355757
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,16384,8x8,8x8,142488.0,0.9198868443892465
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,17408,8x8,8x8,310398.5,0.844540202456427
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,18432,8x8,8x8,565824.0,0.9265923937433291
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,19456,8x8,8x8,1222391.0,0.8586331573567048
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,20480,8x8,8x8,2550655.5,0.8223832032423711
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,21504,8x8,8x8,4617650.5,0.9085690569823937
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,22528,8x8,8x8,7878210.5,1.064785986535663
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,23552,8x8,8x8,14307647.0,1.1727654222768167
32,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,24576,8x8,8x8,42273.0,0.775208521887712
64,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,25600,8x8,8x8,47503.5,1.3796036095307678
128,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,26624,8x8,8x8,78858.0,1.6621550932717628
256,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,27648,8x8,8x8,196964.5,1.331052449662816
512,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,28672,8x8,8x8,322676.5,1.625119136921413
1024,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,29696,8x8,8x8,894211.0,1.172753783725942
2048,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,30720,8x8,8x8,1793266.5,1.169461399801234
4096,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,31744,8x8,8x8,4049104.0,1.0358630378581766
8192,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,32768,8x8,8x8,8509970.0,0.9871811182098225
