RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,153600,32,1,1435.0,0.02229965156794425
riscv_1,Receiver,154624,64,1,1435.5,0.04458377413061834
riscv_1,Receiver,155648,128,1,1439.5,0.08891977453478496
riscv_1,Receiver,156672,256,1,1444.0,0.1772853185595568
riscv_1,Receiver,157696,512,1,1452.5,0.3524957388437336
riscv_1,Receiver,158720,1024,1,1472.0,0.6956521739130435
riscv_1,Receiver,159744,2048,1,1506.0,1.3598937583001327
riscv_1,Receiver,160768,4096,1,1578.5,2.5948688064432495
riscv_1,Receiver,161792,8192,1,1717.0,4.7711140237333485
riscv_1,Receiver,162816,16384,1,2714.0,6.036845983787767
riscv_1,Receiver,163840,32768,1,3397.0,9.646158375036798
riscv_1,Receiver,164864,65536,1,5651.5,11.59621348544114
riscv_1,Receiver,165888,131072,1,10157.5,12.903962620487022
riscv_1,Receiver,166912,262144,1,20988.0,12.490184867543357
riscv_1,Receiver,167936,524288,1,36936.5,14.194306447445545
riscv_1,Receiver,168960,32,4,3887.0,0.03293028042191922
riscv_1,Receiver,169984,64,4,3883.5,0.06591991869282593
riscv_1,Receiver,171008,128,4,3882.5,0.13187379484650394
riscv_1,Receiver,172032,256,4,3904.0,0.2622950991768045
riscv_1,Receiver,173056,512,4,3903.0,0.5247245708429413
riscv_1,Receiver,174080,1024,4,3980.5,1.0290164714554941
riscv_1,Receiver,175104,2048,4,4117.5,1.9895567992225462
riscv_1,Receiver,176128,4096,4,4408.0,3.716878402903811
riscv_1,Receiver,177152,8192,4,4981.0,6.578598940120176
riscv_1,Receiver,178176,16384,4,6590.0,9.944764795144158
riscv_1,Receiver,179200,32768,4,9784.0,13.396565821749796
riscv_1,Receiver,180224,65536,4,16117.0,16.2650617360551
riscv_1,Receiver,181248,131072,4,29042.0,18.052751187934714
riscv_1,Receiver,182272,262144,4,54510.0,19.236396991377728
riscv_1,Receiver,183296,524288,4,105949.0,19.7939763471104
riscv_1,Receiver,184320,32,16,13728.0,0.037296037296037296
riscv_1,Receiver,185344,64,16,13713.0,0.0746736673229782
riscv_1,Receiver,186368,128,16,13730.0,0.14916241806263655
riscv_1,Receiver,187392,256,16,13797.5,0.2968653745518369
riscv_1,Receiver,188416,512,16,13733.0,0.5965193329935192
riscv_1,Receiver,189440,1024,16,13990.0,1.171122230164403
riscv_1,Receiver,190464,2048,16,14536.0,2.2542652724270775
riscv_1,Receiver,191488,4096,16,15807.5,4.145880124344029
riscv_1,Receiver,192512,8192,16,18011.5,7.277128551706426
riscv_1,Receiver,193536,16384,16,23790.0,11.019083648591845
riscv_1,Receiver,194560,32768,16,35303.0,14.851089154481913
riscv_1,Receiver,195584,65536,16,58340.0,17.97353445320535
riscv_1,Receiver,196608,131072,16,103144.5,20.33217476500716
riscv_1,Receiver,197632,262144,16,196549.0,21.33973716477825
riscv_1,Receiver,198656,524288,16,380777.0,22.030238170897928
riscv_1,Receiver,199680,32,64,52902.0,0.038713092132622584
riscv_1,Receiver,200704,64,64,52910.5,0.07741374586076066
riscv_1,Receiver,201728,128,64,52796.5,0.15516180051205508
riscv_1,Receiver,202752,256,64,53041.0,0.30889312041628175
riscv_1,Receiver,203776,512,64,52925.0,0.619140292867265
riscv_1,Receiver,204800,1024,64,53716.0,1.2200461687392956
riscv_1,Receiver,205824,2048,64,56252.5,2.3300653306138464
riscv_1,Receiver,206848,4096,64,60730.0,4.316548657994401
riscv_1,Receiver,207872,8192,64,69934.0,7.496897074384419
riscv_1,Receiver,208896,16384,64,92131.0,11.381359152983627
riscv_1,Receiver,209920,32768,64,136463.5,15.367860270535006
riscv_1,Receiver,210944,65536,64,226666.0,18.50433677746111
riscv_1,Receiver,211968,131072,64,405637.5,20.680060398786466
riscv_1,Receiver,212992,262144,64,765217.5,21.92476779478666
riscv_1,Receiver,214016,524288,64,1480436.0,22.665236457378306
riscv_1,Receiver,215040,32,256,209636.0,0.03907725772291019
riscv_1,Receiver,216064,64,256,209272.0,0.07829045452807828
riscv_1,Receiver,217088,128,256,209796.0,0.1561898224942325
riscv_1,Receiver,218112,256,256,210795.5,0.31089847743603977
riscv_1,Receiver,219136,512,256,209848.0,0.6246044756204491
riscv_1,Receiver,220160,1024,256,213524.5,1.2276998658300917
riscv_1,Receiver,221184,2048,256,222721.0,2.354012419125273
riscv_1,Receiver,222208,4096,256,241282.5,4.345843565134242
riscv_1,Receiver,223232,8192,256,277909.5,7.546168806776265
riscv_1,Receiver,224256,16384,256,366953.5,11.430069477489074
riscv_1,Receiver,225280,32768,256,543283.0,15.4405862138149
riscv_1,Receiver,226304,65536,256,900118.5,18.63889698967989
riscv_1,Receiver,227328,131072,256,1611153.5,20.82634087937818
riscv_1,Receiver,228352,262144,256,3031017.0,22.140708547659084
riscv_1,Receiver,229376,524288,256,5872680.0,22.854595857427956
