Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,460800,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,2048,1219.0,1.6800656275635768
64,1,wormhole_b0,riscv_0,461824,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,4096,1188.0,3.4478114478114477
128,1,wormhole_b0,riscv_0,462848,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,8192,1110.0,7.38018018018018
256,1,wormhole_b0,riscv_0,463872,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,16384,1163.0,14.087704213241617
512,1,wormhole_b0,riscv_0,464896,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,32768,1226.0,26.72756933115824
1024,1,wormhole_b0,riscv_0,465920,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,65536,1801.0,36.388672959466966
2048,1,wormhole_b0,riscv_0,466944,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,131072,3139.0,41.755973239885314
4096,1,wormhole_b0,riscv_0,467968,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,262144,5510.0,47.57604355716878
8192,1,wormhole_b0,riscv_0,468992,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,524288,11339.0,46.23758708880854
32,4,wormhole_b0,riscv_0,470016,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,8192,2061.0,3.974769529354682
64,4,wormhole_b0,riscv_0,471040,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,16384,2002.0,8.183816183816184
128,4,wormhole_b0,riscv_0,472064,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,32768,1241.0,26.404512489927477
256,4,wormhole_b0,riscv_0,473088,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,65536,1754.0,37.36374002280502
512,4,wormhole_b0,riscv_0,474112,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,131072,3016.0,43.45888594164456
1024,4,wormhole_b0,riscv_0,475136,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,262144,5284.0,49.6109008327025
2048,4,wormhole_b0,riscv_0,476160,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,524288,10269.0,51.055409484857336
4096,4,wormhole_b0,riscv_0,477184,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,1048576,21657.0,48.41741700143141
8192,4,wormhole_b0,riscv_0,478208,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,2097152,43812.0,47.86706838309139
32,16,wormhole_b0,riscv_0,479232,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,32768,6626.0,4.945366737096287
64,16,wormhole_b0,riscv_0,480256,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,65536,7491.0,8.748631691362968
128,16,wormhole_b0,riscv_0,481280,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,131072,3277.0,39.99755874275252
256,16,wormhole_b0,riscv_0,482304,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,262144,5762.0,45.49531412703922
512,16,wormhole_b0,riscv_0,483328,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,524288,10326.0,50.77358125121054
1024,16,wormhole_b0,riscv_0,484352,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,1048576,19853.0,52.81700498665189
2048,16,wormhole_b0,riscv_0,485376,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,2097152,38898.0,53.91413440279706
4096,16,wormhole_b0,riscv_0,486400,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,4194304,81652.0,51.36804977220399
8192,16,wormhole_b0,riscv_0,487424,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,8388608,174018.0,48.205404038662664
32,64,wormhole_b0,riscv_0,488448,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,131072,27557.0,4.756395834089342
64,64,wormhole_b0,riscv_0,489472,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,262144,29279.0,8.953311246968818
128,64,wormhole_b0,riscv_0,490496,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,524288,12174.0,43.06620666995236
256,64,wormhole_b0,riscv_0,491520,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,1048576,21373.0,49.0607776166191
512,64,wormhole_b0,riscv_0,492544,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,2097152,39541.0,53.03740421334817
1024,64,wormhole_b0,riscv_0,493568,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,4194304,76755.0,54.6453520943261
2048,64,wormhole_b0,riscv_0,494592,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,8388608,153036.0,54.81460571368828
4096,64,wormhole_b0,riscv_0,495616,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,16777216,321933.0,52.11399887554243
8192,64,wormhole_b0,riscv_0,496640,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,33554432,685298.0,48.96327145271108
32,256,wormhole_b0,riscv_0,497664,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,524288,128898.0,4.067464196496455
64,256,wormhole_b0,riscv_0,498688,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,1048576,139997.0,7.489989071194382
128,256,wormhole_b0,riscv_0,499712,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,2097152,46528.0,45.07290233837689
256,256,wormhole_b0,riscv_0,500736,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,4194304,82991.0,50.53926329361015
512,256,wormhole_b0,riscv_0,501760,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,8388608,155394.0,53.98283073992561
1024,256,wormhole_b0,riscv_0,502784,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,16777216,305048.0,54.998610054811046
2048,256,wormhole_b0,riscv_0,503808,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,33554432,605446.0,55.421015251566615
4096,256,wormhole_b0,riscv_0,504832,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,67108864,1284287.0,52.253790624681244
8192,256,wormhole_b0,riscv_0,505856,DRAM Sharded,unicast,all_to_all,False,False,False,0,0,64,134217728,2731933.0,49.12921656570641
32,1,wormhole_b0,riscv_0,506880,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,2048,1242.0,1.6489533011272142
64,1,wormhole_b0,riscv_0,507904,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,4096,1296.0,3.1604938271604937
128,1,wormhole_b0,riscv_0,508928,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,8192,1281.0,6.3950039032006245
256,1,wormhole_b0,riscv_0,509952,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,16384,1183.0,13.84953508030431
512,1,wormhole_b0,riscv_0,510976,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,32768,1276.0,25.68025078369906
1024,1,wormhole_b0,riscv_0,512000,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,65536,1435.0,45.669686411149826
2048,1,wormhole_b0,riscv_0,513024,DRAM Sharded,unicast,all_to_all,False,False,False,0,1,64,131072,1601.0,81.86883198001249
