Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
32,64,wormhole_b0,riscv_0,0,true,3039.0,0.6739058900954261
64,64,wormhole_b0,riscv_0,1024,true,3046.0,1.3447143795141168
128,64,wormhole_b0,riscv_0,2048,true,3044.0,2.6911957950065704
256,64,wormhole_b0,riscv_0,3072,true,3052.0,5.368283093053735
512,64,wormhole_b0,riscv_0,4096,true,3058.0,10.715500327011119
1024,64,wormhole_b0,riscv_0,5120,true,3324.0,19.71600481347774
2048,64,wormhole_b0,riscv_0,6144,true,4639.0,28.25436516490623
4096,64,wormhole_b0,riscv_0,7168,true,8786.0,29.836558160710222
8192,64,wormhole_b0,riscv_0,8192,true,17098.0,30.663703357117793
16384,64,wormhole_b0,riscv_0,9216,true,33858.0,30.96981511016599
32768,64,wormhole_b0,riscv_0,10240,true,67457.0,31.088723186622587
65536,64,wormhole_b0,riscv_0,11264,true,134359.0,31.21714213413318
32,256,wormhole_b0,riscv_0,12288,true,8673.0,0.944540528075637
64,256,wormhole_b0,riscv_0,13312,true,9437.0,1.7361449613224542
128,256,wormhole_b0,riscv_0,14336,true,8801.0,3.7232132712191794
256,256,wormhole_b0,riscv_0,15360,true,8684.0,7.546752648549056
512,256,wormhole_b0,riscv_0,16384,true,8690.0,15.083084004602991
1024,256,wormhole_b0,riscv_0,17408,true,9200.0,28.493913043478262
2048,256,wormhole_b0,riscv_0,18432,true,17251.0,30.391745406063418
4096,256,wormhole_b0,riscv_0,19456,true,33897.0,30.934182966044194
8192,256,wormhole_b0,riscv_0,20480,true,67342.0,31.14181342995456
16384,256,wormhole_b0,riscv_0,21504,true,134403.0,31.206922464528322
32768,256,wormhole_b0,riscv_0,22528,true,268464.0,31.246677394362
65536,256,wormhole_b0,riscv_0,23552,true,536492.0,31.27207115856341
32,1024,wormhole_b0,riscv_0,24576,true,30174.0,1.0859680519652681
64,1024,wormhole_b0,riscv_0,25600,true,30170.0,2.172224063639377
128,1024,wormhole_b0,riscv_0,26624,true,30180.0,4.343008614976806
256,1024,wormhole_b0,riscv_0,27648,true,30184.0,8.684866154253909
512,1024,wormhole_b0,riscv_0,28672,true,30193.0,17.364554698108833
1024,1024,wormhole_b0,riscv_0,29696,true,35016.0,29.945624857208134
2048,1024,wormhole_b0,riscv_0,30720,true,67845.0,30.910929324194857
4096,1024,wormhole_b0,riscv_0,31744,true,134555.0,31.171669577496193
8192,1024,wormhole_b0,riscv_0,32768,true,268606.0,31.230158671064682
16384,1024,wormhole_b0,riscv_0,33792,true,536626.0,31.26426226086697
32768,1024,wormhole_b0,riscv_0,34816,true,1075174.0,31.208373714394135
65536,1024,wormhole_b0,riscv_0,35840,true,2145236.0,31.2827418521785
32,4096,wormhole_b0,riscv_0,36864,true,116186.0,1.128122148968034
64,4096,wormhole_b0,riscv_0,37888,true,132321.0,1.9811216662510107
128,4096,wormhole_b0,riscv_0,38912,true,116321.0,4.507251485114468
256,4096,wormhole_b0,riscv_0,39936,true,116199.0,9.02396750402327
512,4096,wormhole_b0,riscv_0,40960,true,116216.0,18.04529496799064
1024,4096,wormhole_b0,riscv_0,41984,true,138475.0,30.289250767286514
2048,4096,wormhole_b0,riscv_0,43008,true,271075.0,30.945708752190352
4096,4096,wormhole_b0,riscv_0,44032,true,537045.0,31.239870029513355
8192,4096,wormhole_b0,riscv_0,45056,true,1073369.0,31.260854375335974
16384,4096,wormhole_b0,riscv_0,46080,true,2145527.0,31.278498942217926
32768,4096,wormhole_b0,riscv_0,47104,true,4291692.0,31.27384910193928
65536,4096,wormhole_b0,riscv_0,48128,true,8581210.0,31.28177215101367
