Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,wormhole_b0,riscv_0,123904,1,2,4096,666.0,6.15015015015015
4096,1,wormhole_b0,riscv_0,124928,1,2,8192,915.0,8.953005464480874
8192,1,wormhole_b0,riscv_0,125952,1,2,16384,1098.0,14.92167577413479
16384,1,wormhole_b0,riscv_0,126976,1,2,32768,1925.0,17.022337662337662
32768,1,wormhole_b0,riscv_0,128000,1,2,65536,3290.0,19.919756838905776
65536,1,wormhole_b0,riscv_0,129024,1,2,131072,6270.0,20.90462519936204
2048,4,wormhole_b0,riscv_0,130048,1,2,16384,1274.0,12.86028257456829
4096,4,wormhole_b0,riscv_0,131072,1,2,32768,1934.0,16.943123061013445
8192,4,wormhole_b0,riscv_0,132096,1,2,65536,3426.0,19.12901342673672
16384,4,wormhole_b0,riscv_0,133120,1,2,131072,6294.0,20.82491261518907
32768,4,wormhole_b0,riscv_0,134144,1,2,262144,12314.0,21.288289751502354
65536,4,wormhole_b0,riscv_0,135168,1,2,524288,23878.0,21.956947818075214
2048,16,wormhole_b0,riscv_0,136192,1,2,65536,3445.0,19.023512336719882
4096,16,wormhole_b0,riscv_0,137216,1,2,131072,6299.0,20.80838228290205
8192,16,wormhole_b0,riscv_0,138240,1,2,262144,12224.0,21.445026178010473
16384,16,wormhole_b0,riscv_0,139264,1,2,524288,23856.0,21.97719651240778
32768,16,wormhole_b0,riscv_0,140288,1,2,1048576,47426.0,22.10972884072028
65536,16,wormhole_b0,riscv_0,141312,1,2,2097152,94308.0,22.237265131272004
2048,64,wormhole_b0,riscv_0,142336,1,2,262144,12148.0,21.57918999012183
4096,64,wormhole_b0,riscv_0,143360,1,2,524288,24031.0,21.81715284424285
8192,64,wormhole_b0,riscv_0,144384,1,2,1048576,47384.0,22.129326354887727
16384,64,wormhole_b0,riscv_0,145408,1,2,2097152,94460.0,22.201482108829133
32768,64,wormhole_b0,riscv_0,146432,1,2,4194304,188423.0,22.260042563805904
65536,64,wormhole_b0,riscv_0,147456,1,2,8388608,376484.0,22.281446223478287
2048,256,wormhole_b0,riscv_0,148480,1,2,1048576,47479.0,22.085048126540155
4096,256,wormhole_b0,riscv_0,149504,1,2,2097152,94401.0,22.215357888157964
8192,256,wormhole_b0,riscv_0,150528,1,2,4194304,188209.0,22.285352985245126
16384,256,wormhole_b0,riscv_0,151552,1,2,8388608,377108.0,22.244577150312377
32768,256,wormhole_b0,riscv_0,152576,1,2,16777216,752529.0,22.294444466591987
65536,256,wormhole_b0,riscv_0,153600,1,2,33554432,1504606.0,22.30114196008789
