Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,8,wormhole_b0,riscv_0,0,L1,unicast,row_to_row,True,False,False,8,0,455.0,0.5626373626373626
64,8,wormhole_b0,riscv_0,1024,L1,unicast,row_to_row,True,False,False,8,0,455.0,1.1252747252747253
128,8,wormhole_b0,riscv_0,2048,L1,unicast,row_to_row,True,False,False,8,0,456.0,2.245614035087719
256,8,wormhole_b0,riscv_0,3072,L1,unicast,row_to_row,True,False,False,8,0,556.0,3.6837511444109072
512,8,wormhole_b0,riscv_0,4096,L1,unicast,row_to_row,True,False,False,8,0,836.0,4.910763864987036
1024,8,wormhole_b0,riscv_0,5120,L1,unicast,row_to_row,True,False,False,8,0,1453.5,5.645832483800395
2048,8,wormhole_b0,riscv_0,6144,L1,unicast,row_to_row,True,False,False,8,0,2879.0,5.708717710390767
4096,8,wormhole_b0,riscv_0,7168,L1,unicast,row_to_row,True,False,False,8,0,5693.0,5.784828503242387
8192,8,wormhole_b0,riscv_0,8192,L1,unicast,row_to_row,True,False,False,8,0,10867.5,6.063108859500854
16384,8,wormhole_b0,riscv_0,9216,L1,unicast,row_to_row,True,False,False,8,0,21363.0,6.159017957897655
32768,8,wormhole_b0,riscv_0,10240,L1,unicast,row_to_row,True,False,False,8,0,42662.0,6.180031580607228
65536,8,wormhole_b0,riscv_0,11264,L1,unicast,row_to_row,True,False,False,8,0,85579.5,6.170238322556777
32,32,wormhole_b0,riscv_0,12288,L1,unicast,row_to_row,True,False,False,8,0,1029.5,0.9946578353949069
64,32,wormhole_b0,riscv_0,13312,L1,unicast,row_to_row,True,False,False,8,0,1037.5,1.9739800298029366
128,32,wormhole_b0,riscv_0,14336,L1,unicast,row_to_row,True,False,False,8,0,1259.5,3.2521092737441437
256,32,wormhole_b0,riscv_0,15360,L1,unicast,row_to_row,True,False,False,8,0,1833.5,4.479857981049824
512,32,wormhole_b0,riscv_0,16384,L1,unicast,row_to_row,True,False,False,8,0,3099.5,5.3095815692132105
1024,32,wormhole_b0,riscv_0,17408,L1,unicast,row_to_row,True,False,False,8,0,5686.5,5.8018012385422075
2048,32,wormhole_b0,riscv_0,18432,L1,unicast,row_to_row,True,False,False,8,0,10823.5,6.080955976152308
4096,32,wormhole_b0,riscv_0,19456,L1,unicast,row_to_row,True,False,False,8,0,21330.5,6.168241154482023
8192,32,wormhole_b0,riscv_0,20480,L1,unicast,row_to_row,True,False,False,8,0,42561.5,6.1988207894975265
16384,32,wormhole_b0,riscv_0,21504,L1,unicast,row_to_row,True,False,False,8,0,85902.5,6.1479884221647625
32768,32,wormhole_b0,riscv_0,22528,L1,unicast,row_to_row,True,False,False,8,0,169191.5,6.235122528478501
65536,32,wormhole_b0,riscv_0,23552,L1,unicast,row_to_row,True,False,False,8,0,334762.5,6.298374734462714
32,128,wormhole_b0,riscv_0,24576,L1,unicast,row_to_row,True,False,False,8,0,3225.0,1.2701014544688494
64,128,wormhole_b0,riscv_0,25600,L1,unicast,row_to_row,True,False,False,8,0,3394.5,2.4135947182340045
128,128,wormhole_b0,riscv_0,26624,L1,unicast,row_to_row,True,False,False,8,0,4484.5,3.6547401462253246
256,128,wormhole_b0,riscv_0,27648,L1,unicast,row_to_row,True,False,False,8,0,6718.0,4.896599046195458
512,128,wormhole_b0,riscv_0,28672,L1,unicast,row_to_row,True,False,False,8,0,11606.0,5.678202745236865
1024,128,wormhole_b0,riscv_0,29696,L1,unicast,row_to_row,True,False,False,8,0,21908.5,6.016310706565802
2048,128,wormhole_b0,riscv_0,30720,L1,unicast,row_to_row,True,False,False,8,0,42891.0,6.145306336307671
4096,128,wormhole_b0,riscv_0,31744,L1,unicast,row_to_row,True,False,False,8,0,86252.5,6.114070109637511
8192,128,wormhole_b0,riscv_0,32768,L1,unicast,row_to_row,True,False,False,8,0,170337.5,6.194856516054642
16384,128,wormhole_b0,riscv_0,33792,L1,unicast,row_to_row,True,False,False,8,0,336385.0,6.270718284757182
32768,128,wormhole_b0,riscv_0,34816,L1,unicast,row_to_row,True,False,False,8,0,670056.0,6.291737908588697
65536,128,wormhole_b0,riscv_0,35840,L1,unicast,row_to_row,True,False,False,8,0,1336967.5,6.307391744785805
32,512,wormhole_b0,riscv_0,36864,L1,unicast,row_to_row,True,False,False,8,0,13204.0,1.2408361743235663
64,512,wormhole_b0,riscv_0,37888,L1,unicast,row_to_row,True,False,False,8,0,12042.0,2.7214084278128077
128,512,wormhole_b0,riscv_0,38912,L1,unicast,row_to_row,True,False,False,8,0,17842.5,3.675454930893936
256,512,wormhole_b0,riscv_0,39936,L1,unicast,row_to_row,True,False,False,8,0,26133.0,5.038978269750427
512,512,wormhole_b0,riscv_0,40960,L1,unicast,row_to_row,True,False,False,8,0,45748.5,5.76003685164893
1024,512,wormhole_b0,riscv_0,41984,L1,unicast,row_to_row,True,False,False,8,0,86256.0,6.1068021139625515
2048,512,wormhole_b0,riscv_0,43008,L1,unicast,row_to_row,True,False,False,8,0,170206.5,6.191414146435751
4096,512,wormhole_b0,riscv_0,44032,L1,unicast,row_to_row,True,False,False,8,0,339868.5,6.200040773781735
8192,512,wormhole_b0,riscv_0,45056,L1,unicast,row_to_row,True,False,False,8,0,668341.5,6.308551168400795
16384,512,wormhole_b0,riscv_0,46080,L1,unicast,row_to_row,True,False,False,8,0,1334283.0,6.318906333577656
32768,512,wormhole_b0,riscv_0,47104,L1,unicast,row_to_row,True,False,False,8,0,2669678.5,6.316776629362787
65536,512,wormhole_b0,riscv_0,48128,L1,unicast,row_to_row,True,False,False,8,0,5346390.5,6.30839818851183
32,2048,wormhole_b0,riscv_0,49152,L1,unicast,row_to_row,True,False,False,8,0,47137.5,1.3903577036061148
64,2048,wormhole_b0,riscv_0,50176,L1,unicast,row_to_row,True,False,False,8,0,48642.0,2.6973755924914133
128,2048,wormhole_b0,riscv_0,51200,L1,unicast,row_to_row,True,False,False,8,0,69792.5,3.762659445062765
256,2048,wormhole_b0,riscv_0,52224,L1,unicast,row_to_row,True,False,False,8,0,103932.0,5.06815447808321
512,2048,wormhole_b0,riscv_0,53248,L1,unicast,row_to_row,True,False,False,8,0,182586.0,5.772099948792242
1024,2048,wormhole_b0,riscv_0,54272,L1,unicast,row_to_row,True,False,False,8,0,344408.5,6.11567231646697
2048,2048,wormhole_b0,riscv_0,55296,L1,unicast,row_to_row,True,False,False,8,0,678923.0,6.207714898090357
4096,2048,wormhole_b0,riscv_0,56320,L1,unicast,row_to_row,True,False,False,8,0,1354184.0,6.224656332925318
8192,2048,wormhole_b0,riscv_0,57344,L1,unicast,row_to_row,True,False,False,8,0,2673397.0,6.307593474351913
16384,2048,wormhole_b0,riscv_0,58368,L1,unicast,row_to_row,True,False,False,8,0,5346732.5,6.308000196940936
32768,2048,wormhole_b0,riscv_0,59392,L1,unicast,row_to_row,True,False,False,8,0,10709820.5,6.299577205222445
65536,2048,wormhole_b0,riscv_0,60416,L1,unicast,row_to_row,True,False,False,8,0,21371038.0,6.312494692073714
32,1,wormhole_b0,riscv_0,61440,L1,multicast,row_to_row,True,False,True,8,0,959.0,0.033651447413582294
64,1,wormhole_b0,riscv_0,62464,L1,multicast,row_to_row,True,False,True,8,0,923.0,0.07078687365564018
128,1,wormhole_b0,riscv_0,63488,L1,multicast,row_to_row,True,False,True,8,0,810.5,0.16075518242700906
256,1,wormhole_b0,riscv_0,64512,L1,multicast,row_to_row,True,False,True,8,0,952.0,0.2716701148605265
512,1,wormhole_b0,riscv_0,65536,L1,multicast,row_to_row,True,False,True,8,0,1048.0,0.4967932901204449
1024,1,wormhole_b0,riscv_0,66560,L1,multicast,row_to_row,True,False,True,8,0,1015.0,1.0165078862101105
2048,1,wormhole_b0,riscv_0,67584,L1,multicast,row_to_row,True,False,True,8,0,1141.5,1.8355634770455636
4096,1,wormhole_b0,riscv_0,68608,L1,multicast,row_to_row,True,False,True,8,0,1570.5,2.636663445009259
8192,1,wormhole_b0,riscv_0,69632,L1,multicast,row_to_row,True,False,True,8,0,2599.0,3.234449249047789
16384,1,wormhole_b0,riscv_0,70656,L1,multicast,row_to_row,True,False,True,8,0,5393.0,3.0619661419167397
32768,1,wormhole_b0,riscv_0,71680,L1,multicast,row_to_row,True,False,True,8,0,9462.0,3.572136029761846
65536,1,wormhole_b0,riscv_0,72704,L1,multicast,row_to_row,True,False,True,8,0,21083.0,3.444502283176237
32,4,wormhole_b0,riscv_0,73728,L1,multicast,row_to_row,True,False,True,8,0,3187.0,0.0406145992766082
64,4,wormhole_b0,riscv_0,74752,L1,multicast,row_to_row,True,False,True,8,0,3057.0,0.08486744612635141
128,4,wormhole_b0,riscv_0,75776,L1,multicast,row_to_row,True,False,True,8,0,3964.5,0.1317420114582652
256,4,wormhole_b0,riscv_0,76800,L1,multicast,row_to_row,True,False,True,8,0,3490.0,0.30213254465863704
512,4,wormhole_b0,riscv_0,77824,L1,multicast,row_to_row,True,False,True,8,0,3477.0,0.5939504747669538
1024,4,wormhole_b0,riscv_0,78848,L1,multicast,row_to_row,True,False,True,8,0,5466.0,0.7515487595539609
2048,4,wormhole_b0,riscv_0,79872,L1,multicast,row_to_row,True,False,True,8,0,4713.0,1.754306705291901
4096,4,wormhole_b0,riscv_0,80896,L1,multicast,row_to_row,True,False,True,8,0,6580.0,2.5198056532873796
8192,4,wormhole_b0,riscv_0,81920,L1,multicast,row_to_row,True,False,True,8,0,9577.5,3.563289033576213
16384,4,wormhole_b0,riscv_0,82944,L1,multicast,row_to_row,True,False,True,8,0,18845.5,3.598308664355736
32768,4,wormhole_b0,riscv_0,83968,L1,multicast,row_to_row,True,False,True,8,0,32187.0,4.118702927111658
65536,4,wormhole_b0,riscv_0,84992,L1,multicast,row_to_row,True,False,True,8,0,65222.0,4.118329202296338
32,16,wormhole_b0,riscv_0,86016,L1,multicast,row_to_row,True,False,True,8,0,12108.5,0.043005044523287794
64,16,wormhole_b0,riscv_0,87040,L1,multicast,row_to_row,True,False,True,8,0,12274.5,0.08428446118304943
128,16,wormhole_b0,riscv_0,88064,L1,multicast,row_to_row,True,False,True,8,0,13192.0,0.16016511867905056
256,16,wormhole_b0,riscv_0,89088,L1,multicast,row_to_row,True,False,True,8,0,11984.0,0.34668402401099296
512,16,wormhole_b0,riscv_0,90112,L1,multicast,row_to_row,True,False,True,8,0,16024.5,0.5245257045944869
1024,16,wormhole_b0,riscv_0,91136,L1,multicast,row_to_row,True,False,True,8,0,17624.5,0.9396740324715844
2048,16,wormhole_b0,riscv_0,92160,L1,multicast,row_to_row,True,False,True,8,0,20242.0,1.6608397817118856
4096,16,wormhole_b0,riscv_0,93184,L1,multicast,row_to_row,True,False,True,8,0,24953.0,2.647867935539146
8192,16,wormhole_b0,riscv_0,94208,L1,multicast,row_to_row,True,False,True,8,0,41497.5,3.181633122997569
16384,16,wormhole_b0,riscv_0,95232,L1,multicast,row_to_row,True,False,True,8,0,67582.5,4.0050063461876375
32768,16,wormhole_b0,riscv_0,96256,L1,multicast,row_to_row,True,False,True,8,0,131553.5,4.099076579608004
65536,16,wormhole_b0,riscv_0,97280,L1,multicast,row_to_row,True,False,True,8,0,251566.5,4.218258511617976
32,64,wormhole_b0,riscv_0,98304,L1,multicast,row_to_row,True,False,True,8,0,57769.0,0.037241222420372054
64,64,wormhole_b0,riscv_0,99328,L1,multicast,row_to_row,True,False,True,8,0,52317.0,0.07921915954198219
128,64,wormhole_b0,riscv_0,100352,L1,multicast,row_to_row,True,False,True,8,0,47850.5,0.17437559840739658
256,64,wormhole_b0,riscv_0,101376,L1,multicast,row_to_row,True,False,True,8,0,50725.5,0.32643904600963647
512,64,wormhole_b0,riscv_0,102400,L1,multicast,row_to_row,True,False,True,8,0,48688.5,0.6812961613259667
1024,64,wormhole_b0,riscv_0,103424,L1,multicast,row_to_row,True,False,True,8,0,53501.0,1.2429303249887602
2048,64,wormhole_b0,riscv_0,104448,L1,multicast,row_to_row,True,False,True,8,0,64537.5,2.062288319769223
4096,64,wormhole_b0,riscv_0,105472,L1,multicast,row_to_row,True,False,True,8,0,112528.0,2.349379933065959
8192,64,wormhole_b0,riscv_0,106496,L1,multicast,row_to_row,True,False,True,8,0,127556.5,4.189526196816618
16384,64,wormhole_b0,riscv_0,107520,L1,multicast,row_to_row,True,False,True,8,0,251759.0,4.261806781635325
32768,64,wormhole_b0,riscv_0,108544,L1,multicast,row_to_row,True,False,True,8,0,521551.5,4.022732987208577
65536,64,wormhole_b0,riscv_0,109568,L1,multicast,row_to_row,True,False,True,8,0,1165012.0,3.6593634524905374
32,256,wormhole_b0,riscv_0,110592,L1,multicast,row_to_row,True,False,True,8,0,204292.0,0.040392349162355914
64,256,wormhole_b0,riscv_0,111616,L1,multicast,row_to_row,True,False,True,8,0,185332.5,0.08939284524594615
128,256,wormhole_b0,riscv_0,112640,L1,multicast,row_to_row,True,False,True,8,0,181924.0,0.1819070989830105
256,256,wormhole_b0,riscv_0,113664,L1,multicast,row_to_row,True,False,True,8,0,194413.5,0.33881010121605315
512,256,wormhole_b0,riscv_0,114688,L1,multicast,row_to_row,True,False,True,8,0,222648.5,0.5947924721165161
