Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,256,wormhole_b0,riscv_1,62464,1,0,6322.0,1.2957924707371085
32,256,wormhole_b0,riscv_1,63488,2,0,6322.0,1.2957924707371085
32,256,wormhole_b0,riscv_1,64512,3,0,6322.0,1.2957924707371085
32,256,wormhole_b0,riscv_1,65536,4,0,6322.0,1.2957924707371085
64,256,wormhole_b0,riscv_1,66560,1,0,6322.0,2.591584941474217
64,256,wormhole_b0,riscv_1,67584,2,0,6322.0,2.591584941474217
64,256,wormhole_b0,riscv_1,68608,3,0,6322.0,2.591584941474217
64,256,wormhole_b0,riscv_1,69632,4,0,6322.0,2.591584941474217
128,256,wormhole_b0,riscv_1,70656,1,0,6322.0,5.183169882948434
128,256,wormhole_b0,riscv_1,71680,2,0,6322.0,5.183169882948434
128,256,wormhole_b0,riscv_1,72704,3,0,6331.0,5.175801611119886
128,256,wormhole_b0,riscv_1,73728,4,0,6322.0,5.183169882948434
256,256,wormhole_b0,riscv_1,74752,1,0,6330.0,10.353238546603475
256,256,wormhole_b0,riscv_1,75776,2,0,6330.0,10.353238546603475
256,256,wormhole_b0,riscv_1,76800,3,0,6330.0,10.353238546603475
256,256,wormhole_b0,riscv_1,77824,4,0,6330.0,10.353238546603475
512,256,wormhole_b0,riscv_1,78848,1,0,6338.0,20.680340801514674
512,256,wormhole_b0,riscv_1,79872,2,0,6338.0,20.680340801514674
512,256,wormhole_b0,riscv_1,80896,3,0,6338.0,20.680340801514674
512,256,wormhole_b0,riscv_1,81920,4,0,6338.0,20.680340801514674
1024,256,wormhole_b0,riscv_1,82944,1,0,9034.0,29.01748948417091
1024,256,wormhole_b0,riscv_1,83968,2,0,9010.0,29.094783573806883
1024,256,wormhole_b0,riscv_1,84992,3,0,9010.0,29.094783573806883
1024,256,wormhole_b0,riscv_1,86016,4,0,9042.0,28.99181596991816
2048,256,wormhole_b0,riscv_1,87040,1,0,17499.0,29.961026344362534
2048,256,wormhole_b0,riscv_1,88064,2,0,17419.0,30.09862793501349
2048,256,wormhole_b0,riscv_1,89088,3,0,17475.0,30.00217453505007
