Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,0,8x8,64,2048,1649.0,1.2419648271679806
64,1,wormhole_b0,riscv_1,1024,8x8,64,4096,1472.0,2.782608695652174
128,1,wormhole_b0,riscv_1,2048,8x8,64,8192,1501.0,5.457694870086609
256,1,wormhole_b0,riscv_1,3072,8x8,64,16384,1753.0,9.34626354820308
512,1,wormhole_b0,riscv_1,4096,8x8,64,32768,1624.0,20.177339901477833
1024,1,wormhole_b0,riscv_1,5120,8x8,64,65536,1552.0,42.22680412371134
2048,1,wormhole_b0,riscv_1,6144,8x8,64,131072,2112.0,62.06060606060606
4096,1,wormhole_b0,riscv_1,7168,8x8,64,262144,3350.0,78.25194029850746
8192,1,wormhole_b0,riscv_1,8192,8x8,64,524288,6289.0,83.36587692796947
32,4,wormhole_b0,riscv_1,9216,8x8,64,8192,2747.0,2.982162358937022
64,4,wormhole_b0,riscv_1,10240,8x8,64,16384,2733.0,5.9948774240761065
128,4,wormhole_b0,riscv_1,11264,8x8,64,32768,2980.0,10.995973154362416
256,4,wormhole_b0,riscv_1,12288,8x8,64,65536,3173.0,20.65427040655531
512,4,wormhole_b0,riscv_1,13312,8x8,64,131072,3630.0,36.10798898071625
1024,4,wormhole_b0,riscv_1,14336,8x8,64,262144,5048.0,51.93026941362916
2048,4,wormhole_b0,riscv_1,15360,8x8,64,524288,8796.0,59.60527512505684
4096,4,wormhole_b0,riscv_1,16384,8x8,64,1048576,19216.0,54.56786011656953
8192,4,wormhole_b0,riscv_1,17408,8x8,64,2097152,42625.0,49.200046920821116
32,16,wormhole_b0,riscv_1,18432,8x8,64,32768,8060.0,4.065508684863524
64,16,wormhole_b0,riscv_1,19456,8x8,64,65536,7935.0,8.259105229993699
128,16,wormhole_b0,riscv_1,20480,8x8,64,131072,8489.0,15.440216751089645
256,16,wormhole_b0,riscv_1,21504,8x8,64,262144,8393.0,31.233647086858095
512,16,wormhole_b0,riscv_1,22528,8x8,64,524288,9527.0,55.031804345544245
1024,16,wormhole_b0,riscv_1,23552,8x8,64,1048576,12667.0,82.7801373648062
2048,16,wormhole_b0,riscv_1,24576,8x8,64,2097152,24812.0,84.52168305658552
4096,16,wormhole_b0,riscv_1,25600,8x8,64,4194304,56124.0,74.73280592972704
8192,16,wormhole_b0,riscv_1,26624,8x8,64,8388608,110654.0,75.80935167278183
32,64,wormhole_b0,riscv_1,27648,8x8,64,131072,28019.0,4.677968521360506
64,64,wormhole_b0,riscv_1,28672,8x8,64,262144,28341.0,9.249638333156911
128,64,wormhole_b0,riscv_1,29696,8x8,64,524288,28460.0,18.421925509487
256,64,wormhole_b0,riscv_1,30720,8x8,64,1048576,29656.0,35.35797140544915
512,64,wormhole_b0,riscv_1,31744,8x8,64,2097152,33032.0,63.48849600387503
1024,64,wormhole_b0,riscv_1,32768,8x8,64,4194304,43872.0,95.60320933625091
2048,64,wormhole_b0,riscv_1,33792,8x8,64,8388608,85328.0,98.310144384024
4096,64,wormhole_b0,riscv_1,34816,8x8,64,16777216,190194.0,88.21106869827649
8192,64,wormhole_b0,riscv_1,35840,8x8,64,33554432,408959.0,82.04840093994753
32,256,wormhole_b0,riscv_1,36864,8x8,64,524288,108300.0,4.841071098799631
64,256,wormhole_b0,riscv_1,37888,8x8,64,1048576,108574.0,9.657708106913256
128,256,wormhole_b0,riscv_1,38912,8x8,64,2097152,110604.0,18.960905573035333
256,256,wormhole_b0,riscv_1,39936,8x8,64,4194304,116838.0,35.898457693558605
512,256,wormhole_b0,riscv_1,40960,8x8,64,8388608,126370.0,66.38132468149087
1024,256,wormhole_b0,riscv_1,41984,8x8,64,16777216,171175.0,98.01206951949759
2048,256,wormhole_b0,riscv_1,43008,8x8,64,33554432,333145.0,100.72020291464678
4096,256,wormhole_b0,riscv_1,44032,8x8,64,67108864,720925.0,93.08716440683844
8192,256,wormhole_b0,riscv_1,45056,8x8,64,134217728,1599301.0,83.9227437486752
32,1,wormhole_b0,riscv_0,0,8x8,64,2048,1262.0,1.6228209191759113
64,1,wormhole_b0,riscv_0,1024,8x8,64,4096,1319.0,3.10538286580743
128,1,wormhole_b0,riscv_0,2048,8x8,64,8192,1332.0,6.15015015015015
256,1,wormhole_b0,riscv_0,3072,8x8,64,16384,1510.0,10.850331125827815
512,1,wormhole_b0,riscv_0,4096,8x8,64,32768,1391.0,23.557153127246586
1024,1,wormhole_b0,riscv_0,5120,8x8,64,65536,1332.0,49.2012012012012
2048,1,wormhole_b0,riscv_0,6144,8x8,64,131072,1805.0,72.61606648199447
4096,1,wormhole_b0,riscv_0,7168,8x8,64,262144,2367.0,110.74947190536544
8192,1,wormhole_b0,riscv_0,8192,8x8,64,524288,5309.0,98.75456771520061
32,4,wormhole_b0,riscv_0,9216,8x8,64,8192,2578.0,3.177657098525989
64,4,wormhole_b0,riscv_0,10240,8x8,64,16384,2560.0,6.4
128,4,wormhole_b0,riscv_0,11264,8x8,64,32768,2817.0,11.632232871849485
256,4,wormhole_b0,riscv_0,12288,8x8,64,65536,2969.0,22.073425395756146
512,4,wormhole_b0,riscv_0,13312,8x8,64,131072,3435.0,38.15778748180495
1024,4,wormhole_b0,riscv_0,14336,8x8,64,262144,4637.0,56.53310329954712
2048,4,wormhole_b0,riscv_0,15360,8x8,64,524288,8567.0,61.19855258550251
4096,4,wormhole_b0,riscv_0,16384,8x8,64,1048576,18977.0,55.25509827686147
8192,4,wormhole_b0,riscv_0,17408,8x8,64,2097152,42009.0,49.92149301340189
32,16,wormhole_b0,riscv_0,18432,8x8,64,32768,7919.0,4.137896199015027
64,16,wormhole_b0,riscv_0,19456,8x8,64,65536,7842.0,8.357051772507013
128,16,wormhole_b0,riscv_0,20480,8x8,64,131072,8285.0,15.820398310199154
256,16,wormhole_b0,riscv_0,21504,8x8,64,262144,7978.0,32.85836049135121
512,16,wormhole_b0,riscv_0,22528,8x8,64,524288,9028.0,58.07354895879486
1024,16,wormhole_b0,riscv_0,23552,8x8,64,1048576,12597.0,83.24013654044614
2048,16,wormhole_b0,riscv_0,24576,8x8,64,2097152,24477.0,85.6784736691588
4096,16,wormhole_b0,riscv_0,25600,8x8,64,4194304,50001.0,83.88440231195376
8192,16,wormhole_b0,riscv_0,26624,8x8,64,8388608,85591.0,98.00806159526118
32,64,wormhole_b0,riscv_0,27648,8x8,64,131072,27692.0,4.733208146757186
64,64,wormhole_b0,riscv_0,28672,8x8,64,262144,27656.0,9.478738790859126
128,64,wormhole_b0,riscv_0,29696,8x8,64,524288,28152.0,18.62347257743677
256,64,wormhole_b0,riscv_0,30720,8x8,64,1048576,28745.0,36.47855279178987
512,64,wormhole_b0,riscv_0,31744,8x8,64,2097152,31812.0,65.92329938388029
1024,64,wormhole_b0,riscv_0,32768,8x8,64,4194304,43583.0,96.23715668953491
2048,64,wormhole_b0,riscv_0,33792,8x8,64,8388608,84836.0,98.88028667075298
4096,64,wormhole_b0,riscv_0,34816,8x8,64,16777216,180773.0,92.80819591421286
8192,64,wormhole_b0,riscv_0,35840,8x8,64,33554432,398639.0,84.1724768524906
32,256,wormhole_b0,riscv_0,36864,8x8,64,524288,108094.0,4.85029696375377
64,256,wormhole_b0,riscv_0,37888,8x8,64,1048576,108113.0,9.698889125267081
128,256,wormhole_b0,riscv_0,38912,8x8,64,2097152,110294.0,19.014198415144975
256,256,wormhole_b0,riscv_0,39936,8x8,64,4194304,113029.0,37.108211167045624
512,256,wormhole_b0,riscv_0,40960,8x8,64,8388608,123631.0,67.85197887261286
1024,256,wormhole_b0,riscv_0,41984,8x8,64,16777216,170426.0,98.44281975754873
2048,256,wormhole_b0,riscv_0,43008,8x8,64,33554432,327119.0,102.57561315606858
4096,256,wormhole_b0,riscv_0,44032,8x8,64,67108864,711823.0,94.27745942460415
8192,256,wormhole_b0,riscv_0,45056,8x8,64,134217728,1591826.0,84.31683362377547
