Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,2,wormhole_b0,riscv_0,0,376.0,0.1702127659574468
64,2,wormhole_b0,riscv_0,1024,380.0,0.3368421052631579
128,2,wormhole_b0,riscv_0,2048,379.0,0.6754617414248021
256,2,wormhole_b0,riscv_0,3072,397.0,1.2896725440806045
512,2,wormhole_b0,riscv_0,4096,420.0,2.4380952380952383
1024,2,wormhole_b0,riscv_0,5120,445.0,4.602247191011236
2048,2,wormhole_b0,riscv_0,6144,516.0,7.937984496124031
4096,2,wormhole_b0,riscv_0,7168,667.0,12.281859070464767
8192,2,wormhole_b0,riscv_0,8192,964.0,16.99585062240664
32,4,wormhole_b0,riscv_0,9216,413.0,0.3099273607748184
64,4,wormhole_b0,riscv_0,10240,412.0,0.6213592233009708
128,4,wormhole_b0,riscv_0,11264,420.0,1.2190476190476192
256,4,wormhole_b0,riscv_0,12288,428.0,2.392523364485981
512,4,wormhole_b0,riscv_0,13312,435.0,4.708045977011494
1024,4,wormhole_b0,riscv_0,14336,492.0,8.325203252032521
2048,4,wormhole_b0,riscv_0,15360,596.0,13.74496644295302
4096,4,wormhole_b0,riscv_0,16384,822.0,19.931873479318735
8192,4,wormhole_b0,riscv_0,17408,1218.0,26.90311986863711
32,8,wormhole_b0,riscv_0,18432,495.0,0.5171717171717172
64,8,wormhole_b0,riscv_0,19456,495.0,1.0343434343434343
128,8,wormhole_b0,riscv_0,20480,495.0,2.0686868686868687
256,8,wormhole_b0,riscv_0,21504,502.0,4.079681274900398
512,8,wormhole_b0,riscv_0,22528,542.0,7.557195571955719
1024,8,wormhole_b0,riscv_0,23552,580.0,14.124137931034483
2048,8,wormhole_b0,riscv_0,24576,756.0,21.67195767195767
4096,8,wormhole_b0,riscv_0,25600,1109.0,29.547339945897203
8192,8,wormhole_b0,riscv_0,26624,1764.0,37.151927437641724
32,16,wormhole_b0,riscv_0,27648,753.0,0.6799468791500664
64,16,wormhole_b0,riscv_0,28672,756.0,1.3544973544973544
128,16,wormhole_b0,riscv_0,29696,756.0,2.708994708994709
256,16,wormhole_b0,riscv_0,30720,788.0,5.197969543147208
512,16,wormhole_b0,riscv_0,31744,802.0,10.214463840399002
1024,16,wormhole_b0,riscv_0,32768,815.0,20.103067484662578
2048,16,wormhole_b0,riscv_0,33792,1087.0,30.145354185832566
4096,16,wormhole_b0,riscv_0,34816,1642.0,39.91230207064555
8192,16,wormhole_b0,riscv_0,35840,2812.0,46.611664295874824
32,30,wormhole_b0,riscv_0,36864,1214.0,0.7907742998352554
64,30,wormhole_b0,riscv_0,37888,1215.0,1.5802469135802468
128,30,wormhole_b0,riscv_0,38912,1267.0,3.0307813733228097
256,30,wormhole_b0,riscv_0,39936,1265.0,6.071146245059288
512,30,wormhole_b0,riscv_0,40960,1222.0,12.569558101472994
1024,30,wormhole_b0,riscv_0,41984,1298.0,23.667180277349768
2048,30,wormhole_b0,riscv_0,43008,1810.0,33.94475138121547
4096,30,wormhole_b0,riscv_0,44032,2791.0,44.027230383375134
8192,30,wormhole_b0,riscv_0,45056,4747.0,51.77164524963135
