Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,276480,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,2048,1172.0,1.7474402730375427
64,1,wormhole_b0,riscv_1,277504,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,4096,1241.0,3.3005640612409346
128,1,wormhole_b0,riscv_1,278528,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,8192,1177.0,6.960067969413764
256,1,wormhole_b0,riscv_1,279552,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,16384,1123.0,14.589492430988424
512,1,wormhole_b0,riscv_1,280576,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,32768,1241.0,26.404512489927477
1024,1,wormhole_b0,riscv_1,281600,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,65536,1268.0,51.68454258675079
2048,1,wormhole_b0,riscv_1,282624,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,131072,1615.0,81.15913312693499
4096,1,wormhole_b0,riscv_1,283648,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,262144,1976.0,132.66396761133603
8192,1,wormhole_b0,riscv_1,284672,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,524288,3472.0,151.00460829493088
32,4,wormhole_b0,riscv_1,285696,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,8192,1265.0,6.475889328063241
64,4,wormhole_b0,riscv_1,286720,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,16384,1315.0,12.459315589353611
128,4,wormhole_b0,riscv_1,287744,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,32768,1323.0,24.767951625094483
256,4,wormhole_b0,riscv_1,288768,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,65536,1295.0,50.60694980694981
512,4,wormhole_b0,riscv_1,289792,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,131072,1365.0,96.02344322344322
1024,4,wormhole_b0,riscv_1,290816,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,262144,1777.0,147.5205402363534
2048,4,wormhole_b0,riscv_1,291840,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,524288,3178.0,164.97419760855885
4096,4,wormhole_b0,riscv_1,292864,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,1048576,6847.0,153.14385862421497
8192,4,wormhole_b0,riscv_1,293888,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,2097152,12240.0,171.3359477124183
32,16,wormhole_b0,riscv_1,294912,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,32768,1628.0,20.127764127764127
64,16,wormhole_b0,riscv_1,295936,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,65536,1637.0,40.03420891875382
128,16,wormhole_b0,riscv_1,296960,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,131072,1630.0,80.41226993865031
256,16,wormhole_b0,riscv_1,297984,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,262144,1873.0,139.95942338494393
512,16,wormhole_b0,riscv_1,299008,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,524288,3116.0,168.25673940949935
1024,16,wormhole_b0,riscv_1,300032,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,1048576,5613.0,186.81204347051488
2048,16,wormhole_b0,riscv_1,301056,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,2097152,10604.0,197.7698981516409
4096,16,wormhole_b0,riscv_1,302080,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,4194304,23346.0,179.65835689197294
8192,16,wormhole_b0,riscv_1,303104,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,8388608,47650.0,176.04633788037776
32,64,wormhole_b0,riscv_1,304128,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,131072,3352.0,39.10262529832936
64,64,wormhole_b0,riscv_1,305152,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,262144,3253.0,80.58530587150322
128,64,wormhole_b0,riscv_1,306176,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,524288,3682.0,142.39217816404127
256,64,wormhole_b0,riscv_1,307200,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,1048576,5669.0,184.96666078673488
512,64,wormhole_b0,riscv_1,308224,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,2097152,10333.0,202.95674054001742
1024,64,wormhole_b0,riscv_1,309248,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,4194304,21239.0,197.48123734639108
2048,64,wormhole_b0,riscv_1,310272,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,8388608,45058.0,186.1735540858449
4096,64,wormhole_b0,riscv_1,311296,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,16777216,90535.0,185.31193461092394
8192,64,wormhole_b0,riscv_1,312320,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,33554432,192870.0,173.97434541400943
32,256,wormhole_b0,riscv_1,313344,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,524288,14003.0,37.441119760051414
64,256,wormhole_b0,riscv_1,314368,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,1048576,14513.0,72.25080961896231
128,256,wormhole_b0,riscv_1,315392,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,2097152,14848.0,141.24137931034483
256,256,wormhole_b0,riscv_1,316416,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,4194304,22101.0,189.77892403058686
512,256,wormhole_b0,riscv_1,317440,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,8388608,42015.0,199.65745567059383
1024,256,wormhole_b0,riscv_1,318464,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,16777216,94096.0,178.29892875361332
2048,256,wormhole_b0,riscv_1,319488,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,33554432,208939.0,160.59439357898717
4096,256,wormhole_b0,riscv_1,320512,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,67108864,440639.0,152.2989658200931
8192,256,wormhole_b0,riscv_1,321536,DRAM Interleaved,unicast,all_from_all,False,False,False,0,0,64,134217728,928792.0,144.50784244481002
32,1,wormhole_b0,riscv_1,322560,DRAM Interleaved,unicast,all_from_all,False,False,False,0,1,64,2048,1229.0,1.6663954434499593
