Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
65536,1,wormhole_b0,riscv_0,32768,2,6,393216,9459.0,41.57056771328893
65536,1,wormhole_b0,riscv_0,33792,3,9,589824,9561.0,61.69061813617822
65536,1,wormhole_b0,riscv_0,34816,4,12,786432,9349.0,84.11937105572788
65536,1,wormhole_b0,riscv_0,35840,5,15,983040,10289.0,95.5428127126057
65536,1,wormhole_b0,riscv_0,36864,6,18,1179648,10263.0,114.94182987430575
65536,1,wormhole_b0,riscv_0,37888,7,20,1310720,10670.0,122.84161199625117
65536,1,wormhole_b0,riscv_0,38912,8,23,1507328,10740.0,140.34711359404096
65536,1,wormhole_b0,riscv_0,39936,9,26,1703936,10679.0,159.55950931735183
65536,1,wormhole_b0,riscv_0,40960,10,29,1900544,10521.0,180.64290466685677
65536,1,wormhole_b0,riscv_0,41984,11,32,2097152,10715.0,195.7211385907606
65536,1,wormhole_b0,riscv_0,43008,12,35,2293760,10554.0,217.3356073526625
65536,4,wormhole_b0,riscv_0,45056,2,6,1572864,35804.0,43.92984024131382
65536,4,wormhole_b0,riscv_0,46080,3,9,2359296,36133.0,65.29477209199347
65536,4,wormhole_b0,riscv_0,47104,4,12,3145728,36018.0,87.3376645010828
65536,4,wormhole_b0,riscv_0,48128,5,15,3932160,46552.0,84.4681216703901
65536,4,wormhole_b0,riscv_0,49152,6,18,4718592,47337.0,99.68084162494455
65536,4,wormhole_b0,riscv_0,50176,7,20,5242880,46376.0,113.05157840262204
65536,4,wormhole_b0,riscv_0,51200,8,23,6029312,46190.0,130.5328426066248
65536,4,wormhole_b0,riscv_0,52224,9,26,6815744,46224.0,147.4503288335064
65536,4,wormhole_b0,riscv_0,53248,10,29,7602176,46721.0,162.71432546392415
65536,4,wormhole_b0,riscv_0,54272,11,32,8388608,47762.0,175.6335161844144
65536,4,wormhole_b0,riscv_0,55296,12,35,9175040,46518.0,197.23633862160884
65536,16,wormhole_b0,riscv_0,57344,2,6,6291456,141795.0,44.37008357135301
65536,16,wormhole_b0,riscv_0,58368,3,9,9437184,141637.0,66.62936944442484
65536,16,wormhole_b0,riscv_0,59392,4,12,12582912,141811.0,88.7301549245122
65536,16,wormhole_b0,riscv_0,60416,5,15,15728640,200264.0,78.53952782327327
65536,16,wormhole_b0,riscv_0,61440,6,18,18874368,200427.0,94.17078537322816
65536,16,wormhole_b0,riscv_0,62464,7,20,20971520,200883.0,104.39668861974383
65536,16,wormhole_b0,riscv_0,63488,8,23,24117248,201023.0,119.97258025201097
65536,16,wormhole_b0,riscv_0,64512,9,26,27262976,201833.0,135.0769002095792
65536,16,wormhole_b0,riscv_0,65536,10,29,30408704,201337.0,151.03385865489204
65536,16,wormhole_b0,riscv_0,66560,11,32,33554432,201568.0,166.4670582632164
65536,16,wormhole_b0,riscv_0,67584,12,35,36700160,200975.0,182.61057345440975
65536,64,wormhole_b0,riscv_0,69632,2,6,25165824,566086.0,44.45583179940857
65536,64,wormhole_b0,riscv_0,70656,3,9,37748736,566140.0,66.67738721870916
65536,64,wormhole_b0,riscv_0,71680,4,12,50331648,564699.0,89.13004627243895
65536,64,wormhole_b0,riscv_0,72704,5,15,62914560,822214.0,76.51847329284104
65536,64,wormhole_b0,riscv_0,73728,6,18,75497472,822060.0,91.83936938909568
65536,64,wormhole_b0,riscv_0,74752,7,20,83886080,822466.0,101.99337115455229
65536,64,wormhole_b0,riscv_0,75776,8,23,96468992,821785.0,117.38957513218178
65536,64,wormhole_b0,riscv_0,76800,9,26,109051904,822335.0,132.61250463618842
65536,64,wormhole_b0,riscv_0,77824,10,29,121634816,822574.0,147.87097087921572
65536,64,wormhole_b0,riscv_0,78848,11,32,134217728,822542.0,163.1743157188326
65536,64,wormhole_b0,riscv_0,79872,12,35,146800640,821581.0,178.68066569212286
65536,256,wormhole_b0,riscv_0,81920,2,6,100663296,2259061.0,44.55979541942426
65536,256,wormhole_b0,riscv_0,82944,3,9,150994944,2260963.0,66.78346527563697
65536,256,wormhole_b0,riscv_0,83968,4,12,201326592,2259178.0,89.1149754468218
65536,256,wormhole_b0,riscv_0,84992,5,15,251658240,3306532.0,76.10942219824275
65536,256,wormhole_b0,riscv_0,86016,6,18,301989888,3311603.0,91.19145259863576
65536,256,wormhole_b0,riscv_0,87040,7,20,335544320,3310007.0,101.37269196107441
65536,256,wormhole_b0,riscv_0,88064,8,23,385875968,3311657.0,116.52051163511197
65536,256,wormhole_b0,riscv_0,89088,9,26,436207616,3308196.0,131.85664210947598
65536,256,wormhole_b0,riscv_0,90112,10,29,486539264,3308927.0,147.03837951094116
65536,256,wormhole_b0,riscv_0,91136,11,32,536870912,3309162.0,162.23772423350684
65536,256,wormhole_b0,riscv_0,92160,12,35,587202560,3312465.0,177.27057040602693
65536,1,wormhole_b0,riscv_0,31744,1,3,196608,9308.0,21.122475290073055
65536,4,wormhole_b0,riscv_0,44032,1,3,786432,35540.0,22.12808103545301
65536,16,wormhole_b0,riscv_0,56320,1,3,3145728,141458.0,22.23789393318158
65536,64,wormhole_b0,riscv_0,68608,1,3,12582912,564511.0,22.289932348528197
65536,256,wormhole_b0,riscv_0,80896,1,3,50331648,2259612.0,22.2744648196239
