Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
32,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,0,2x2,2x2,454.0,0.28243299069281425
64,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,1024,2x2,2x2,444.5,0.5771556096571313
128,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,2048,2x2,2x2,448.0,1.145373833409067
256,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,3072,2x2,2x2,461.5,2.223238396326719
512,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,4096,2x2,2x2,464.0,4.417260501936066
1024,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,5120,2x2,2x2,501.0,8.17594186268885
2048,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,6144,2x2,2x2,639.5,12.820737216666911
4096,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,7168,2x2,2x2,1036.0,16.001689367543026
8192,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,8192,2x2,2x2,1943.5,16.93666602662332
16384,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,9216,2x2,2x2,4289.5,15.33566877007266
32768,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,10240,2x2,2x2,9255.5,14.373314536944537
65536,4,wormhole_b0,unicast,l1,all_to_all,riscv_0,11264,2x2,2x2,17704.5,14.969105820489105
32,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,12288,2x2,2x2,2296.0,0.8920104289655717
64,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,13312,2x2,2x2,2293.5,1.7859616236471032
128,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,14336,2x2,2x2,2298.0,3.564936201156674
256,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,15360,2x2,2x2,2350.5,6.97490124626221
512,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,16384,2x2,2x2,3289.5,9.963215615736637
1024,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,17408,2x2,2x2,4150.0,15.923213845881918
2048,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,18432,2x2,2x2,8322.5,16.173091518312187
4096,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,19456,2x2,2x2,22050.5,11.986512827891808
8192,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,20480,2x2,2x2,36020.5,14.83307039177484
16384,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,21504,2x2,2x2,71562.5,14.932250234068807
32768,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,22528,2x2,2x2,165928.0,12.693402797170434
65536,64,wormhole_b0,unicast,l1,all_to_all,riscv_0,23552,2x2,2x2,286677.5,14.908302727945324
32,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,24576,2x2,2x2,32061.5,1.0220358647265857
64,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,25600,2x2,2x2,32050.0,2.0448053286203063
128,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,26624,2x2,2x2,32053.5,4.089163956246301
256,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,27648,2x2,2x2,37690.5,6.963136355302413
512,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,28672,2x2,2x2,47939.5,10.942301653240026
1024,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,29696,2x2,2x2,70393.5,15.80694637077713
2048,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,30720,2x2,2x2,142170.0,15.091352470447376
4096,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,31744,2x2,2x2,317924.0,13.347314595431058
8192,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,32768,2x2,2x2,575106.0,14.864575348417883
16384,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,33792,2x2,2x2,1148576.5,14.878722854153757
32768,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,34816,2x2,2x2,2301482.0,14.857082006251181
65536,1024,wormhole_b0,unicast,l1,all_to_all,riscv_0,35840,2x2,2x2,4599476.0,14.866936651254692
32,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,36864,4x4,4x4,1083.5,0.4725435914035282
64,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,37888,4x4,4x4,1084.0,0.9446526621800567
128,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,38912,4x4,4x4,1092.5,1.8745999349841984
256,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,39936,4x4,4x4,1193.5,3.4319283367498805
512,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,40960,4x4,4x4,1391.0,5.893686735073343
1024,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,41984,4x4,4x4,2822.5,5.804936196194568
2048,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,43008,4x4,4x4,5042.0,6.499058437308037
4096,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,44032,4x4,4x4,9812.0,6.679443728730373
8192,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,45056,4x4,4x4,20645.5,6.349113760521039
16384,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,46080,4x4,4x4,40550.0,6.469913936870808
32768,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,47104,4x4,4x4,86606.5,6.05372320192442
65536,16,wormhole_b0,unicast,l1,all_to_all,riscv_0,48128,4x4,4x4,175154.5,5.987072479586304
