Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,0,8x8,64,2048,1184.0,1.7297297297297298
64,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,1024,8x8,64,4096,1172.0,3.4948805460750854
128,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,2048,8x8,64,8192,1172.0,6.989761092150171
256,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,3072,8x8,64,16384,1174.0,13.955706984667803
512,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,4096,8x8,64,32768,1136.0,28.845070422535212
1024,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,5120,8x8,64,65536,1210.0,54.16198347107438
2048,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,6144,8x8,64,131072,1380.0,94.97971014492754
4096,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,7168,8x8,64,262144,2160.0,121.36296296296297
8192,1,wormhole_b0,unicast,dram,one_from_one,riscv_0,8192,8x8,64,524288,3881.0,135.09095593919093
32,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,9216,8x8,64,8192,1309.0,6.258212375859435
64,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,10240,8x8,64,16384,1233.0,13.287915652879157
128,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,11264,8x8,64,32768,1262.0,25.96513470681458
256,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,12288,8x8,64,65536,1365.0,48.01172161172161
512,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,13312,8x8,64,131072,1377.0,95.18663761801017
1024,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,14336,8x8,64,262144,1875.0,139.81013333333334
2048,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,15360,8x8,64,524288,3189.0,164.40514267795547
4096,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,16384,8x8,64,1048576,6553.0,160.0146497787273
8192,4,wormhole_b0,unicast,dram,one_from_one,riscv_0,17408,8x8,64,2097152,13682.0,153.27817570530624
32,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,18432,8x8,64,32768,1615.0,20.289783281733747
64,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,19456,8x8,64,65536,1579.0,41.504749841671945
128,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,20480,8x8,64,131072,1612.0,81.31017369727047
256,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,21504,8x8,64,262144,1998.0,131.2032032032032
512,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,22528,8x8,64,524288,3150.0,166.44063492063492
1024,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,23552,8x8,64,1048576,5441.0,192.7175151626539
2048,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,24576,8x8,64,2097152,11359.0,184.62470287877454
4096,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,25600,8x8,64,4194304,25190.0,166.5067090115125
8192,16,wormhole_b0,unicast,dram,one_from_one,riscv_0,26624,8x8,64,8388608,51113.0,164.11887386770488
32,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,27648,8x8,64,131072,3357.0,39.04438486744117
64,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,28672,8x8,64,262144,3301.0,79.41351105725538
128,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,29696,8x8,64,524288,3570.0,146.8593837535014
256,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,30720,8x8,64,1048576,5729.0,183.02949903997208
512,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,31744,8x8,64,2097152,10654.0,196.84174957762343
1024,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,32768,8x8,64,4194304,21846.0,191.99414080380848
2048,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,33792,8x8,64,8388608,45601.0,183.95666761693823
4096,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,34816,8x8,64,16777216,96355.0,174.1187898915469
8192,64,wormhole_b0,unicast,dram,one_from_one,riscv_0,35840,8x8,64,33554432,196749.0,170.54435854820102
32,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,36864,8x8,64,524288,10203.0,51.3856708811134
64,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,37888,8x8,64,1048576,10226.0,102.5401916682965
128,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,38912,8x8,64,2097152,15681.0,133.7384095402079
256,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,39936,8x8,64,4194304,23892.0,175.55265360790222
512,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,40960,8x8,64,8388608,42374.0,197.965922499646
1024,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,41984,8x8,64,16777216,94607.0,177.3358842368958
2048,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,43008,8x8,64,33554432,205110.0,163.59237482326557
4096,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,44032,8x8,64,67108864,439673.0,152.63357995601277
8192,256,wormhole_b0,unicast,dram,one_from_one,riscv_0,45056,8x8,64,134217728,909967.0,147.49735759648428
