Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,46080,289.0,0.11072664359861592
64,1,wormhole_b0,riscv_1,47104,289.0,0.22145328719723184
128,1,wormhole_b0,riscv_1,48128,298.0,0.42953020134228187
256,1,wormhole_b0,riscv_1,49152,298.0,0.8590604026845637
512,1,wormhole_b0,riscv_1,50176,306.0,1.673202614379085
1024,1,wormhole_b0,riscv_1,51200,329.0,3.1124620060790273
2048,1,wormhole_b0,riscv_1,52224,363.0,5.641873278236915
4096,1,wormhole_b0,riscv_1,53248,434.0,9.43778801843318
8192,1,wormhole_b0,riscv_1,54272,577.0,14.197573656845753
32,4,wormhole_b0,riscv_1,55296,363.0,0.3526170798898072
64,4,wormhole_b0,riscv_1,56320,363.0,0.7052341597796143
128,4,wormhole_b0,riscv_1,57344,371.0,1.3800539083557952
256,4,wormhole_b0,riscv_1,58368,371.0,2.7601078167115904
512,4,wormhole_b0,riscv_1,59392,379.0,5.403693931398417
1024,4,wormhole_b0,riscv_1,60416,427.0,9.592505854800937
2048,4,wormhole_b0,riscv_1,61440,560.0,14.628571428571428
4096,4,wormhole_b0,riscv_1,62464,820.0,19.98048780487805
8192,4,wormhole_b0,riscv_1,63488,1347.0,24.326651818856718
32,16,wormhole_b0,riscv_1,64512,638.0,0.8025078369905956
64,16,wormhole_b0,riscv_1,65536,638.0,1.6050156739811912
128,16,wormhole_b0,riscv_1,66560,646.0,3.170278637770898
256,16,wormhole_b0,riscv_1,67584,646.0,6.340557275541796
512,16,wormhole_b0,riscv_1,68608,654.0,12.525993883792049
1024,16,wormhole_b0,riscv_1,69632,806.0,20.327543424317618
2048,16,wormhole_b0,riscv_1,70656,1335.0,24.545318352059926
4096,16,wormhole_b0,riscv_1,71680,2374.0,27.605728727885424
8192,16,wormhole_b0,riscv_1,72704,4470.0,29.322595078299777
32,64,wormhole_b0,riscv_1,73728,1785.0,1.1473389355742296
64,64,wormhole_b0,riscv_1,74752,1785.0,2.2946778711484592
128,64,wormhole_b0,riscv_1,75776,1786.0,4.5867861142217246
256,64,wormhole_b0,riscv_1,76800,1793.0,9.137757947573899
512,64,wormhole_b0,riscv_1,77824,1801.0,18.194336479733483
1024,64,wormhole_b0,riscv_1,78848,2417.0,27.114604882085228
2048,64,wormhole_b0,riscv_1,79872,4506.0,29.08832667554372
4096,64,wormhole_b0,riscv_1,80896,8673.0,30.225296898420385
8192,64,wormhole_b0,riscv_1,81920,17057.0,30.73740986105411
32,256,wormhole_b0,riscv_1,82944,6333.0,1.2935417653560715
64,256,wormhole_b0,riscv_1,83968,6333.0,2.587083530712143
128,256,wormhole_b0,riscv_1,84992,6333.0,5.174167061424286
256,256,wormhole_b0,riscv_1,86016,6341.0,10.335278347263838
512,256,wormhole_b0,riscv_1,87040,6349.0,20.644510946605763
1024,256,wormhole_b0,riscv_1,88064,8773.0,29.88077054599339
2048,256,wormhole_b0,riscv_1,89088,17246.0,30.40055665081758
4096,256,wormhole_b0,riscv_1,90112,33949.0,30.886800789419425
8192,256,wormhole_b0,riscv_1,91136,66997.0,31.302177709449676
