Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,16384,wormhole_b0,riscv_1,0,1,0,574118.0,0.9132059959799205
32,16384,wormhole_b0,riscv_1,1024,2,0,574118.0,0.9132059959799205
32,16384,wormhole_b0,riscv_1,2048,3,0,574119.0,0.913204405358471
32,16384,wormhole_b0,riscv_1,3072,4,0,574119.0,0.913204405358471
64,16384,wormhole_b0,riscv_1,4096,1,0,574118.0,1.826411991959841
64,16384,wormhole_b0,riscv_1,5120,2,0,574118.0,1.826411991959841
64,16384,wormhole_b0,riscv_1,6144,3,0,574118.0,1.826411991959841
64,16384,wormhole_b0,riscv_1,7168,4,0,574118.0,1.826411991959841
128,16384,wormhole_b0,riscv_1,8192,1,0,574118.0,3.652823983919682
128,16384,wormhole_b0,riscv_1,9216,2,0,574118.0,3.652823983919682
128,16384,wormhole_b0,riscv_1,10240,3,0,574121.0,3.6528048965287807
128,16384,wormhole_b0,riscv_1,11264,4,0,574118.0,3.652823983919682
256,16384,wormhole_b0,riscv_1,12288,1,0,574126.0,7.3055461693077826
256,16384,wormhole_b0,riscv_1,13312,2,0,574126.0,7.3055461693077826
256,16384,wormhole_b0,riscv_1,14336,3,0,574126.0,7.3055461693077826
256,16384,wormhole_b0,riscv_1,15360,4,0,574126.0,7.3055461693077826
512,16384,wormhole_b0,riscv_1,16384,1,0,574137.0,14.61081240191801
512,16384,wormhole_b0,riscv_1,17408,2,0,574134.0,14.610888747226257
512,16384,wormhole_b0,riscv_1,18432,3,0,574137.0,14.61081240191801
512,16384,wormhole_b0,riscv_1,19456,4,0,574134.0,14.610888747226257
1024,16384,wormhole_b0,riscv_1,20480,1,0,574150.0,29.220963162936513
1024,16384,wormhole_b0,riscv_1,21504,2,0,574150.0,29.220963162936513
1024,16384,wormhole_b0,riscv_1,22528,3,0,574150.0,29.220963162936513
1024,16384,wormhole_b0,riscv_1,23552,4,0,574150.0,29.220963162936513
2048,16384,wormhole_b0,riscv_1,24576,1,0,1099126.0,30.528285201150734
2048,16384,wormhole_b0,riscv_1,25600,2,0,1096906.0,30.59007061680764
2048,16384,wormhole_b0,riscv_1,26624,3,0,1098916.0,30.534119077345313
2048,16384,wormhole_b0,riscv_1,27648,4,0,1097510.0,30.573235779172855
4096,16384,wormhole_b0,riscv_1,28672,1,0,2163298.0,31.02155320256386
4096,16384,wormhole_b0,riscv_1,29696,2,0,2165877.0,30.984614546440078
4096,16384,wormhole_b0,riscv_1,30720,3,0,2164976.0,30.997509441213204
4096,16384,wormhole_b0,riscv_1,31744,4,0,2165511.0,30.989851356100246
8192,16384,wormhole_b0,riscv_1,32768,1,0,4310608.0,31.136611819028776
8192,16384,wormhole_b0,riscv_1,33792,2,0,4305424.0,31.174102248698386
8192,16384,wormhole_b0,riscv_1,34816,3,0,4313757.0,31.113882399959014
8192,16384,wormhole_b0,riscv_1,35840,4,0,4309104.0,31.147479383184997
16384,16384,wormhole_b0,riscv_1,36864,1,0,8610670.0,31.174746680571896
16384,16384,wormhole_b0,riscv_1,37888,2,0,8606798.0,31.18877148040421
16384,16384,wormhole_b0,riscv_1,38912,3,0,8615222.0,31.15827496958291
16384,16384,wormhole_b0,riscv_1,39936,4,0,8625622.0,31.120707121179205
32768,16384,wormhole_b0,riscv_1,40960,1,0,17252466.0,31.118502827363926
32768,16384,wormhole_b0,riscv_1,41984,2,0,17232908.0,31.153819889249103
32768,16384,wormhole_b0,riscv_1,43008,3,0,17269591.0,31.087644866632914
32768,16384,wormhole_b0,riscv_1,44032,4,0,17250164.0,31.122655529535834
65536,16384,wormhole_b0,riscv_1,45056,1,0,34462568.0,31.156756049055893
65536,16384,wormhole_b0,riscv_1,46080,2,0,34446843.0,31.17097912281831
65536,16384,wormhole_b0,riscv_1,47104,3,0,34460592.0,31.15854260425938
65536,16384,wormhole_b0,riscv_1,48128,4,0,34512451.0,31.111723244460382
131072,16384,wormhole_b0,riscv_1,49152,1,0,69029409.0,31.109691928551786
131072,16384,wormhole_b0,riscv_1,50176,2,0,68935649.0,31.152004502053792
131072,16384,wormhole_b0,riscv_1,51200,3,0,69090537.0,31.082167562252412
131072,16384,wormhole_b0,riscv_1,52224,4,0,69010167.0,31.118366196679396
32,16384,wormhole_b0,riscv_1,53248,1,1,574118.0,0.9132059959799205
32,16384,wormhole_b0,riscv_1,54272,2,1,623270.0,0.841189211738091
32,16384,wormhole_b0,riscv_1,55296,3,1,623267.0,0.8411932606731947
32,16384,wormhole_b0,riscv_1,56320,4,1,623267.0,0.8411932606731947
64,16384,wormhole_b0,riscv_1,57344,1,1,574118.0,1.826411991959841
64,16384,wormhole_b0,riscv_1,58368,2,1,623267.0,1.6823865213463893
64,16384,wormhole_b0,riscv_1,59392,3,1,623261.0,1.682402717320673
64,16384,wormhole_b0,riscv_1,60416,4,1,623267.0,1.6823865213463893
128,16384,wormhole_b0,riscv_1,61440,1,1,574118.0,3.652823983919682
128,16384,wormhole_b0,riscv_1,62464,2,1,623269.0,3.3647622455151787
128,16384,wormhole_b0,riscv_1,63488,3,1,623269.0,3.3647622455151787
128,16384,wormhole_b0,riscv_1,64512,4,1,623270.0,3.364756846952364
256,16384,wormhole_b0,riscv_1,65536,1,1,574126.0,7.3055461693077826
256,16384,wormhole_b0,riscv_1,66560,2,1,623269.0,6.729524491030357
256,16384,wormhole_b0,riscv_1,67584,3,1,623278.0,6.729427318146959
256,16384,wormhole_b0,riscv_1,68608,4,1,623275.0,6.729459708796278
