Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,0,true,706.0,0.0453257790368272
64,1,wormhole_b0,riscv_0,1024,true,712.0,0.0898876404494382
128,1,wormhole_b0,riscv_0,2048,true,716.0,0.1787709497206704
256,1,wormhole_b0,riscv_0,3072,true,713.0,0.3590462833099579
512,1,wormhole_b0,riscv_0,4096,true,726.0,0.7052341597796143
1024,1,wormhole_b0,riscv_0,5120,true,748.0,1.3689839572192513
2048,1,wormhole_b0,riscv_0,6144,true,789.0,2.5956907477820024
4096,1,wormhole_b0,riscv_0,7168,true,859.0,4.768335273573923
8192,1,wormhole_b0,riscv_0,8192,true,996.0,8.224899598393574
16384,1,wormhole_b0,riscv_0,9216,true,1564.0,10.475703324808185
32768,1,wormhole_b0,riscv_0,10240,true,2658.0,12.328066215199398
65536,1,wormhole_b0,riscv_0,11264,true,4858.0,13.490325236722931
32,4,wormhole_b0,riscv_0,12288,true,856.0,0.14953271028037382
64,4,wormhole_b0,riscv_0,13312,true,861.0,0.29732868757259
128,4,wormhole_b0,riscv_0,14336,true,858.0,0.5967365967365967
256,4,wormhole_b0,riscv_0,15360,true,863.0,1.186558516801854
512,4,wormhole_b0,riscv_0,16384,true,891.0,2.298540965207632
1024,4,wormhole_b0,riscv_0,17408,true,952.0,4.302521008403361
2048,4,wormhole_b0,riscv_0,18432,true,1104.0,7.420289855072464
4096,4,wormhole_b0,riscv_0,19456,true,1411.0,11.611622962437988
8192,4,wormhole_b0,riscv_0,20480,true,2005.0,16.343142144638403
16384,4,wormhole_b0,riscv_0,21504,true,3571.0,18.352282273872866
32768,4,wormhole_b0,riscv_0,22528,true,6673.0,19.64213996703132
65536,4,wormhole_b0,riscv_0,23552,true,12890.0,20.33700543056633
32,16,wormhole_b0,riscv_0,24576,true,2114.0,0.24219489120151372
64,16,wormhole_b0,riscv_0,25600,true,2072.0,0.4942084942084942
128,16,wormhole_b0,riscv_0,26624,true,2071.0,0.9888942539835828
256,16,wormhole_b0,riscv_0,27648,true,2087.0,1.962625778629612
512,16,wormhole_b0,riscv_0,28672,true,2154.0,3.8031569173630455
1024,16,wormhole_b0,riscv_0,29696,true,2153.0,7.609846725499303
2048,16,wormhole_b0,riscv_0,30720,true,2647.0,12.379297317718171
4096,16,wormhole_b0,riscv_0,31744,true,3737.0,17.537061814289537
8192,16,wormhole_b0,riscv_0,32768,true,6041.0,21.697070021519615
16384,16,wormhole_b0,riscv_0,33792,true,11627.0,22.54614259912273
32768,16,wormhole_b0,riscv_0,34816,true,22821.0,22.97392752289558
65536,16,wormhole_b0,riscv_0,35840,true,45099.0,23.25053770593583
32,64,wormhole_b0,riscv_0,36864,true,7202.0,0.2843654540405443
64,64,wormhole_b0,riscv_0,37888,true,6969.0,0.5877457310948486
128,64,wormhole_b0,riscv_0,38912,true,6972.0,1.1749856569133676
256,64,wormhole_b0,riscv_0,39936,true,6977.0,2.348287229468253
512,64,wormhole_b0,riscv_0,40960,true,7241.0,4.525341803618285
1024,64,wormhole_b0,riscv_0,41984,true,7035.0,9.315707178393746
2048,64,wormhole_b0,riscv_0,43008,true,8846.0,14.817092471173412
4096,64,wormhole_b0,riscv_0,44032,true,13114.0,19.989629403690714
8192,64,wormhole_b0,riscv_0,45056,true,22150.0,23.669887133182844
16384,64,wormhole_b0,riscv_0,46080,true,43845.0,23.915520583875015
32768,64,wormhole_b0,riscv_0,47104,true,87269.0,24.030892986054614
65536,64,wormhole_b0,riscv_0,48128,true,173897.0,24.119473021386224
32,256,wormhole_b0,riscv_0,49152,true,27554.0,0.29730710604630906
64,256,wormhole_b0,riscv_0,50176,true,26558.0,0.6169139242412832
128,256,wormhole_b0,riscv_0,51200,true,26555.0,1.2339672378083224
256,256,wormhole_b0,riscv_0,52224,true,26560.0,2.4674698795180725
512,256,wormhole_b0,riscv_0,53248,true,27595.0,4.749845986591774
1024,256,wormhole_b0,riscv_0,54272,true,26616.0,9.849113315299068
2048,256,wormhole_b0,riscv_0,55296,true,33622.0,15.593599428945334
4096,256,wormhole_b0,riscv_0,56320,true,50529.0,20.751964218567554
8192,256,wormhole_b0,riscv_0,57344,true,86626.0,24.209267425484267
16384,256,wormhole_b0,riscv_0,58368,true,172747.0,24.28003959547778
32768,256,wormhole_b0,riscv_0,59392,true,345296.0,24.293962281636624
65536,256,wormhole_b0,riscv_0,60416,true,689450.0,24.334202625281023
32,1,wormhole_b0,riscv_0,61440,false,707.0,0.04526166902404526
64,1,wormhole_b0,riscv_0,62464,false,714.0,0.0896358543417367
128,1,wormhole_b0,riscv_0,63488,false,713.0,0.17952314165497896
256,1,wormhole_b0,riscv_0,64512,false,715.0,0.35804195804195804
512,1,wormhole_b0,riscv_0,65536,false,732.0,0.6994535519125683
1024,1,wormhole_b0,riscv_0,66560,false,749.0,1.3671562082777036
2048,1,wormhole_b0,riscv_0,67584,false,789.0,2.5956907477820024
4096,1,wormhole_b0,riscv_0,68608,false,866.0,4.7297921478060045
8192,1,wormhole_b0,riscv_0,69632,false,998.0,8.208416833667334
16384,1,wormhole_b0,riscv_0,70656,false,1560.0,10.502564102564103
32768,1,wormhole_b0,riscv_0,71680,false,2651.0,12.360618634477555
65536,1,wormhole_b0,riscv_0,72704,false,4817.0,13.60514843263442
32,4,wormhole_b0,riscv_0,73728,false,860.0,0.14883720930232558
64,4,wormhole_b0,riscv_0,74752,false,857.0,0.29871645274212366
128,4,wormhole_b0,riscv_0,75776,false,862.0,0.5939675174013921
256,4,wormhole_b0,riscv_0,76800,false,864.0,1.1851851851851851
512,4,wormhole_b0,riscv_0,77824,false,889.0,2.303712035995501
1024,4,wormhole_b0,riscv_0,78848,false,943.0,4.343584305408272
2048,4,wormhole_b0,riscv_0,79872,false,1100.0,7.447272727272727
4096,4,wormhole_b0,riscv_0,80896,false,1395.0,11.744802867383513
8192,4,wormhole_b0,riscv_0,81920,false,1964.0,16.684317718940935
16384,4,wormhole_b0,riscv_0,82944,false,3455.0,18.968451519536902
32768,4,wormhole_b0,riscv_0,83968,false,6488.0,20.20221948212084
65536,4,wormhole_b0,riscv_0,84992,false,12448.0,21.05912596401028
32,16,wormhole_b0,riscv_0,86016,false,2049.0,0.24987798926305516
64,16,wormhole_b0,riscv_0,87040,false,2003.0,0.5112331502745882
128,16,wormhole_b0,riscv_0,88064,false,2010.0,1.0189054726368159
256,16,wormhole_b0,riscv_0,89088,false,2044.0,2.003913894324853
512,16,wormhole_b0,riscv_0,90112,false,2061.0,3.974769529354682
1024,16,wormhole_b0,riscv_0,91136,false,2088.0,7.846743295019157
2048,16,wormhole_b0,riscv_0,92160,false,2476.0,13.234248788368337
4096,16,wormhole_b0,riscv_0,93184,false,3615.0,18.12890733056708
8192,16,wormhole_b0,riscv_0,94208,false,5782.0,22.66897267381529
16384,16,wormhole_b0,riscv_0,95232,false,11049.0,23.725586025884695
32768,16,wormhole_b0,riscv_0,96256,false,21737.0,24.11961172194875
65536,16,wormhole_b0,riscv_0,97280,false,42908.0,24.43777384170784
32,64,wormhole_b0,riscv_0,98304,false,6664.0,0.30732292917166865
64,64,wormhole_b0,riscv_0,99328,false,6666.0,0.6144614461446145
128,64,wormhole_b0,riscv_0,100352,false,6904.0,1.186558516801854
256,64,wormhole_b0,riscv_0,101376,false,6797.0,2.4104752096513167
512,64,wormhole_b0,riscv_0,102400,false,6812.0,4.810334703464474
1024,64,wormhole_b0,riscv_0,103424,false,6843.0,9.577086073359638
2048,64,wormhole_b0,riscv_0,104448,false,8017.0,16.349257827117377
4096,64,wormhole_b0,riscv_0,105472,false,12483.0,21.00008010894817
8192,64,wormhole_b0,riscv_0,106496,false,21044.0,24.9138946968257
16384,64,wormhole_b0,riscv_0,107520,false,41524.0,25.25228783354205
32768,64,wormhole_b0,riscv_0,108544,false,82962.0,25.278464839324027
65536,64,wormhole_b0,riscv_0,109568,false,164733.0,25.461225134004724
32,256,wormhole_b0,riscv_0,110592,false,26292.0,0.31157766621025407
64,256,wormhole_b0,riscv_0,111616,false,25297.0,0.6476657311143614
128,256,wormhole_b0,riscv_0,112640,false,25288.0,1.2957924707371085
256,256,wormhole_b0,riscv_0,113664,false,25805.0,2.539662856035652
512,256,wormhole_b0,riscv_0,114688,false,25821.0,5.076178304480849
1024,256,wormhole_b0,riscv_0,115712,false,25854.0,10.139398158892241
2048,256,wormhole_b0,riscv_0,116736,false,30159.0,17.384130773566763
4096,256,wormhole_b0,riscv_0,117760,false,47983.0,21.853072963341184
8192,256,wormhole_b0,riscv_0,118784,false,82025.0,25.567229503200245
16384,256,wormhole_b0,riscv_0,119808,false,163315.0,25.682294951474145
32768,256,wormhole_b0,riscv_0,120832,false,326770.0,25.67129173424733
65536,256,wormhole_b0,riscv_0,121856,false,651963.0,25.73338671059554
