Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,wormhole_b0,riscv_0,93184,1,8,16384,1260.0,13.003174603174603
4096,1,wormhole_b0,riscv_0,94208,1,8,32768,1923.0,17.04004160166407
8192,1,wormhole_b0,riscv_0,95232,1,8,65536,3432.0,19.095571095571096
16384,1,wormhole_b0,riscv_0,96256,1,8,131072,6421.0,20.413019778850646
32768,1,wormhole_b0,riscv_0,97280,1,8,262144,12114.0,21.639755654614497
65536,1,wormhole_b0,riscv_0,98304,1,8,524288,24009.0,21.837144404181764
2048,4,wormhole_b0,riscv_0,99328,1,8,65536,3313.0,19.781466948385148
4096,4,wormhole_b0,riscv_0,100352,1,8,131072,6276.0,20.88463989802422
8192,4,wormhole_b0,riscv_0,101376,1,8,262144,12113.0,21.641542144803104
16384,4,wormhole_b0,riscv_0,102400,1,8,524288,23818.0,22.012259635569738
32768,4,wormhole_b0,riscv_0,103424,1,8,1048576,47219.0,22.206654101103368
65536,4,wormhole_b0,riscv_0,104448,1,8,2097152,94416.0,22.21182850364345
2048,16,wormhole_b0,riscv_0,105472,1,8,262144,12266.0,21.371596282406653
4096,16,wormhole_b0,riscv_0,106496,1,8,524288,23819.0,22.011335488475588
8192,16,wormhole_b0,riscv_0,107520,1,8,1048576,47367.0,22.13726856250132
16384,16,wormhole_b0,riscv_0,108544,1,8,2097152,94394.0,22.21700531813463
32768,16,wormhole_b0,riscv_0,109568,1,8,4194304,188248.0,22.280736050316605
65536,16,wormhole_b0,riscv_0,110592,1,8,8388608,376741.0,22.26624657257904
2048,64,wormhole_b0,riscv_0,111616,1,8,1048576,47219.0,22.206654101103368
4096,64,wormhole_b0,riscv_0,112640,1,8,2097152,94175.0,22.268670029200955
8192,64,wormhole_b0,riscv_0,113664,1,8,4194304,188368.0,22.266542087828082
16384,64,wormhole_b0,riscv_0,114688,1,8,8388608,376466.0,22.282511568109737
32768,64,wormhole_b0,riscv_0,115712,1,8,16777216,752048.0,22.308703699763846
65536,64,wormhole_b0,riscv_0,116736,1,8,33554432,1506083.0,22.279271461134613
2048,256,wormhole_b0,riscv_0,117760,1,8,4194304,188157.0,22.291511875720808
4096,256,wormhole_b0,riscv_0,118784,1,8,8388608,375910.0,22.315469128248782
8192,256,wormhole_b0,riscv_0,119808,1,8,16777216,751893.0,22.313302557677755
16384,256,wormhole_b0,riscv_0,120832,1,8,33554432,1504212.0,22.306983324159095
32768,256,wormhole_b0,riscv_0,121856,1,8,67108864,3008118.0,22.309252496078944
65536,256,wormhole_b0,riscv_0,122880,1,8,134217728,6018864.0,22.299511668647106
