Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
32,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,0,2x2,2x2,405.0,0.3171631518088211
64,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,1024,2x2,2x2,405.0,0.6343263036176422
128,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,2048,2x2,2x2,413.0,1.241572868776899
256,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,3072,2x2,2x2,421.0,2.4358222448230076
512,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,4096,2x2,2x2,433.5,4.734925494128063
1024,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,5120,2x2,2x2,473.0,8.675129517438398
2048,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,6144,2x2,2x2,573.5,14.308244251560835
4096,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,7168,2x2,2x2,963.0,17.098756427832175
8192,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,8192,2x2,2x2,1644.5,20.496904181390093
16384,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,9216,2x2,2x2,3611.0,18.489445256082384
32768,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,10240,2x2,2x2,8160.0,16.078446706150693
65536,4,wormhole_b0,unicast,l1,all_from_all,riscv_1,11264,2x2,2x2,16699.0,15.728573408578956
32,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,12288,2x2,2x2,2105.5,0.9737823384882208
64,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,13312,2x2,2x2,2120.0,1.9347621151567935
128,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,14336,2x2,2x2,2127.0,3.857740539456284
256,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,15360,2x2,2x2,2118.5,7.741633184535426
512,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,16384,2x2,2x2,2790.5,11.782654793180425
1024,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,17408,2x2,2x2,4287.0,15.2892269747896
2048,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,18432,2x2,2x2,8575.5,15.284797499620602
4096,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,19456,2x2,2x2,16524.0,15.94506496053251
8192,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,20480,2x2,2x2,31156.5,17.150990078525385
16384,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,21504,2x2,2x2,70024.0,14.974826053076931
32768,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,22528,2x2,2x2,162400.0,12.955756473402817
65536,64,wormhole_b0,unicast,l1,all_from_all,riscv_1,23552,2x2,2x2,333157.0,12.632454935995508
32,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,24576,2x2,2x2,33983.5,0.9660885729859088
64,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,25600,2x2,2x2,33959.0,1.9335990575245012
128,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,26624,2x2,2x2,33955.0,3.867575322668297
256,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,27648,2x2,2x2,33417.5,7.87219067831311
512,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,28672,2x2,2x2,45024.0,11.747393918017135
1024,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,29696,2x2,2x2,83270.0,12.732007874465122
2048,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,30720,2x2,2x2,165143.5,12.841203129863775
4096,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,31744,2x2,2x2,328456.5,12.899265810969293
8192,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,32768,2x2,2x2,665606.0,12.76778405002234
16384,1024,wormhole_b0,unicast,l1,all_from_all,riscv_1,33792,2x2,2x2,1354974.0,12.648913909196862
